"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
3;"df72c88c91a54f3d1d3af2e39499e6102e8e16d5";"1e8ee58fa4da12e878e3231a16add1bb3e7806e1";"Extract Method";"org.HdrHistogram.DoubleRecorder.getIntervalHistogram(DoubleHistogram)";"org.HdrHistogram.DoubleRecorder.getIntervalHistogram(DoubleHistogram,boolean)";"Extract Method public getIntervalHistogram(histogramToRecycle DoubleHistogram, enforeContainingInstance boolean) : DoubleHistogram extracted from public getIntervalHistogram(histogramToRecycle DoubleHistogram) : DoubleHistogram in class org.HdrHistogram.DoubleRecorder"
3;"df72c88c91a54f3d1d3af2e39499e6102e8e16d5";"1e8ee58fa4da12e878e3231a16add1bb3e7806e1";"Extract Method";"org.HdrHistogram.Recorder.getIntervalHistogram(Histogram)";"org.HdrHistogram.Recorder.getIntervalHistogram(Histogram,boolean)";"Extract Method public getIntervalHistogram(histogramToRecycle Histogram, enforeContainingInstance boolean) : Histogram extracted from public getIntervalHistogram(histogramToRecycle Histogram) : Histogram in class org.HdrHistogram.Recorder"
3;"df72c88c91a54f3d1d3af2e39499e6102e8e16d5";"1e8ee58fa4da12e878e3231a16add1bb3e7806e1";"Extract Method";"org.HdrHistogram.SingleWriterDoubleRecorder.getIntervalHistogram(DoubleHistogram)";"org.HdrHistogram.SingleWriterDoubleRecorder.getIntervalHistogram(DoubleHistogram,boolean)";"Extract Method public getIntervalHistogram(histogramToRecycle DoubleHistogram, enforeContainingInstance boolean) : DoubleHistogram extracted from public getIntervalHistogram(histogramToRecycle DoubleHistogram) : DoubleHistogram in class org.HdrHistogram.SingleWriterDoubleRecorder"
3;"df72c88c91a54f3d1d3af2e39499e6102e8e16d5";"1e8ee58fa4da12e878e3231a16add1bb3e7806e1";"Extract Method";"org.HdrHistogram.SingleWriterRecorder.getIntervalHistogram(Histogram)";"org.HdrHistogram.SingleWriterRecorder.getIntervalHistogram(Histogram,boolean)";"Extract Method public getIntervalHistogram(histogramToRecycle Histogram, enforeContainingInstance boolean) : Histogram extracted from public getIntervalHistogram(histogramToRecycle Histogram) : Histogram in class org.HdrHistogram.SingleWriterRecorder"
32;"cb59fd8e61c05e25cad83c7b727c941a8273d4d1";"5b6c642badd85b962cd7be09081e4738a9cf2c48";"Extract Method";"org.HdrHistogram.DoubleHistogram.recordSingleValue(double)";"org.HdrHistogram.AbstractHistogram.recordConvertedDoubleValue(double)";"Extract Method package recordConvertedDoubleValue(value double) : void extracted from private recordSingleValue(value double) : void in class org.HdrHistogram.DoubleHistogram"
32;"cb59fd8e61c05e25cad83c7b727c941a8273d4d1";"5b6c642badd85b962cd7be09081e4738a9cf2c48";"Extract Method";"org.HdrHistogram.DoubleHistogram.recordCountAtValue(long,double)";"org.HdrHistogram.AbstractHistogram.recordConvertedDoubleValueWithCount(double,long)";"Extract Method public recordConvertedDoubleValueWithCount(value double, count long) : void extracted from private recordCountAtValue(count long, value double) : void in class org.HdrHistogram.DoubleHistogram"
32;"cb59fd8e61c05e25cad83c7b727c941a8273d4d1";"5b6c642badd85b962cd7be09081e4738a9cf2c48";"Extract Method";"org.HdrHistogram.AbstractHistogram.shiftValuesLeft(int)";"org.HdrHistogram.AbstractHistogram.shiftValuesLeft(int,double)";"Extract Method package shiftValuesLeft(numberOfBinaryOrdersOfMagnitude int, newIntegerToDoubleValueConversionRatio double) : void extracted from public shiftValuesLeft(numberOfBinaryOrdersOfMagnitude int) : void in class org.HdrHistogram.AbstractHistogram"
32;"cb59fd8e61c05e25cad83c7b727c941a8273d4d1";"5b6c642badd85b962cd7be09081e4738a9cf2c48";"Extract Method";"org.HdrHistogram.AbstractHistogram.shiftValuesRight(int)";"org.HdrHistogram.AbstractHistogram.shiftValuesRight(int,double)";"Extract Method package shiftValuesRight(numberOfBinaryOrdersOfMagnitude int, newIntegerToDoubleValueConversionRatio double) : void extracted from public shiftValuesRight(numberOfBinaryOrdersOfMagnitude int) : void in class org.HdrHistogram.AbstractHistogram"
74;"fc382620affc0fedb79d726b6f0c4e4f9bced784";"90fac67c2c6228fdedeb89c13bfa730452e25dd4";"Move Method";"org.HdrHistogram.SynchronizedDoubleHistogramTest.equalsWillNotThrowClassCastException()";"org.HdrHistogram.DoubleHistogramTest.equalsWillNotThrowClassCastException()";"Move Method public equalsWillNotThrowClassCastException() : void from class org.HdrHistogram.SynchronizedDoubleHistogramTest to public equalsWillNotThrowClassCastException() : void from class org.HdrHistogram.DoubleHistogramTest"
95;"9eddb35c19dfcead0c83f0fb7d4708681ad3ad39";"90920c64df00ec2aae1dcd9a03df462b50807992";"Rename Method";"org.HdrHistogram.HistogramLogReaderWriterTest.ycsbLog()";"org.HdrHistogram.HistogramLogReaderWriterTest.ycsbV1Log()";"Rename Method public ycsbLog() : void renamed to public ycsbV1Log() : void in class org.HdrHistogram.HistogramLogReaderWriterTest"
