"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setHealthCheckRegistry(Object)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setHealthCheckRegistry(healthCheckRegistry Object) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setHealthCheckProperties(Properties)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setHealthCheckProperties(healthCheckProperties Properties) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setConnectionTestQuery(String)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setConnectionTestQuery(connectionTestQuery String) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.addHealthCheckProperty(String,String)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public addHealthCheckProperty(key String, value String) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setConnectionInitSql(String)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setConnectionInitSql(connectionInitSql String) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setReadOnly(boolean)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setReadOnly(readOnly boolean) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setDataSource(DataSource)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setDataSource(dataSource DataSource) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setRegisterMbeans(boolean)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setRegisterMbeans(register boolean) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setDataSourceClassName(String)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setDataSourceClassName(className String) : void in class com.zaxxer.hikari.HikariConfig"
10;"c1ab4c8399ade0aa82fd16784e166b841560bba8";"4f41863b14db0580924ea7d017d821ed5f77da71";"Extract Method";"com.zaxxer.hikari.HikariConfig.setPoolName(String)";"com.zaxxer.hikari.HikariConfig.checkIfSealed()";"Extract Method private checkIfSealed() : void extracted from public setPoolName(poolName String) : void in class com.zaxxer.hikari.HikariConfig"
