"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
28;"6787fb71e592d041a0cd72c85e4930e31cf5adfc";"0048f3d085b5b3cfc06893c62a279f0095609ada";"Move Method";"org.jgroups.tests.byteman.LockServiceConcurrencyTest.testConcurrentClientLocks()";"org.jgroups.tests.LockServiceConcurrencyTest.testConcurrentClientLocks()";"Move Method public testConcurrentClientLocks() : void from class org.jgroups.tests.byteman.LockServiceConcurrencyTest to public testConcurrentClientLocks() : void from class org.jgroups.tests.LockServiceConcurrencyTest"
28;"6787fb71e592d041a0cd72c85e4930e31cf5adfc";"0048f3d085b5b3cfc06893c62a279f0095609ada";"Extract Method";"org.jgroups.protocols.Locking.ClientLock._unlock(boolean)";"org.jgroups.protocols.Locking.ClientLock._unlockOK()";"Extract Method protected _unlockOK() : void extracted from protected _unlock(force boolean) : void in class org.jgroups.protocols.Locking.ClientLock"
36;"c583cb6fbf538cc9026a4a91540cb72aaf8cf377";"8169232d08ed451c4cca3d2b24ee9107623aa68d";"Extract Method";"org.jgroups.protocols.FILE_PING.writeAll()";"org.jgroups.protocols.FILE_PING.writeAll(Address[])";"Extract Method protected writeAll(excluded_mbrs Address[]) : void extracted from protected writeAll() : void in class org.jgroups.protocols.FILE_PING"
37;"8169232d08ed451c4cca3d2b24ee9107623aa68d";"b88ec8f5115ea5169831611f25be0f8c72ad5e7c";"Extract Method";"org.jgroups.blocks.LazyRemovalCache.addAll(Map)";"org.jgroups.blocks.LazyRemovalCache.addAll(Map,boolean)";"Extract Method protected addAll(m Map, if_absent boolean) : void extracted from public addAll(m Map) : void in class org.jgroups.blocks.LazyRemovalCache"
37;"8169232d08ed451c4cca3d2b24ee9107623aa68d";"b88ec8f5115ea5169831611f25be0f8c72ad5e7c";"Extract Method";"org.jgroups.protocols.TP.addPhysicalAddressToCache(Address,PhysicalAddress)";"org.jgroups.protocols.TP.addPhysicalAddressToCache(Address,PhysicalAddress,boolean)";"Extract Method protected addPhysicalAddressToCache(logical_addr Address, physical_addr PhysicalAddress, overwrite boolean) : boolean extracted from protected addPhysicalAddressToCache(logical_addr Address, physical_addr PhysicalAddress) : boolean in class org.jgroups.protocols.TP"
61;"c252bb28fe4449780cf8aee474d4b351bca10ca2";"2bf86a43cb00a442d858dd56797e73fd3fba62c4";"Extract Method";"org.jgroups.protocols.SYM_ENCRYPT.readSecretKeyFromKeystore()";"org.jgroups.protocols.SYM_ENCRYPT.getKeyStoreSource()";"Extract Method protected getKeyStoreSource() : InputStream extracted from protected readSecretKeyFromKeystore() : void in class org.jgroups.protocols.SYM_ENCRYPT"
62;"2bf86a43cb00a442d858dd56797e73fd3fba62c4";"0922b1d2cdeb3db4ea7dd2e8f4b9c1657e5b74de";"Rename Method";"org.jgroups.protocols.TCPPING.setInitialHosts2(List)";"org.jgroups.protocols.TCPPING.setInitialHosts(Collection)";"Rename Method public setInitialHosts2(hosts List) : void renamed to public setInitialHosts(hosts Collection) : void in class org.jgroups.protocols.TCPPING"
73;"e4e5c12b2f12cc628a482406d339d5f591605d11";"ea977b3ab7b20d57e7645223101e153bd83c58db";"Extract Method";"org.jgroups.protocols.pbcast.ViewHandler.process(Collection)";"org.jgroups.protocols.pbcast.ViewHandler.removeAndProcess(Collection)";"Extract Method protected removeAndProcess(requests Collection) : void extracted from protected process(requests Collection) : void in class org.jgroups.protocols.pbcast.ViewHandler"
99;"5713e38b2f8f2e9b4c296197d63d6b10b6320cc3";"1bd79c1617be7975b9c4923f78f2a9920e0bbe3a";"Rename Class";"org.jgroups.protocols.pbcast.ViewHandler2";"org.jgroups.protocols.pbcast.ViewHandler";"Rename Class org.jgroups.protocols.pbcast.ViewHandler2 renamed to org.jgroups.protocols.pbcast.ViewHandler"
99;"5713e38b2f8f2e9b4c296197d63d6b10b6320cc3";"1bd79c1617be7975b9c4923f78f2a9920e0bbe3a";"Rename Class";"org.jgroups.tests.ViewHandlerTest2";"org.jgroups.tests.ViewHandlerTest";"Rename Class org.jgroups.tests.ViewHandlerTest2 renamed to org.jgroups.tests.ViewHandlerTest"
