"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
764;"02db25fe6716eac3eb2fe12fe1f99d727d015d2d";"9b07057383d47794909cf3db23c89989ddfb7dce";"Extract Method";"com.hubspot.singularity.resources.S3LogResource.getS3LogsForTask(String,Optional,Optional)";"com.hubspot.singularity.resources.S3LogResource.getRequest(String)";"Extract Method private getRequest(requestId String) : SingularityRequestWithState extracted from public getS3LogsForTask(taskId String, start Optional, end Optional) : List in class com.hubspot.singularity.resources.S3LogResource"
764;"02db25fe6716eac3eb2fe12fe1f99d727d015d2d";"9b07057383d47794909cf3db23c89989ddfb7dce";"Extract Method";"com.hubspot.singularity.resources.S3LogResource.getS3LogsForRequest(String,Optional,Optional)";"com.hubspot.singularity.resources.S3LogResource.getRequest(String)";"Extract Method private getRequest(requestId String) : SingularityRequestWithState extracted from public getS3LogsForRequest(requestId String, start Optional, end Optional) : List in class com.hubspot.singularity.resources.S3LogResource"
764;"02db25fe6716eac3eb2fe12fe1f99d727d015d2d";"9b07057383d47794909cf3db23c89989ddfb7dce";"Extract Method";"com.hubspot.singularity.resources.S3LogResource.getS3LogsForDeploy(String,String,Optional,Optional)";"com.hubspot.singularity.resources.S3LogResource.getRequest(String)";"Extract Method private getRequest(requestId String) : SingularityRequestWithState extracted from public getS3LogsForDeploy(requestId String, deployId String, start Optional, end Optional) : List in class com.hubspot.singularity.resources.S3LogResource"
1018;"4b43b574f4addf433379c49dbe981f385fb13a4e";"2d69f4f73764340a90d9a4551b9753d5ebcc6810";"Extract Method";"com.hubspot.singularity.resources.RequestResource.submit(SingularityRequest,Optional)";"com.hubspot.singularity.resources.RequestResource.checkRequestIdPresent(SingularityRequest)";"Extract Method private checkRequestIdPresent(request SingularityRequest) : void extracted from public submit(request SingularityRequest, user Optional) : SingularityRequestParent in class com.hubspot.singularity.resources.RequestResource"
1018;"4b43b574f4addf433379c49dbe981f385fb13a4e";"2d69f4f73764340a90d9a4551b9753d5ebcc6810";"Extract Method";"com.hubspot.singularity.resources.RequestResource.submit(SingularityRequest,Optional)";"com.hubspot.singularity.resources.RequestResource.checkRequestNotCleaning(String)";"Extract Method private checkRequestNotCleaning(requestId String) : void extracted from public submit(request SingularityRequest, user Optional) : SingularityRequestParent in class com.hubspot.singularity.resources.RequestResource"
1071;"f789afc113d6e102c28e70466389ea98ae3e34f5";"c638de848014f5b6ac1e571f72b693aaf4c285ee";"Extract Method";"com.hubspot.singularity.resources.S3LogResource.getS3Logs(Collection)";"com.hubspot.singularity.resources.S3LogResource.getS3LogsWithExecutorService(ListeningExecutorService,Collection)";"Extract Method private getS3LogsWithExecutorService(executorService ListeningExecutorService, prefixes Collection) : List extracted from private getS3Logs(prefixes Collection) : Collection in class com.hubspot.singularity.resources.S3LogResource"
1133;"4b6304b806072caabef1936bf332555545834b28";"d00b12f6d2e0e9640ade76f751fef18625f31dfd";"Extract Method";"com.hubspot.singularity.scheduler.SingularityCleaner.checkLbState(SingularityTaskId)";"com.hubspot.singularity.scheduler.SingularityCleaner.getLoadBalancerRequestId(SingularityTaskId,Optional)";"Extract Method private getLoadBalancerRequestId(taskId SingularityTaskId, lbRemoveUpdate Optional) : LoadBalancerRequestId extracted from private checkLbState(taskId SingularityTaskId) : CheckLBState in class com.hubspot.singularity.scheduler.SingularityCleaner"
1137;"7a024ef34cebc7c9639eb78da0357791cbb69a7e";"87489d4cecabb244a6b82729d3c09fbf24a0fa6c";"Rename Method";"com.hubspot.singularity.mesos.SingularityStartup.checkForMissingActiveTasks(MesosMasterStateObject,boolean)";"com.hubspot.singularity.mesos.SingularityStartup.checkForCompletedActiveTasks(MesosMasterStateObject)";"Rename Method private checkForMissingActiveTasks(state MesosMasterStateObject, frameworkIsNew boolean) : void renamed to private checkForCompletedActiveTasks(state MesosMasterStateObject) : void in class com.hubspot.singularity.mesos.SingularityStartup"
1137;"7a024ef34cebc7c9639eb78da0357791cbb69a7e";"87489d4cecabb244a6b82729d3c09fbf24a0fa6c";"Extract Method";"com.hubspot.singularity.mesos.SingularityStartup.checkForMissingActiveTasks(MesosMasterStateObject,boolean)";"com.hubspot.singularity.mesos.SingularityStartup.sendTaskUpdate(SingularityTaskId,ExtendedTaskState,long)";"Extract Method private sendTaskUpdate(taskId SingularityTaskId, extendedTaskState ExtendedTaskState, start long) : void extracted from private checkForMissingActiveTasks(state MesosMasterStateObject, frameworkIsNew boolean) : void in class com.hubspot.singularity.mesos.SingularityStartup"
1184;"505b8050a8988d5157507a18bed1d432cd2b0901";"506dd35fccb6b51ec593fb66da3482d0f3e00f87";"Extract Method";"com.hubspot.singularity.executor.task.SingularityExecutorTaskCleanup.cleanup()";"com.hubspot.singularity.executor.task.SingularityExecutorTaskCleanup.cleanTaskDefinitionFile()";"Extract Method public cleanTaskDefinitionFile() : boolean extracted from public cleanup() : boolean in class com.hubspot.singularity.executor.task.SingularityExecutorTaskCleanup"
1231;"68babc6c4c9d4bac8479b0984999b7054770d36d";"71c407db7843b33d00eadbe0d69e4d9b88be4146";"Extract Method";"com.hubspot.singularity.runner.base.config.SingularityRunnerBaseModule.configure()";"com.hubspot.singularity.runner.base.config.SingularityConfigurationLoader.bindAllDefaults(Properties)";"Extract Method public bindAllDefaults(properties Properties) : void extracted from protected configure() : void in class com.hubspot.singularity.runner.base.config.SingularityRunnerBaseModule"
1232;"71c407db7843b33d00eadbe0d69e4d9b88be4146";"a28a6b36d95692989420f86552fb5d5cca4a8952";"Inline Method";"com.hubspot.singularity.executor.task.SingularityExecutorArtifactFetcher.SingularityExecutorTaskArtifactFetcher.downloadFiles(ExecutorData,ArtifactManager,SingularityExecutorTask)";"com.hubspot.singularity.executor.task.SingularityExecutorArtifactFetcher.SingularityExecutorTaskArtifactFetcher.fetchFiles()";"Inline Method private downloadFiles(executorData ExecutorData, artifactManager ArtifactManager, task SingularityExecutorTask) : void inlined to public fetchFiles() : void in class com.hubspot.singularity.executor.task.SingularityExecutorArtifactFetcher.SingularityExecutorTaskArtifactFetcher"
1236;"3aa3ed1ab5f5c31f68c2655a1febb95c3b81483d";"cb245fc6edd1f467267b54f6f6f435c8ece32f26";"Extract Method";"com.hubspot.singularity.scheduler.SingularityDeployChecker.saveNewDeployState(SingularityDeployMarker,Optional)";"com.hubspot.singularity.data.DeployManager.saveNewRequestDeployState(SingularityRequestDeployState)";"Extract Method public saveNewRequestDeployState(newDeployState SingularityRequestDeployState) : SingularityCreateResult extracted from private saveNewDeployState(pendingDeployMarker SingularityDeployMarker, newActiveDeploy Optional) : boolean in class com.hubspot.singularity.scheduler.SingularityDeployChecker"
1236;"3aa3ed1ab5f5c31f68c2655a1febb95c3b81483d";"cb245fc6edd1f467267b54f6f6f435c8ece32f26";"Extract Method";"com.hubspot.singularity.data.DeployManager.saveDeploy(SingularityRequest,SingularityDeployMarker,SingularityDeploy)";"com.hubspot.singularity.data.DeployManager.saveNewRequestDeployState(SingularityRequestDeployState)";"Extract Method public saveNewRequestDeployState(newDeployState SingularityRequestDeployState) : SingularityCreateResult extracted from public saveDeploy(request SingularityRequest, deployMarker SingularityDeployMarker, deploy SingularityDeploy) : ConditionalSaveResult in class com.hubspot.singularity.data.DeployManager"
