"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
29;"90d2bd03272d825f4751d3f2ee42ff22afcf879a";"f826ed05e5925634bd4f3dcdd3f9aebeb7825429";"Extract Method";"org.ansj.recognition.arrimpl.PersonRecognition.recognition(Graph)";"org.ansj.recognition.arrimpl.PersonRecognition.getPersonNodeViterbi(Term[])";"Extract Method private getPersonNodeViterbi(terms Term[]) : Viterbi extracted from public recognition(graph Graph) : void in class org.ansj.recognition.arrimpl.PersonRecognition"
29;"90d2bd03272d825f4751d3f2ee42ff22afcf879a";"f826ed05e5925634bd4f3dcdd3f9aebeb7825429";"Extract Method";"org.ansj.recognition.arrimpl.PersonRecognition.recognition(Graph)";"org.ansj.recognition.arrimpl.PersonRecognition.termSplit(Term[],List)";"Extract Method private termSplit(terms Term[], replaceTerm List) : void extracted from public recognition(graph Graph) : void in class org.ansj.recognition.arrimpl.PersonRecognition"
39;"3185ffde5fea0b35af46eea79cbfc9f9c1689ad1";"58a18263c94f0b528d0282592dfc42da691f2932";"Extract Method";"org.ansj.util.Graph.walkPathByScore()";"org.ansj.util.Graph.walkPathByScore(boolean)";"Extract Method public walkPathByScore(asc boolean) : void extracted from public walkPathByScore() : void in class org.ansj.util.Graph"
52;"66b0e6069048a640b09c7768a1b2099cde849888";"5cb53999253ca03c1b194cf206eebc57f4d46d60";"Inline Method";"org.ansj.recognition.impl.DicRecognition.recognition(Result,Forest)";"org.ansj.recognition.impl.DicRecognition.recognition(Result)";"Inline Method private recognition(result Result, forest Forest) : void inlined to public recognition(result Result) : void in class org.ansj.recognition.impl.DicRecognition"
92;"bb37b5513ee9e0bdab6c92ae1e463c315d438505";"38de481cf3346fac8e232418e69cbed2948db889";"Rename Class";"org.ansj.recognition.impl.FilterRecognition";"org.ansj.recognition.impl.StopRecognition";"Rename Class org.ansj.recognition.impl.FilterRecognition renamed to org.ansj.recognition.impl.StopRecognition"
92;"bb37b5513ee9e0bdab6c92ae1e463c315d438505";"38de481cf3346fac8e232418e69cbed2948db889";"Rename Class";"org.ansj.library.FilterLibrary";"org.ansj.library.StopLibrary";"Rename Class org.ansj.library.FilterLibrary renamed to org.ansj.library.StopLibrary"
97;"6de8cafeff58fb286fb151b3a4276796009e6e9d";"5048a46112f804715c98005f3655f45570cf5c20";"Rename Method";"org.ansj.recognition.impl.FilterRecognition.insertStopRegex(String)";"org.ansj.recognition.impl.FilterRecognition.insertStopRegexes(String[])";"Rename Method public insertStopRegex(regex String) : void renamed to public insertStopRegexes(regexes String[]) : void in class org.ansj.recognition.impl.FilterRecognition"
97;"6de8cafeff58fb286fb151b3a4276796009e6e9d";"5048a46112f804715c98005f3655f45570cf5c20";"Rename Method";"org.ansj.recognition.impl.FilterRecognition.insertStopWord(String[])";"org.ansj.recognition.impl.FilterRecognition.insertStopWords(String[])";"Rename Method public insertStopWord(filterWord String[]) : void renamed to public insertStopWords(filterWords String[]) : FilterRecognition in class org.ansj.recognition.impl.FilterRecognition"
97;"6de8cafeff58fb286fb151b3a4276796009e6e9d";"5048a46112f804715c98005f3655f45570cf5c20";"Extract Method";"org.ansj.ansj_lucene5_plug.AppTest.main(String[])";"org.ansj.ansj_lucene5_plug.AppTest.parse(Analysis,List)";"Extract Method private parse(an Analysis, filters List) : void extracted from public main(args String[]) : void in class org.ansj.ansj_lucene5_plug.AppTest"
97;"6de8cafeff58fb286fb151b3a4276796009e6e9d";"5048a46112f804715c98005f3655f45570cf5c20";"Extract Method";"org.ansj.recognition.impl.FilterRecognition.recognition(Result)";"org.ansj.recognition.impl.FilterRecognition.filter(Term)";"Extract Method public filter(term Term) : boolean extracted from public recognition(result Result) : void in class org.ansj.recognition.impl.FilterRecognition"
98;"5048a46112f804715c98005f3655f45570cf5c20";"4be5cbcdcf816703da117917f849e7890f362ffa";"Rename Class";"org.ansj.library.StopLibrary";"org.ansj.library.FilterLibrary";"Rename Class org.ansj.library.StopLibrary renamed to org.ansj.library.FilterLibrary"
149;"9d4128cdeef03d1cd3e5a340a14cc5d801f212a3";"4f68f42c9b83f0cba63d123db54410dcfa0b57b9";"Move Method";"org.ansj.test.BigSplitWordTest.CRFSplitTest()";"org.ansj.app.crf.ModelTest.CRFSplitTest()";"Move Method public CRFSplitTest() : void from class org.ansj.test.BigSplitWordTest to public CRFSplitTest() : void from class org.ansj.app.crf.ModelTest"
158;"24422199448a652c3d4754e58140e5c743e312d7";"7d260d197d599974efd63463628b04d10c3e6655";"Extract Method";"org.ansj.domain.Result.toString()";"org.ansj.domain.Result.toString(String)";"Extract Method public toString(split String) : String extracted from public toString() : String in class org.ansj.domain.Result"
