"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.Action";"org.atmosphere.runtime.Action";"Move Class org.atmosphere.cpr.Action moved to org.atmosphere.runtime.Action"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AnnotationHandler";"org.atmosphere.runtime.AnnotationHandler";"Move Class org.atmosphere.cpr.AnnotationHandler moved to org.atmosphere.runtime.AnnotationHandler"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AnnotationProcessor";"org.atmosphere.runtime.AnnotationProcessor";"Move Class org.atmosphere.cpr.AnnotationProcessor moved to org.atmosphere.runtime.AnnotationProcessor"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AnnotationScanningServletContainerInitializer";"org.atmosphere.runtime.AnnotationScanningServletContainerInitializer";"Move Class org.atmosphere.cpr.AnnotationScanningServletContainerInitializer moved to org.atmosphere.runtime.AnnotationScanningServletContainerInitializer"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AsyncIOInterceptor";"org.atmosphere.runtime.AsyncIOInterceptor";"Move Class org.atmosphere.cpr.AsyncIOInterceptor moved to org.atmosphere.runtime.AsyncIOInterceptor"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AsyncIOInterceptorAdapter";"org.atmosphere.runtime.AsyncIOInterceptorAdapter";"Move Class org.atmosphere.cpr.AsyncIOInterceptorAdapter moved to org.atmosphere.runtime.AsyncIOInterceptorAdapter"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AsyncIOWriter";"org.atmosphere.runtime.AsyncIOWriter";"Move Class org.atmosphere.cpr.AsyncIOWriter moved to org.atmosphere.runtime.AsyncIOWriter"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AsyncIOWriterAdapter";"org.atmosphere.runtime.AsyncIOWriterAdapter";"Move Class org.atmosphere.cpr.AsyncIOWriterAdapter moved to org.atmosphere.runtime.AsyncIOWriterAdapter"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AsyncSupport";"org.atmosphere.runtime.AsyncSupport";"Move Class org.atmosphere.cpr.AsyncSupport moved to org.atmosphere.runtime.AsyncSupport"
65;"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";"85ae79c9e517672a9a0e5e42f376ce1fdc0c196e";"Move Class";"org.atmosphere.cpr.AsyncSupportListener";"org.atmosphere.runtime.AsyncSupportListener";"Move Class org.atmosphere.cpr.AsyncSupportListener moved to org.atmosphere.runtime.AsyncSupportListener"
