"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
2;"2801269c7e47bd6e243612654a74cee809d20959";"3224abedd01aaa85aae9ae3399efe92557f42e55";"Extract Method";"org.crsh.auth.FilePublicKeyProvider.loadKeys()";"org.crsh.auth.FilePublicKeyProvider.convertPemKeyPair(PEMKeyPair)";"Extract Method private convertPemKeyPair(pemKeyPair PEMKeyPair) : KeyPair extracted from public loadKeys() : Iterable in class org.crsh.auth.FilePublicKeyProvider"
10;"3c45c9663e01fdec5e075ecdfe7877f2d39aa57a";"56320c52fcfb87328d2e836c91cc0871385fac60";"Rename Method";"org.crsh.lang.impl.groovy.Helper.resolveCommandProperty(InvocationContext,String)";"org.crsh.lang.impl.groovy.Helper.resolveProperty(InvocationContext,String)";"Rename Method public resolveCommandProperty(context InvocationContext, property String) : PipeLineClosure renamed to public resolveProperty(context InvocationContext, property String) : PipeLineClosure in class org.crsh.lang.impl.groovy.Helper"
10;"3c45c9663e01fdec5e075ecdfe7877f2d39aa57a";"56320c52fcfb87328d2e836c91cc0871385fac60";"Rename Method";"org.crsh.lang.impl.groovy.Helper.resolveCommandInvocation(InvocationContext,String,Object)";"org.crsh.lang.impl.groovy.Helper.resolveMethodInvocation(InvocationContext,String,Object)";"Rename Method public resolveCommandInvocation(context InvocationContext, name String, args Object) : Runnable renamed to public resolveMethodInvocation(context InvocationContext, name String, args Object) : SafeCallable in class org.crsh.lang.impl.groovy.Helper"
10;"3c45c9663e01fdec5e075ecdfe7877f2d39aa57a";"56320c52fcfb87328d2e836c91cc0871385fac60";"Extract Method";"org.crsh.groovy.GroovyCommand.invokeMethod(String,Object)";"org.crsh.lang.impl.groovy.Helper.invokeMethod(RuntimeContext,String,Object,MissingMethodException)";"Extract Method public invokeMethod(context RuntimeContext, name String, args Object, ex MissingMethodException) : Object extracted from public invokeMethod(name String, args Object) : Object in class org.crsh.groovy.GroovyCommand"
10;"3c45c9663e01fdec5e075ecdfe7877f2d39aa57a";"56320c52fcfb87328d2e836c91cc0871385fac60";"Extract Method";"org.crsh.lang.impl.groovy.command.GroovyScriptCommand.invokeMethod(String,Object)";"org.crsh.lang.impl.groovy.Helper.invokeMethod(RuntimeContext,String,Object,MissingMethodException)";"Extract Method public invokeMethod(context RuntimeContext, name String, args Object, ex MissingMethodException) : Object extracted from public invokeMethod(name String, args Object) : Object in class org.crsh.lang.impl.groovy.command.GroovyScriptCommand"
13;"990be847fc886c403223cb62f7e28991b21d82e7";"6243fe0a760f0c55e04ada3ad36d8046b4521f47";"Extract Superclass";"org.crsh.shell.impl.command.InvocationContextImpl";"org.crsh.shell.impl.command.AbstractInvocationContext";"Extract Superclass org.crsh.shell.impl.command.AbstractInvocationContext from class org.crsh.shell.impl.command.InvocationContextImpl"
30;"26d5adf0a94562b5142e405b2e3eaa2415760c29";"403f421bfee5ab0ce3f48b3405fe01da6bce3099";"Move Class";"org.crsh.BaseProcess";"test.shell.base.BaseProcess";"Move Class org.crsh.BaseProcess moved to test.shell.base.BaseProcess"
30;"26d5adf0a94562b5142e405b2e3eaa2415760c29";"403f421bfee5ab0ce3f48b3405fe01da6bce3099";"Move Class";"org.crsh.BaseProcessContext";"test.shell.base.BaseProcessContext";"Move Class org.crsh.BaseProcessContext moved to test.shell.base.BaseProcessContext"
30;"26d5adf0a94562b5142e405b2e3eaa2415760c29";"403f421bfee5ab0ce3f48b3405fe01da6bce3099";"Move Class";"org.crsh.BaseProcessFactory";"test.shell.base.BaseProcessFactory";"Move Class org.crsh.BaseProcessFactory moved to test.shell.base.BaseProcessFactory"
30;"26d5adf0a94562b5142e405b2e3eaa2415760c29";"403f421bfee5ab0ce3f48b3405fe01da6bce3099";"Move Class";"org.crsh.BaseShell";"test.shell.base.BaseShell";"Move Class org.crsh.BaseShell moved to test.shell.base.BaseShell"
