"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Method";"cucumber.runtime.ParameterInfo.fromMethod(Method)";"cucumber.runtime.java.ParameterInfo.fromMethod(Method)";"Move Method public fromMethod(method Method) : List from class cucumber.runtime.ParameterInfo to package fromMethod(method Method) : List from class cucumber.runtime.java.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Method";"cucumber.runtime.ParameterInfo.getType()";"cucumber.runtime.java.ParameterInfo.getType()";"Move Method public getType() : Type from class cucumber.runtime.ParameterInfo to package getType() : Type from class cucumber.runtime.java.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Method";"cucumber.runtime.ParameterInfo.isTransposed()";"cucumber.runtime.java.ParameterInfo.isTransposed()";"Move Method public isTransposed() : boolean from class cucumber.runtime.ParameterInfo to package isTransposed() : boolean from class cucumber.runtime.java.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Method";"cucumber.runtime.ParameterInfo.toString()";"cucumber.runtime.java.ParameterInfo.toString()";"Move Method public toString() : String from class cucumber.runtime.ParameterInfo to public toString() : String from class cucumber.runtime.java.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Method";"cucumber.runtime.ParameterInfo.fromTypes(Type[])";"cucumber.runtime.java8.ParameterInfo.fromTypes(Type[])";"Move Method public fromTypes(genericParameterTypes Type[]) : List from class cucumber.runtime.ParameterInfo to package fromTypes(genericParameterTypes Type[]) : List from class cucumber.runtime.java8.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Attribute";"cucumber.runtime.ParameterInfo.transposed";"cucumber.runtime.java.ParameterInfo.transposed";"Move Attribute private transposed : boolean from class cucumber.runtime.ParameterInfo to class cucumber.runtime.java.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Attribute";"cucumber.runtime.ParameterInfo.type";"cucumber.runtime.java.ParameterInfo.type";"Move Attribute private type : Type from class cucumber.runtime.ParameterInfo to class cucumber.runtime.java.ParameterInfo"
7;"ca0e4297d891440d7f81d04ea14d4f77667128a8";"9f5cdb7c182550817f52c708fc539ba70c79e236";"Move Attribute";"cucumber.runtime.ParameterInfo.type";"cucumber.runtime.java8.ParameterInfo.type";"Move Attribute private type : Type from class cucumber.runtime.ParameterInfo to class cucumber.runtime.java8.ParameterInfo"
13;"f2b2fd364e5ba67df6144a463dd4a7ff6abcef23";"f1dce4644529f58acba3de8f795ce4045e9ff03f";"Move Method";"cucumber.runtime.EmbedEventMatcher.matches(Object)";"cucumber.runtime.ScenarioResultTest.EmbedEventMatcher.matches(EmbedEvent)";"Move Method public matches(argument Object) : boolean from class cucumber.runtime.EmbedEventMatcher to public matches(argument EmbedEvent) : boolean from class cucumber.runtime.ScenarioResultTest.EmbedEventMatcher"
13;"f2b2fd364e5ba67df6144a463dd4a7ff6abcef23";"f1dce4644529f58acba3de8f795ce4045e9ff03f";"Move Method";"cucumber.runtime.WriteEventMatcher.matches(Object)";"cucumber.runtime.ScenarioResultTest.WriteEventMatcher.matches(WriteEvent)";"Move Method public matches(argument Object) : boolean from class cucumber.runtime.WriteEventMatcher to public matches(argument WriteEvent) : boolean from class cucumber.runtime.ScenarioResultTest.WriteEventMatcher"
