"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
0;"b2d77411ae4a43ddd2386c4a1db5e0191790acf6";"345f3db49a7f4e662d117fb778bc66b49de14dae";"Extract Interface";"org.apache.giraph.writable.kryo.KryoSimpleWrapper";"org.apache.giraph.writable.kryo.Boxed";"Extract Interface org.apache.giraph.writable.kryo.Boxed from class org.apache.giraph.writable.kryo.KryoSimpleWrapper"
3;"60752aab7f8c3ce2b1fd57e232c7305adfb6200a";"3273f2572f79bfcfc9abe1d821a9743108c65ebb";"Rename Method";"org.apache.giraph.writable.kryo.HadoopKryo.readClassAndObject(DataInput)";"org.apache.giraph.writable.kryo.HadoopKryo.readClassAndObj(DataInput)";"Rename Method public readClassAndObject(in DataInput) : T renamed to public readClassAndObj(in DataInput) : T in class org.apache.giraph.writable.kryo.HadoopKryo"
3;"60752aab7f8c3ce2b1fd57e232c7305adfb6200a";"3273f2572f79bfcfc9abe1d821a9743108c65ebb";"Rename Method";"org.apache.giraph.writable.kryo.HadoopKryo.writeClassAndObject(DataOutput,Object)";"org.apache.giraph.writable.kryo.HadoopKryo.writeClassAndObj(DataOutput,Object)";"Rename Method public writeClassAndObject(out DataOutput, object Object) : void renamed to public writeClassAndObj(out DataOutput, object Object) : void in class org.apache.giraph.writable.kryo.HadoopKryo"
5;"5c418ff33ad704d0596c631dad9e082c4b2076ca";"98b724f979a9305a5c92d361aa9a89a111c76701";"Rename Method";"org.apache.giraph.utils.UnsafeByteArrayOutputStream.ensureSize(int)";"org.apache.giraph.utils.UnsafeByteArrayOutputStream.require(int)";"Rename Method private ensureSize(size int) : void renamed to protected require(size int) : boolean in class org.apache.giraph.utils.UnsafeByteArrayOutputStream"
5;"5c418ff33ad704d0596c631dad9e082c4b2076ca";"98b724f979a9305a5c92d361aa9a89a111c76701";"Rename Method";"org.apache.giraph.utils.UnsafeReads.ensureRemaining(int)";"org.apache.giraph.utils.UnsafeReads.require(int)";"Rename Method protected ensureRemaining(requiredBytes int) : void renamed to protected require(requiredBytes int) : int in class org.apache.giraph.utils.UnsafeReads"
24;"448ae1c06150d4fd62939b5a31f38c03d9a33c7c";"fc996e7530dadf0cb498ba1970a6de5ea6edd817";"Rename Method";"org.apache.giraph.job.DefaultJobProgressTrackerService.killTooLongJob()";"org.apache.giraph.job.DefaultJobProgressTrackerService.killJobWithMessage(String)";"Rename Method protected killTooLongJob() : void renamed to protected killJobWithMessage(message String) : void in class org.apache.giraph.job.DefaultJobProgressTrackerService"
36;"c9621e30ba79b20322f449e24a2f438918ce33fa";"e354e067ea6b5d099db609aff76a199a81e92d12";"Extract Method";"org.apache.giraph.job.CombinedWorkerProgress.toString()";"org.apache.giraph.job.CombinedWorkerProgress.getProgressString()";"Extract Method protected getProgressString() : String extracted from public toString() : String in class org.apache.giraph.job.CombinedWorkerProgress"
46;"18c67ca3c221cf2961d59ac19a245762f4dd8f7d";"f37f373a04af7de05b089a55bfb4d2d86d055fce";"Rename Method";"org.apache.giraph.zk.PredicateLock.waitForever()";"org.apache.giraph.zk.PredicateLock.waitForTimeoutOrFail(long)";"Rename Method public waitForever() : void renamed to public waitForTimeoutOrFail(timeout long) : void in class org.apache.giraph.zk.PredicateLock"
54;"f5b685efa09b539b1f95925405723f7ac7b1dcea";"cdf37f23a24b5665123f540905bdd6570619fc89";"Rename Method";"org.apache.giraph.ooc.policy.FixedPartitionsOracle.shutdown()";"org.apache.giraph.ooc.policy.FixedPartitionsOracle.startIteration()";"Rename Method public shutdown() : void renamed to public startIteration() : void in class org.apache.giraph.ooc.policy.FixedPartitionsOracle"
54;"f5b685efa09b539b1f95925405723f7ac7b1dcea";"cdf37f23a24b5665123f540905bdd6570619fc89";"Rename Method";"org.apache.giraph.ooc.policy.SimpleGCMonitoringOracle.shutdown()";"org.apache.giraph.ooc.policy.SimpleGCMonitoringOracle.startIteration()";"Rename Method public shutdown() : void renamed to public startIteration() : void in class org.apache.giraph.ooc.policy.SimpleGCMonitoringOracle"
54;"f5b685efa09b539b1f95925405723f7ac7b1dcea";"cdf37f23a24b5665123f540905bdd6570619fc89";"Extract Method";"org.apache.giraph.ooc.policy.ThresholdBasedOracle.updateRates(double)";"org.apache.giraph.ooc.OutOfCoreEngine.updateRequestsCreditFraction(double)";"Extract Method public updateRequestsCreditFraction(fraction double) : void extracted from public updateRates(usedMemoryFraction double) : void in class org.apache.giraph.ooc.policy.ThresholdBasedOracle"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Rename Class";"org.apache.giraph.comm.messages.primitives.long_id.LongAbstractMessageStore";"org.apache.giraph.comm.messages.primitives.long_id.LongAbstractStore";"Rename Class org.apache.giraph.comm.messages.primitives.long_id.LongAbstractMessageStore renamed to org.apache.giraph.comm.messages.primitives.long_id.LongAbstractStore"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Rename Class";"org.apache.giraph.comm.messages.primitives.long_id.LongPointerListMessageStore";"org.apache.giraph.comm.messages.primitives.long_id.LongPointerListPerVertexStore";"Rename Class org.apache.giraph.comm.messages.primitives.long_id.LongPointerListMessageStore renamed to org.apache.giraph.comm.messages.primitives.long_id.LongPointerListPerVertexStore"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Rename Class";"org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListMessageStore";"org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListStore";"Rename Class org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListMessageStore renamed to org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListStore"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Rename Method";"org.apache.giraph.utils.TestGraph.idIterator()";"org.apache.giraph.utils.TestGraph.getVertexCount()";"Rename Method public idIterator() : Iterator renamed to public getVertexCount() : int in class org.apache.giraph.utils.TestGraph"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Rename Method";"org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListMessageStore.getList(VertexIdIterator)";"org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListStore.hasMessagesForVertex(LongWritable)";"Rename Method protected getList(iterator VertexIdIterator) : L renamed to public hasMessagesForVertex(vertexId LongWritable) : boolean in class org.apache.giraph.comm.messages.primitives.long_id.LongAbstractListStore"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Move Method";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalConcurrentMessageStore.sendMessageToMultipleEdges(Iterator,M)";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalWrappedMessageStore.sendMessageToMultipleEdges(Iterator,M)";"Move Method public sendMessageToMultipleEdges(idIter Iterator, message M) : void from class org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalConcurrentMessageStore to public sendMessageToMultipleEdges(idIter Iterator, message M) : void from class org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalWrappedMessageStore"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Move Method";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalConcurrentMessageStore.createMessageStore(ImmutableClassesGiraphConfiguration,BlockWorkerPieces,boolean)";"org.apache.giraph.block_app.framework.api.local.InternalApi.createMessageStore(ImmutableClassesGiraphConfiguration,MessageClasses,PartitionSplitInfo,boolean)";"Move Method public createMessageStore(conf ImmutableClassesGiraphConfiguration, pieces BlockWorkerPieces, runAllChecks boolean) : InternalMessageStore from class org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalConcurrentMessageStore to private createMessageStore(conf ImmutableClassesGiraphConfiguration, messageClasses MessageClasses, partitionInfo PartitionSplitInfo, runAllChecks boolean) : InternalMessageStore from class org.apache.giraph.block_app.framework.api.local.InternalApi"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Move Method";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalByteMessageStore.sendMessage(I,M)";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalWrappedMessageStore.sendMessage(I,M)";"Move Method public sendMessage(id I, message M) : void from class org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalByteMessageStore to public sendMessage(id I, message M) : void from class org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalWrappedMessageStore"
70;"2117d1dbba8f18b08da70e890c30111edb3aebe3";"2ae95bd6e65f698120eb3a7b774b4a7b252ce168";"Extract Method";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalConcurrentMessageStore.createMessageStore(ImmutableClassesGiraphConfiguration,BlockWorkerPieces,boolean)";"org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalWrappedMessageStore.create(ImmutableClassesGiraphConfiguration,MessageClasses,PartitionSplitInfo)";"Extract Method public create(conf ImmutableClassesGiraphConfiguration, messageClasses MessageClasses, partitionInfo PartitionSplitInfo) : InternalMessageStore extracted from public createMessageStore(conf ImmutableClassesGiraphConfiguration, pieces BlockWorkerPieces, runAllChecks boolean) : InternalMessageStore in class org.apache.giraph.block_app.framework.api.local.InternalMessageStore.InternalConcurrentMessageStore"
73;"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";"693a71c85a9e899b8f4054778e886fdcdd4470de";"Extract Method";"org.apache.giraph.comm.netty.NettyClient.doSend(int,WritableRequest)";"org.apache.giraph.comm.netty.NettyClient.writeRequestToChannel(RequestInfo)";"Extract Method private writeRequestToChannel(requestInfo RequestInfo) : void extracted from public doSend(destTaskId int, request WritableRequest) : Long in class org.apache.giraph.comm.netty.NettyClient"
73;"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";"693a71c85a9e899b8f4054778e886fdcdd4470de";"Extract Method";"org.apache.giraph.comm.netty.NettyClient.resendRequestsWhenNeeded(Predicate)";"org.apache.giraph.comm.netty.NettyClient.writeRequestToChannel(RequestInfo)";"Extract Method private writeRequestToChannel(requestInfo RequestInfo) : void extracted from private resendRequestsWhenNeeded(shouldResendRequestPredicate Predicate) : void in class org.apache.giraph.comm.netty.NettyClient"
73;"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";"693a71c85a9e899b8f4054778e886fdcdd4470de";"Extract Method";"org.apache.giraph.job.DefaultJobProgressTrackerService.startWriterThread()";"org.apache.giraph.utils.ThreadUtils.startThread(Runnable,String)";"Extract Method public startThread(runnable Runnable, threadName String) : Thread extracted from private startWriterThread() : void in class org.apache.giraph.job.DefaultJobProgressTrackerService"
73;"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";"693a71c85a9e899b8f4054778e886fdcdd4470de";"Extract Method";"org.apache.giraph.worker.MemoryObserver.(ZooKeeperExt,String,GiraphConfiguration)";"org.apache.giraph.utils.ThreadUtils.startThread(Runnable,String)";"Extract Method public startThread(runnable Runnable, threadName String) : Thread extracted from public MemoryObserver(zk ZooKeeperExt, zkPath String, conf GiraphConfiguration) in class org.apache.giraph.worker.MemoryObserver"
73;"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";"693a71c85a9e899b8f4054778e886fdcdd4470de";"Extract Method";"org.apache.giraph.job.DefaultJobProgressTrackerService.jobGotAllMappers()";"org.apache.giraph.utils.ThreadUtils.startThread(Runnable,String)";"Extract Method public startThread(runnable Runnable, threadName String) : Thread extracted from private jobGotAllMappers() : void in class org.apache.giraph.job.DefaultJobProgressTrackerService"
73;"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";"693a71c85a9e899b8f4054778e886fdcdd4470de";"Extract Method";"org.apache.giraph.utils.JMapHistoDumper.startJMapThread()";"org.apache.giraph.utils.ThreadUtils.startThread(Runnable,String)";"Extract Method public startThread(runnable Runnable, threadName String) : Thread extracted from public startJMapThread() : void in class org.apache.giraph.utils.JMapHistoDumper"
