"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
22;"d3827917ba512d010d87f304c211bc14edb2f4b6";"c2ea2849b94243c93ebcd86278f40331c7e02517";"Move Method";"com.addthis.hydra.util.WebSocketManager.MQWebSocket.drainEvents(int)";"com.addthis.hydra.job.web.websocket.SpawnWebSocketSession.drainEvents(int)";"Move Method public drainEvents(maxNumber int) : int from class com.addthis.hydra.util.WebSocketManager.MQWebSocket to public drainEvents(maxNumber int) : int from class com.addthis.hydra.job.web.websocket.SpawnWebSocketSession"
22;"d3827917ba512d010d87f304c211bc14edb2f4b6";"c2ea2849b94243c93ebcd86278f40331c7e02517";"Move Method";"com.addthis.hydra.util.WebSocketManager.MQWebSocket.addEvent(ClientEvent)";"com.addthis.hydra.job.web.websocket.SpawnWebSocketSession.addEvent(ClientEvent)";"Move Method public addEvent(event ClientEvent) : void from class com.addthis.hydra.util.WebSocketManager.MQWebSocket to public addEvent(event ClientEvent) : boolean from class com.addthis.hydra.job.web.websocket.SpawnWebSocketSession"
22;"d3827917ba512d010d87f304c211bc14edb2f4b6";"c2ea2849b94243c93ebcd86278f40331c7e02517";"Move Method";"com.addthis.hydra.util.WebSocketManager.MQWebSocket.sendMessageByTopic(String,String)";"com.addthis.hydra.job.web.websocket.SpawnWebSocketSession.sendMessageByTopic(String,String)";"Move Method public sendMessageByTopic(topic String, message String) : void from class com.addthis.hydra.util.WebSocketManager.MQWebSocket to private sendMessageByTopic(topic String, message String) : void from class com.addthis.hydra.job.web.websocket.SpawnWebSocketSession"
22;"d3827917ba512d010d87f304c211bc14edb2f4b6";"c2ea2849b94243c93ebcd86278f40331c7e02517";"Extract Method";"com.addthis.hydra.job.web.SpawnService.(Spawn,SpawnServiceConfiguration)";"com.addthis.hydra.job.web.SpawnService.createServer(Spawn,SpawnServiceConfiguration)";"Extract Method private createServer(spawn Spawn, configuration SpawnServiceConfiguration) : Server extracted from public SpawnService(spawn Spawn, configuration SpawnServiceConfiguration) in class com.addthis.hydra.job.web.SpawnService"
22;"d3827917ba512d010d87f304c211bc14edb2f4b6";"c2ea2849b94243c93ebcd86278f40331c7e02517";"Move Attribute";"com.addthis.hydra.util.WebSocketManager.nonConsumingClientDropCounter";"com.addthis.hydra.job.web.websocket.SpawnWebSocketSession.nonConsumingClientDropCounter";"Move Attribute private nonConsumingClientDropCounter : Counter from class com.addthis.hydra.util.WebSocketManager to class com.addthis.hydra.job.web.websocket.SpawnWebSocketSession"
22;"d3827917ba512d010d87f304c211bc14edb2f4b6";"c2ea2849b94243c93ebcd86278f40331c7e02517";"Move Attribute";"com.addthis.hydra.util.WebSocketManager.MQWebSocket.eventQueue";"com.addthis.hydra.job.web.websocket.SpawnWebSocketSession.eventQueue";"Move Attribute private eventQueue : LinkedBlockingQueue from class com.addthis.hydra.util.WebSocketManager.MQWebSocket to class com.addthis.hydra.job.web.websocket.SpawnWebSocketSession"
57;"aa7c620258c944ecc8ce41bc87d43013167d8f16";"34634bbe2bd377325928b00bd558c87cf2303631";"Rename Method";"com.addthis.hydra.job.spawn.balancer.SpawnBalancer.pushTasksOffHost(HostState,Collection,boolean,double,int,boolean)";"com.addthis.hydra.job.spawn.balancer.SpawnBalancer.getMoveAssignments(HostState,Collection,boolean,long,int,boolean)";"Rename Method private pushTasksOffHost(host HostState, otherHosts Collection, limitBytes boolean, byteLimitFactor double, moveLimit int, obeyDontAutobalanceMe boolean) : List renamed to private getMoveAssignments(host HostState, otherHosts Collection, limitBytes boolean, byteLimit long, moveLimit int, obeyDontAutobalanceMe boolean) : List in class com.addthis.hydra.job.spawn.balancer.SpawnBalancer"
79;"de7e12ba9022774cb31828d1d1d8d5be147e943d";"dc2ff692c46ba516bcda4206afc43ae1d5c4d23f";"Rename Method";"com.addthis.hydra.job.spawn.balancer.SpawnBalancer.pushTasksOffDiskForFilesystemOkayFailure(HostState,int)";"com.addthis.hydra.job.spawn.balancer.SpawnBalancer.pushTasksOffHostForFilesystemOkayFailure(HostState,int)";"Rename Method public pushTasksOffDiskForFilesystemOkayFailure(host HostState, moveLimit int) : List renamed to public pushTasksOffHostForFilesystemOkayFailure(host HostState, moveLimit int) : List in class com.addthis.hydra.job.spawn.balancer.SpawnBalancer"
79;"de7e12ba9022774cb31828d1d1d8d5be147e943d";"dc2ff692c46ba516bcda4206afc43ae1d5c4d23f";"Rename Method";"com.addthis.hydra.job.spawn.balancer.SpawnBalancer.pushTasksOntoDisk(HostState,Iterable)";"com.addthis.hydra.job.spawn.balancer.SpawnBalancer.pushTasksOntoHost(HostState,Iterable)";"Rename Method private pushTasksOntoDisk(host HostState, heavyHosts Iterable) : List renamed to private pushTasksOntoHost(host HostState, heavyHosts Iterable) : List in class com.addthis.hydra.job.spawn.balancer.SpawnBalancer"
94;"8261295895d7ba9af5f08cf9f745a8535a0c9f37";"8b11daa18762038bfcf72ecf007c5a229581fe93";"Rename Method";"com.addthis.hydra.job.auth.PermissionsManager.isamdin(User)";"com.addthis.hydra.job.auth.PermissionsManager.isAdmin(User)";"Rename Method public isamdin(user User) : boolean renamed to public isAdmin(user User) : boolean in class com.addthis.hydra.job.auth.PermissionsManager"
