"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Class";"com.notnoop.apns.internal.BatchApnsService.SendMessagessBatch";"com.notnoop.apns.internal.BatchApnsService.SendMessagesBatch";"Rename Class com.notnoop.apns.internal.BatchApnsService.SendMessagessBatch renamed to com.notnoop.apns.internal.BatchApnsService.SendMessagesBatch"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.integration.ApnsSimulatorTest.Racecondition()";"com.notnoop.apns.integration.ApnsSimulatorTest.RaceCondition()";"Rename Method public Racecondition() : void renamed to public RaceCondition() : void in class com.notnoop.apns.integration.ApnsSimulatorTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.ApnsFeedbackConnectionTest.feedbackWithclosedSocket()";"com.notnoop.apns.internal.ApnsFeedbackConnectionTest.feedbackWithClosedSocket()";"Rename Method public feedbackWithclosedSocket() : void renamed to public feedbackWithClosedSocket() : void in class com.notnoop.apns.internal.ApnsFeedbackConnectionTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.ApnsFeedbackConnectionTest.feedbackWitherrorOnce()";"com.notnoop.apns.internal.ApnsFeedbackConnectionTest.feedbackWithErrorOnce()";"Rename Method public feedbackWitherrorOnce() : void renamed to public feedbackWithErrorOnce() : void in class com.notnoop.apns.internal.ApnsFeedbackConnectionTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.ApnsFeedbackConnectionTest.feedbackWitherrorTwice()";"com.notnoop.apns.internal.ApnsFeedbackConnectionTest.feedbackWithErrorTwice()";"Rename Method public feedbackWitherrorTwice() : void renamed to public feedbackWithErrorTwice() : void in class com.notnoop.apns.internal.ApnsFeedbackConnectionTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.ApnsServiceImplTest.pushEvantually()";"com.notnoop.apns.internal.ApnsServiceImplTest.pushEventually()";"Rename Method public pushEvantually() : void renamed to public pushEventually() : void in class com.notnoop.apns.internal.ApnsServiceImplTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.ApnsServiceImplTest.pushEvantuallySample()";"com.notnoop.apns.internal.ApnsServiceImplTest.pushEventuallySample()";"Rename Method public pushEvantuallySample() : void renamed to public pushEventuallySample() : void in class com.notnoop.apns.internal.ApnsServiceImplTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.Utilities.charval(char)";"com.notnoop.apns.internal.Utilities.charVal(char)";"Rename Method private charval(a char) : int renamed to private charVal(a char) : int in class com.notnoop.apns.internal.Utilities"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.QueuedApnsServiceTCTest.dontBlock()";"com.notnoop.apns.internal.QueuedApnsServiceTCTest.doNotBlock()";"Rename Method public dontBlock() : void renamed to public doNotBlock() : void in class com.notnoop.apns.internal.QueuedApnsServiceTCTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.QueuedApnsServiceTest.dontBlock()";"com.notnoop.apns.internal.QueuedApnsServiceTest.doNotBlock()";"Rename Method public dontBlock() : void renamed to public doNotBlock() : void in class com.notnoop.apns.internal.QueuedApnsServiceTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.QueuedApnsServiceTest.pushEvantuallySample()";"com.notnoop.apns.internal.QueuedApnsServiceTest.pushEventuallySample()";"Rename Method public pushEvantuallySample() : void renamed to public pushEventuallySample() : void in class com.notnoop.apns.internal.QueuedApnsServiceTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.QueuedApnsServiceTCTest.pushEvantually()";"com.notnoop.apns.internal.QueuedApnsServiceTCTest.pushEventually()";"Rename Method public pushEvantually() : void renamed to public pushEventually() : void in class com.notnoop.apns.internal.QueuedApnsServiceTCTest"
33;"4393c6655dd2ec8a318850068fc15f4eadda9578";"639728f6c02ec5103ee76bf6171a799799bb93c8";"Rename Method";"com.notnoop.apns.internal.QueuedApnsServiceTest.pushEvantually()";"com.notnoop.apns.internal.QueuedApnsServiceTest.pushEventually()";"Rename Method public pushEvantually() : void renamed to public pushEventually() : void in class com.notnoop.apns.internal.QueuedApnsServiceTest"
