"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
0;"df040537f47c8bf51ed66d16007c2a3f9f1bb802";"78d4d5eb9371bcd083babfd9c6d298b05e493819";"Rename Class";"redis.clients.jedis.exceptions.JedisClusterMaxRedirectionsException";"redis.clients.jedis.exceptions.JedisClusterOperationException";"Rename Class redis.clients.jedis.exceptions.JedisClusterMaxRedirectionsException renamed to redis.clients.jedis.exceptions.JedisClusterOperationException"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.ByteArrayComparator";"redis.clients.jedis.util.ByteArrayComparator";"Move Class redis.clients.util.ByteArrayComparator moved to redis.clients.jedis.util.ByteArrayComparator"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.Hashing";"redis.clients.jedis.util.Hashing";"Move Class redis.clients.util.Hashing moved to redis.clients.jedis.util.Hashing"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.IOUtils";"redis.clients.jedis.util.IOUtils";"Move Class redis.clients.util.IOUtils moved to redis.clients.jedis.util.IOUtils"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.JedisByteHashMap";"redis.clients.jedis.util.JedisByteHashMap";"Move Class redis.clients.util.JedisByteHashMap moved to redis.clients.jedis.util.JedisByteHashMap"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.JedisClusterCRC16";"redis.clients.jedis.util.JedisClusterCRC16";"Move Class redis.clients.util.JedisClusterCRC16 moved to redis.clients.jedis.util.JedisClusterCRC16"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.JedisClusterHashTagUtil";"redis.clients.jedis.util.JedisClusterHashTagUtil";"Move Class redis.clients.util.JedisClusterHashTagUtil moved to redis.clients.jedis.util.JedisClusterHashTagUtil"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.JedisURIHelper";"redis.clients.jedis.util.JedisURIHelper";"Move Class redis.clients.util.JedisURIHelper moved to redis.clients.jedis.util.JedisURIHelper"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.KeyMergeUtil";"redis.clients.jedis.util.KeyMergeUtil";"Move Class redis.clients.util.KeyMergeUtil moved to redis.clients.jedis.util.KeyMergeUtil"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.MurmurHash";"redis.clients.jedis.util.MurmurHash";"Move Class redis.clients.util.MurmurHash moved to redis.clients.jedis.util.MurmurHash"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.Pool";"redis.clients.jedis.util.Pool";"Move Class redis.clients.util.Pool moved to redis.clients.jedis.util.Pool"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.RedisInputStream";"redis.clients.jedis.util.RedisInputStream";"Move Class redis.clients.util.RedisInputStream moved to redis.clients.jedis.util.RedisInputStream"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.RedisOutputStream";"redis.clients.jedis.util.RedisOutputStream";"Move Class redis.clients.util.RedisOutputStream moved to redis.clients.jedis.util.RedisOutputStream"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.SafeEncoder";"redis.clients.jedis.util.SafeEncoder";"Move Class redis.clients.util.SafeEncoder moved to redis.clients.jedis.util.SafeEncoder"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.ShardInfo";"redis.clients.jedis.util.ShardInfo";"Move Class redis.clients.util.ShardInfo moved to redis.clients.jedis.util.ShardInfo"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.Sharded";"redis.clients.jedis.util.Sharded";"Move Class redis.clients.util.Sharded moved to redis.clients.jedis.util.Sharded"
3;"85a31bafec147591ce5c74f08bfd9243ceff9193";"dfd3d824ee8daecda112fa7495f1fe9083e720fb";"Move Class";"redis.clients.util.Slowlog";"redis.clients.jedis.util.Slowlog";"Move Class redis.clients.util.Slowlog moved to redis.clients.jedis.util.Slowlog"
11;"9b60c4088b221c3b566d0cdd777e045c86960642";"6f941debdafea6fc1a725b1dcc184e9365e49695";"Move Class";"redis.clients.jedis.params.geo.GeoRadiusParam";"redis.clients.jedis.params.GeoRadiusParam";"Move Class redis.clients.jedis.params.geo.GeoRadiusParam moved to redis.clients.jedis.params.GeoRadiusParam"
11;"9b60c4088b221c3b566d0cdd777e045c86960642";"6f941debdafea6fc1a725b1dcc184e9365e49695";"Move Class";"redis.clients.jedis.params.set.SetParams";"redis.clients.jedis.params.SetParams";"Move Class redis.clients.jedis.params.set.SetParams moved to redis.clients.jedis.params.SetParams"
11;"9b60c4088b221c3b566d0cdd777e045c86960642";"6f941debdafea6fc1a725b1dcc184e9365e49695";"Move Class";"redis.clients.jedis.params.sortedset.ZAddParams";"redis.clients.jedis.params.ZAddParams";"Move Class redis.clients.jedis.params.sortedset.ZAddParams moved to redis.clients.jedis.params.ZAddParams"
11;"9b60c4088b221c3b566d0cdd777e045c86960642";"6f941debdafea6fc1a725b1dcc184e9365e49695";"Move Class";"redis.clients.jedis.params.sortedset.ZIncrByParams";"redis.clients.jedis.params.ZIncrByParams";"Move Class redis.clients.jedis.params.sortedset.ZIncrByParams moved to redis.clients.jedis.params.ZIncrByParams"
15;"6a8639fb133fe22fa414b7d91bb92940acdd7112";"3313195c1f52c6ad913fc82d39c98ffb37d725c7";"Extract Method";"redis.clients.jedis.BinaryClient.bitop(BitOP,byte[],byte[][])";"redis.clients.jedis.BinaryClient.joinParameters(byte[],byte[],byte[][])";"Extract Method private joinParameters(first byte[], second byte[], rest byte[][]) : byte[][] extracted from public bitop(op BitOP, destKey byte[], srcKeys byte[][]) : void in class redis.clients.jedis.BinaryClient"
15;"6a8639fb133fe22fa414b7d91bb92940acdd7112";"3313195c1f52c6ad913fc82d39c98ffb37d725c7";"Extract Method";"redis.clients.jedis.BinaryClient.zunionstore(byte[],byte[][])";"redis.clients.jedis.BinaryClient.joinParameters(byte[],byte[],byte[][])";"Extract Method private joinParameters(first byte[], second byte[], rest byte[][]) : byte[][] extracted from public zunionstore(dstkey byte[], sets byte[][]) : void in class redis.clients.jedis.BinaryClient"
15;"6a8639fb133fe22fa414b7d91bb92940acdd7112";"3313195c1f52c6ad913fc82d39c98ffb37d725c7";"Extract Method";"redis.clients.jedis.BinaryClient.zinterstore(byte[],byte[][])";"redis.clients.jedis.BinaryClient.joinParameters(byte[],byte[],byte[][])";"Extract Method private joinParameters(first byte[], second byte[], rest byte[][]) : byte[][] extracted from public zinterstore(dstkey byte[], sets byte[][]) : void in class redis.clients.jedis.BinaryClient"
17;"6c3e6d2e5752af2cd22f4fc56ae83c5282e5d4c6";"ca4415f17aafd2d5016bee6b687cfffdf554544c";"Extract Method";"redis.clients.jedis.JedisShardInfo.(String)";"redis.clients.util.JedisURIHelper.isRedisSSLScheme(URI)";"Extract Method public isRedisSSLScheme(uri URI) : boolean extracted from public JedisShardInfo(host String) in class redis.clients.jedis.JedisShardInfo"
17;"6c3e6d2e5752af2cd22f4fc56ae83c5282e5d4c6";"ca4415f17aafd2d5016bee6b687cfffdf554544c";"Extract Method";"redis.clients.jedis.BinaryJedis.initializeClientFromURI(URI,SSLSocketFactory,SSLParameters,HostnameVerifier)";"redis.clients.util.JedisURIHelper.isRedisSSLScheme(URI)";"Extract Method public isRedisSSLScheme(uri URI) : boolean extracted from private initializeClientFromURI(uri URI, sslSocketFactory SSLSocketFactory, sslParameters SSLParameters, hostnameVerifier HostnameVerifier) : void in class redis.clients.jedis.BinaryJedis"
17;"6c3e6d2e5752af2cd22f4fc56ae83c5282e5d4c6";"ca4415f17aafd2d5016bee6b687cfffdf554544c";"Extract Method";"redis.clients.jedis.JedisShardInfo.(URI)";"redis.clients.util.JedisURIHelper.isRedisSSLScheme(URI)";"Extract Method public isRedisSSLScheme(uri URI) : boolean extracted from public JedisShardInfo(uri URI) in class redis.clients.jedis.JedisShardInfo"
35;"05325b21dc8144b9b825f89bee024d7b283b4d47";"d05290da0ed62db680a1d0dfeb246f50f6f3254a";"Move And Rename Class";"redis.clients.jedis.BinaryClient.LIST_POSITION";"redis.clients.jedis.ListPosition";"Move And Rename Class redis.clients.jedis.BinaryClient.LIST_POSITION moved to redis.clients.jedis.ListPosition"
36;"d05290da0ed62db680a1d0dfeb246f50f6f3254a";"8649a39d7d7a6859ebcd8c29ed5615ea5c3da5fd";"Move And Rename Class";"redis.clients.jedis.JedisCluster.Reset";"redis.clients.jedis.ClusterReset";"Move And Rename Class redis.clients.jedis.JedisCluster.Reset moved to redis.clients.jedis.ClusterReset"
40;"a1216b952bbb8ced498e7969d5c2a51d54108314";"46f674dd4c1960d6df3400bf1d3c88a200be04c7";"Extract Method";"redis.clients.jedis.BinaryJedis.zremrangeByScore(byte[],double,double)";"redis.clients.jedis.BinaryClient.zremrangeByScore(byte[],double,double)";"Extract Method public zremrangeByScore(key byte[], min double, max double) : void extracted from public zremrangeByScore(key byte[], min double, max double) : Long in class redis.clients.jedis.BinaryJedis"
41;"46f674dd4c1960d6df3400bf1d3c88a200be04c7";"08d1e4bea08f5a8de1ef394ebf84ea5d8e5c3940";"Rename Method";"redis.clients.jedis.BinaryJedis.getBinaryTupledSet()";"redis.clients.jedis.BinaryJedis.getTupledSet()";"Rename Method private getBinaryTupledSet() : Set renamed to protected getTupledSet() : Set in class redis.clients.jedis.BinaryJedis"
62;"52785df5f053747f9c8cc492b2e7a8090eda332d";"77baf15d9272e8ae64d2be447261d7854224dec3";"Extract Method";"redis.clients.jedis.BinaryJedisCluster.scan(byte[],ScanParams)";"redis.clients.util.JedisClusterHashTagUtil.isClusterCompliantMatchPattern(byte[])";"Extract Method public isClusterCompliantMatchPattern(matchPattern byte[]) : boolean extracted from public scan(cursor byte[], params ScanParams) : ScanResult in class redis.clients.jedis.BinaryJedisCluster"
80;"9d2568ccc102a9f479d1dc446fc45cec78cca577";"e4a918f443ff1bba076d0ba16f8e2a9e474bd113";"Rename Method";"redis.clients.jedis.tests.TupleTest.tupleCompare()";"redis.clients.jedis.tests.TupleTest.compareNoMatch()";"Rename Method public tupleCompare() : void renamed to public compareNoMatch() : void in class redis.clients.jedis.tests.TupleTest"
