"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
293;"ad05e374c1154e22b4af3490d691ed669a14f9b2";"d4810b6f8d72ddcae0f5f91c04a22781c521f24a";"Rename Method";"org.jeromq.ZMQ.Socket.sendMsg(Msg,int)";"org.jeromq.ZMQ.Socket.send(Msg)";"Rename Method public sendMsg(msg Msg, flags int) : boolean renamed to public send(msg Msg) : boolean in class org.jeromq.ZMQ.Socket"
295;"fcaeb02d34cbd1aa40a0d5ecf089c565e9d6ddf9";"1785a53e1b8777103b562c934e665d6e0a0624f3";"Extract Method";"zmq.Router.xhas_in()";"zmq.Msg.is_identity()";"Extract Method public is_identity() : boolean extracted from protected xhas_in() : boolean in class zmq.Router"
295;"fcaeb02d34cbd1aa40a0d5ecf089c565e9d6ddf9";"1785a53e1b8777103b562c934e665d6e0a0624f3";"Extract Method";"zmq.Router.xrecv(int)";"zmq.Msg.is_identity()";"Extract Method public is_identity() : boolean extracted from protected xrecv(flags_ int) : Msg in class zmq.Router"
299;"20108a195a8adf66c9abfc1de603927739bcf948";"c6766c88b43d486fa19191d0e5f7128457508714";"Rename Method";"org.jeromq.ZLogManager.getConfig()";"org.jeromq.ZLogManager.config()";"Rename Method public getConfig() : ZLogConfig renamed to public config() : ZLogConfig in class org.jeromq.ZLogManager"
299;"20108a195a8adf66c9abfc1de603927739bcf948";"c6766c88b43d486fa19191d0e5f7128457508714";"Extract Method";"org.jeromq.ZLog.Segment.recover()";"org.jeromq.ZLog.readMsg(ByteBuffer)";"Extract Method private readMsg(buf ByteBuffer) : Msg extracted from public recover() : void in class org.jeromq.ZLog.Segment"
299;"20108a195a8adf66c9abfc1de603927739bcf948";"c6766c88b43d486fa19191d0e5f7128457508714";"Extract Method";"org.jeromq.ZLog.Segment.getBuffer(boolean)";"org.jeromq.ZLog.Segment.getChannel(boolean)";"Extract Method protected getChannel(writable boolean) : FileChannel extracted from public getBuffer(writable boolean) : MappedByteBuffer in class org.jeromq.ZLog.Segment"
299;"20108a195a8adf66c9abfc1de603927739bcf948";"c6766c88b43d486fa19191d0e5f7128457508714";"Extract Method";"zmq.Msg.header_buf()";"zmq.Msg.header()";"Extract Method public header() : byte[] extracted from public header_buf() : ByteBuffer in class zmq.Msg"
302;"6bdf7f487f9e1e1bb6c6b1707656e8a660c5ce1c";"54c99df7a458ead936aedaf8af57e2d18c11a893";"Extract Method";"org.jeromq.ZLog.append(Msg)";"org.jeromq.ZLog.getBuffer(long,boolean)";"Extract Method public getBuffer(size long, writable boolean) : MappedByteBuffer extracted from public append(msg Msg) : long in class org.jeromq.ZLog"
302;"6bdf7f487f9e1e1bb6c6b1707656e8a660c5ce1c";"54c99df7a458ead936aedaf8af57e2d18c11a893";"Inline Method";"zmq.EncoderBase.get_data(ByteBuffer,int[])";"zmq.EncoderBase.get_data()";"Inline Method public get_data(data_ ByteBuffer, offset_ int[]) : Transfer inlined to protected get_data() : Transfer in class zmq.EncoderBase"
302;"6bdf7f487f9e1e1bb6c6b1707656e8a660c5ce1c";"54c99df7a458ead936aedaf8af57e2d18c11a893";"Inline Method";"zmq.Msg.size(int,boolean)";"zmq.Msg.size(int)";"Inline Method public size(size_ int, buffered boolean) : void inlined to public size(size_ int) : void in class zmq.Msg"
