"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
5;"66a3309efa2c35aff963882166fc9d7a3739e902";"9ac7454636049ba86315a2ee06368f1d199ba49d";"Extract Method";"org.adoptopenjdk.jitwatch.jarscan.JarScan.main(String[])";"org.adoptopenjdk.jitwatch.jarscan.JarScan.processJarsAndFolders(String[],boolean)";"Extract Method public processJarsAndFolders(args String[], counting boolean) : void extracted from public main(args String[]) : void in class org.adoptopenjdk.jitwatch.jarscan.JarScan"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Rename Method";"org.adoptopenjdk.jitwatch.model.Compilation.isFailedTask()";"org.adoptopenjdk.jitwatch.model.Compilation.isFailed()";"Rename Method public isFailedTask() : boolean renamed to public isFailed() : boolean in class org.adoptopenjdk.jitwatch.model.Compilation"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Rename Method";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow.getCompiledStamp()";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow.getTimestampOrNA(long)";"Rename Method public getCompiledStamp() : String renamed to private getTimestampOrNA(stamp long) : String in class org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage.buildControlButtons(Scene)";"org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage.buildControlButtons(Scene)";"Move Method private buildControlButtons(scene Scene) : HBox from class org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage to private buildControlButtons(scene Scene) : HBox from class org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage.buildControlInfo()";"org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage.buildControlInfo()";"Move Method private buildControlInfo() : HBox from class org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage to private buildControlInfo() : HBox from class org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage.buildControls(Scene)";"org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage.buildControls(Scene)";"Move Method private buildControls(scene Scene) : VBox from class org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage to protected buildControls(scene Scene) : VBox from class org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage.compilationChanged(IMetaMember)";"org.adoptopenjdk.jitwatch.ui.nmethod.AbstractNMethodStage.compilationChanged(IMetaMember)";"Move Method public compilationChanged(member IMetaMember) : void from class org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage to public compilationChanged(member IMetaMember) : void from class org.adoptopenjdk.jitwatch.ui.nmethod.AbstractNMethodStage"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage.showEvent(CodeCacheEvent)";"org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage.showEvent(CodeCacheEvent)";"Move Method private showEvent(event CodeCacheEvent) : boolean from class org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage to private showEvent(event CodeCacheEvent) : boolean from class org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.NMethodInfo.makeLeftColumn()";"org.adoptopenjdk.jitwatch.ui.nmethod.NMethodInfo.makeLeftColumn()";"Move Method private makeLeftColumn() : VBox from class org.adoptopenjdk.jitwatch.ui.codecache.NMethodInfo to private makeLeftColumn() : VBox from class org.adoptopenjdk.jitwatch.ui.nmethod.NMethodInfo"
10;"cba35769bdf259c847ce15ee44dabab704727613";"b24dc69714fe0116ebe81371484c65595aa56e32";"Move Method";"org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage.animate(double)";"org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage.animate(double)";"Move Method private animate(targetSeconds double) : void from class org.adoptopenjdk.jitwatch.ui.codecache.CodeCacheLayoutStage to private animate(targetSeconds double) : void from class org.adoptopenjdk.jitwatch.ui.nmethod.codecache.CodeCacheLayoutStage"
