"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
2;"5366158937c49b6e277345e3e543ba61b6fe33b4";"e8f200ccd344de36ec94fb9606db7709b171cb33";"Rename Method";"jline.TerminalFactoryTest.testConfigureDumbTerminalEmacs()";"jline.TerminalFactoryTest.testConfigureDumbTerminalInsideEmacs()";"Rename Method public testConfigureDumbTerminalEmacs() : void renamed to public testConfigureDumbTerminalInsideEmacs() : void in class jline.TerminalFactoryTest"
15;"01969b55a356057eadd7a624fbb1e38222b05ffa";"ddc5a645c524d3ba3a2004b44fbf8561df78229b";"Rename Method";"jline.console.ConsoleReader.print(CharSequence,int,int,int)";"jline.console.ConsoleReader.fmtPrint(CharSequence,int,int,int)";"Rename Method private print(buff CharSequence, start int, end int, cursorPos int) : int renamed to private fmtPrint(buff CharSequence, start int, end int, cursorPos int) : int in class jline.console.ConsoleReader"
15;"01969b55a356057eadd7a624fbb1e38222b05ffa";"ddc5a645c524d3ba3a2004b44fbf8561df78229b";"Rename Method";"jline.console.ConsoleReader.print(CharSequence,int)";"jline.console.ConsoleReader.fmtPrint(CharSequence,int)";"Rename Method private print(buff CharSequence, cursorPos int) : int renamed to private fmtPrint(buff CharSequence, cursorPos int) : int in class jline.console.ConsoleReader"
15;"01969b55a356057eadd7a624fbb1e38222b05ffa";"ddc5a645c524d3ba3a2004b44fbf8561df78229b";"Rename Method";"jline.console.ConsoleReader.print(CharSequence,int,int)";"jline.console.ConsoleReader.fmtPrint(CharSequence,int,int)";"Rename Method private print(buff CharSequence, start int, end int) : int renamed to private fmtPrint(buff CharSequence, start int, end int) : int in class jline.console.ConsoleReader"
57;"54673e36c516e2bdfbacc11035f5942fcaa043a0";"3b0c474af7b46245109487083f1c0a0fd053165e";"Extract Method";"jline.console.ConsoleReader.readLine(String,Character,String)";"jline.console.ConsoleReader.readBinding(KeyMap)";"Extract Method public readBinding(keys KeyMap) : Object extracted from public readLine(prompt String, mask Character, buffer String) : String in class jline.console.ConsoleReader"
58;"3b0c474af7b46245109487083f1c0a0fd053165e";"b4eda4b2e3d1a4d0840a2f219c9d0425eb760507";"Extract Method";"jline.console.ConsoleReader.moveInternal(int)";"jline.console.ConsoleReader.moveCursorFromTo(int,int)";"Extract Method private moveCursorFromTo(i0 int, i1 int) : void extracted from private moveInternal(where int) : void in class jline.console.ConsoleReader"
58;"3b0c474af7b46245109487083f1c0a0fd053165e";"b4eda4b2e3d1a4d0840a2f219c9d0425eb760507";"Extract Method";"jline.console.ConsoleReader.back(int)";"jline.console.ConsoleReader.moveCursorFromTo(int,int)";"Extract Method private moveCursorFromTo(i0 int, i1 int) : void extracted from protected back(num int) : void in class jline.console.ConsoleReader"
58;"3b0c474af7b46245109487083f1c0a0fd053165e";"b4eda4b2e3d1a4d0840a2f219c9d0425eb760507";"Extract Method";"jline.console.ConsoleReader.drawBuffer(int)";"jline.console.ConsoleReader.tputs(String,Object[])";"Extract Method private tputs(cap String, params Object[]) : boolean extracted from private drawBuffer(clear int) : void in class jline.console.ConsoleReader"
58;"3b0c474af7b46245109487083f1c0a0fd053165e";"b4eda4b2e3d1a4d0840a2f219c9d0425eb760507";"Extract Method";"jline.console.ConsoleReader.clearScreen()";"jline.console.ConsoleReader.tputs(String,Object[])";"Extract Method private tputs(cap String, params Object[]) : boolean extracted from public clearScreen() : boolean in class jline.console.ConsoleReader"
67;"92c6ce5b030d1c43ad7208e4ab378c43c7cfabea";"89c54a94b8f98506be82c342d8652d454e5361cc";"Extract Method";"jline.console.ConsoleReader.readLine(String,Character)";"jline.console.ConsoleReader.readLine(String,Character,String)";"Extract Method public readLine(prompt String, mask Character, buffer String) : String extracted from public readLine(prompt String, mask Character) : String in class jline.console.ConsoleReader"
