"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
45;"35cdaf9aab77e400b3f4051d177a6f0d79af037a";"6505beb2c7963983d74b1ea7c9d7d1f408d43eae";"Rename Method";"joptsimple.internal.SimpleOptionNameMapTest.testGet()";"joptsimple.internal.SimpleOptionNameMapTest.get()";"Rename Method public testGet() : void renamed to public get() : void in class joptsimple.internal.SimpleOptionNameMapTest"
45;"35cdaf9aab77e400b3f4051d177a6f0d79af037a";"6505beb2c7963983d74b1ea7c9d7d1f408d43eae";"Rename Method";"joptsimple.internal.SimpleOptionNameMapTest.testPutAndContains()";"joptsimple.internal.SimpleOptionNameMapTest.putAndContains()";"Rename Method public testPutAndContains() : void renamed to public putAndContains() : void in class joptsimple.internal.SimpleOptionNameMapTest"
45;"35cdaf9aab77e400b3f4051d177a6f0d79af037a";"6505beb2c7963983d74b1ea7c9d7d1f408d43eae";"Rename Method";"joptsimple.internal.SimpleOptionNameMapTest.testToJavaUtilMap()";"joptsimple.internal.SimpleOptionNameMapTest.toJavaUtilMap()";"Rename Method public testToJavaUtilMap() : void renamed to public toJavaUtilMap() : void in class joptsimple.internal.SimpleOptionNameMapTest"
45;"35cdaf9aab77e400b3f4051d177a6f0d79af037a";"6505beb2c7963983d74b1ea7c9d7d1f408d43eae";"Rename Method";"joptsimple.internal.SimpleOptionNameMapTest.testPutAll()";"joptsimple.internal.SimpleOptionNameMapTest.putAll()";"Rename Method public testPutAll() : void renamed to public putAll() : void in class joptsimple.internal.SimpleOptionNameMapTest"
45;"35cdaf9aab77e400b3f4051d177a6f0d79af037a";"6505beb2c7963983d74b1ea7c9d7d1f408d43eae";"Rename Method";"joptsimple.internal.SimpleOptionNameMapTest.testRemove()";"joptsimple.internal.SimpleOptionNameMapTest.remove()";"Rename Method public testRemove() : void renamed to public remove() : void in class joptsimple.internal.SimpleOptionNameMapTest"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.addNonOptionsDescription(Collection)";"joptsimple.BuiltinHelpFormatter.addNonOptionRow(String)";"Extract Method protected addNonOptionRow(single String) : void extracted from private addNonOptionsDescription(options Collection) : void in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.addRows(Collection)";"joptsimple.BuiltinHelpFormatter.addOptionRow(String)";"Extract Method protected addOptionRow(single String) : void extracted from private addRows(options Collection) : void in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.addHeaders(Collection)";"joptsimple.BuiltinHelpFormatter.addOptionRow(String,String)";"Extract Method protected addOptionRow(left String, right String) : void extracted from private addHeaders(options Collection) : void in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.addOptions(Collection)";"joptsimple.BuiltinHelpFormatter.addOptionRow(String,String)";"Extract Method protected addOptionRow(left String, right String) : void extracted from private addOptions(options Collection) : void in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.formattedHelpOutput()";"joptsimple.BuiltinHelpFormatter.nonOptionOutput()";"Extract Method protected nonOptionOutput() : String extracted from private formattedHelpOutput() : String in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.createOptionDisplay(OptionDescriptor)";"joptsimple.BuiltinHelpFormatter.optionLeader(String)";"Extract Method protected optionLeader(option String) : String extracted from private createOptionDisplay(descriptor OptionDescriptor) : String in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.BuiltinHelpFormatter.formattedHelpOutput()";"joptsimple.BuiltinHelpFormatter.optionOutput()";"Extract Method protected optionOutput() : String extracted from private formattedHelpOutput() : String in class joptsimple.BuiltinHelpFormatter"
65;"1967cff7496dfc21a278403aa8677d22c55062a4";"7e88cb7b446b4b2749637aa4341b25b53d040817";"Extract Method";"joptsimple.OptionParser.recognizedOptions()";"joptsimple.OptionParser._recognizedOptions()";"Extract Method private _recognizedOptions() : Map extracted from public recognizedOptions() : Map in class joptsimple.OptionParser"
70;"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";"3ec07760c8b103a71d5b1bae3374d8c56da6cefa";"Rename Method";"joptsimple.util.PathConverterTest.testClass()";"joptsimple.util.PathConverterTest.answersCorrectValueType()";"Rename Method public testClass() : void renamed to public answersCorrectValueType() : void in class joptsimple.util.PathConverterTest"
70;"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";"3ec07760c8b103a71d5b1bae3374d8c56da6cefa";"Rename Method";"joptsimple.util.PathConverterTest.testPath()";"joptsimple.util.PathConverterTest.convertsValuesToPaths()";"Rename Method public testPath() : void renamed to public convertsValuesToPaths() : void in class joptsimple.util.PathConverterTest"
70;"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";"3ec07760c8b103a71d5b1bae3374d8c56da6cefa";"Rename Method";"joptsimple.util.EnumConverterTest.shouldGiveCustomValuePattern()";"joptsimple.util.EnumConverterTest.givesCustomValuePattern()";"Rename Method public shouldGiveCustomValuePattern() : void renamed to public givesCustomValuePattern() : void in class joptsimple.util.EnumConverterTest"
70;"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";"3ec07760c8b103a71d5b1bae3374d8c56da6cefa";"Rename Method";"joptsimple.util.EnumConverterTest.shouldConvertEnumValuesToEnum()";"joptsimple.util.EnumConverterTest.convertsEnumValuesToEnum()";"Rename Method public shouldConvertEnumValuesToEnum() : void renamed to public convertsEnumValuesToEnum() : void in class joptsimple.util.EnumConverterTest"
70;"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";"3ec07760c8b103a71d5b1bae3374d8c56da6cefa";"Rename Method";"joptsimple.util.EnumConverterTest.shouldAnswerCorrectValueType()";"joptsimple.util.EnumConverterTest.answersCorrectValueType()";"Rename Method public shouldAnswerCorrectValueType() : void renamed to public answersCorrectValueType() : void in class joptsimple.util.EnumConverterTest"
70;"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";"3ec07760c8b103a71d5b1bae3374d8c56da6cefa";"Rename Method";"joptsimple.util.EnumConverterTest.shouldGiveDefaultValuePattern()";"joptsimple.util.EnumConverterTest.givesDefaultValuePattern()";"Rename Method public shouldGiveDefaultValuePattern() : void renamed to public givesDefaultValuePattern() : void in class joptsimple.util.EnumConverterTest"
73;"36dad5f515843042421aa91825fe3594ccc858af";"91713425113d1d26aee0511f237ba0db83105812";"Rename Class";"joptsimple.AvailableIfAny";"joptsimple.AvailableIfAnyTest";"Rename Class joptsimple.AvailableIfAny renamed to joptsimple.AvailableIfAnyTest"
73;"36dad5f515843042421aa91825fe3594ccc858af";"91713425113d1d26aee0511f237ba0db83105812";"Rename Method";"joptsimple.util.PathPropertiesTest.testDirectory()";"joptsimple.util.PathPropertiesTest.directory()";"Rename Method public testDirectory() : void renamed to public directory() : void in class joptsimple.util.PathPropertiesTest"
73;"36dad5f515843042421aa91825fe3594ccc858af";"91713425113d1d26aee0511f237ba0db83105812";"Rename Method";"joptsimple.util.PathPropertiesTest.testReadableFile()";"joptsimple.util.PathPropertiesTest.readableFile()";"Rename Method public testReadableFile() : void renamed to public readableFile() : void in class joptsimple.util.PathPropertiesTest"
73;"36dad5f515843042421aa91825fe3594ccc858af";"91713425113d1d26aee0511f237ba0db83105812";"Rename Method";"joptsimple.util.PathPropertiesTest.testNonExisting()";"joptsimple.util.PathPropertiesTest.nonExisting()";"Rename Method public testNonExisting() : void renamed to public nonExisting() : void in class joptsimple.util.PathPropertiesTest"
90;"7aa4fa2b16af62ba87fabbb3070cd46feed111ea";"b8f859ac95a37dcb9abb084fe226da341963950d";"Rename Method";"joptsimple.OptionException.singleOptionMessage(String)";"joptsimple.OptionException.singleOptionString(String)";"Rename Method protected singleOptionMessage(option String) : String renamed to protected singleOptionString(option String) : String in class joptsimple.OptionException"
90;"7aa4fa2b16af62ba87fabbb3070cd46feed111ea";"b8f859ac95a37dcb9abb084fe226da341963950d";"Rename Method";"joptsimple.OptionException.multipleOptionMessage()";"joptsimple.OptionException.multipleOptionString()";"Rename Method protected multipleOptionMessage() : String renamed to protected multipleOptionString() : String in class joptsimple.OptionException"
90;"7aa4fa2b16af62ba87fabbb3070cd46feed111ea";"b8f859ac95a37dcb9abb084fe226da341963950d";"Rename Method";"joptsimple.OptionException.singleOptionMessage()";"joptsimple.OptionException.singleOptionString()";"Rename Method protected singleOptionMessage() : String renamed to protected singleOptionString() : String in class joptsimple.OptionException"
90;"7aa4fa2b16af62ba87fabbb3070cd46feed111ea";"b8f859ac95a37dcb9abb084fe226da341963950d";"Extract Method";"joptsimple.util.RegexMatcher.convert(String)";"joptsimple.util.RegexMatcher.raiseValueConversionFailure(String)";"Extract Method private raiseValueConversionFailure(value String) : void extracted from public convert(value String) : String in class joptsimple.util.RegexMatcher"
91;"b8f859ac95a37dcb9abb084fe226da341963950d";"20e8c7f7c8f0cc90b4631068f3d68daac215e61b";"Rename Class";"joptsimple.MissingRequiredOptionException";"joptsimple.MissingRequiredOptionsException";"Rename Class joptsimple.MissingRequiredOptionException renamed to joptsimple.MissingRequiredOptionsException"
91;"b8f859ac95a37dcb9abb084fe226da341963950d";"20e8c7f7c8f0cc90b4631068f3d68daac215e61b";"Rename Method";"joptsimple.AbstractOptionSpecOptionsImmutabilityTestCase.newCollection()";"joptsimple.AbstractOptionSpecOptionsImmutabilityTestCase.newList()";"Rename Method protected newCollection() : Collection renamed to protected newList() : List in class joptsimple.AbstractOptionSpecOptionsImmutabilityTestCase"
91;"b8f859ac95a37dcb9abb084fe226da341963950d";"20e8c7f7c8f0cc90b4631068f3d68daac215e61b";"Rename Method";"joptsimple.OptionExceptionOptionsImmutabilityTest.newCollection()";"joptsimple.OptionExceptionOptionsImmutabilityTest.newList()";"Rename Method protected newCollection() : Collection renamed to protected newList() : List in class joptsimple.OptionExceptionOptionsImmutabilityTest"
