"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
18;"889f1269077a20e8e11f80f33959277d5d8e42be";"9d0192d95edfd455d776dcabfefebeddef58909b";"Extract Interface";"io.restassured.specification.FilterableRequestSpecification";"io.restassured.specification.QueryableRequestSpecification";"Extract Interface io.restassured.specification.QueryableRequestSpecification from class io.restassured.specification.FilterableRequestSpecification"
42;"96495d20ac7b8c0a5910017aed3474defbb7835d";"284b2eca877f04ee07426d4187b261d351223a22";"Move Method";"io.restassured.filter.CookieFilterTest.TestFilterContext.getValue(String)";"io.restassured.filter.cookie.CookieFilterTest.TestFilterContext.getValue(String)";"Move Method public getValue(name String) : T from class io.restassured.filter.CookieFilterTest.TestFilterContext to public getValue(name String) : T from class io.restassured.filter.cookie.CookieFilterTest.TestFilterContext"
42;"96495d20ac7b8c0a5910017aed3474defbb7835d";"284b2eca877f04ee07426d4187b261d351223a22";"Move Method";"io.restassured.filter.CookieFilterTest.TestFilterContext.hasValue(String)";"io.restassured.filter.cookie.CookieFilterTest.TestFilterContext.hasValue(String)";"Move Method public hasValue(name String) : boolean from class io.restassured.filter.CookieFilterTest.TestFilterContext to public hasValue(name String) : boolean from class io.restassured.filter.cookie.CookieFilterTest.TestFilterContext"
42;"96495d20ac7b8c0a5910017aed3474defbb7835d";"284b2eca877f04ee07426d4187b261d351223a22";"Move Method";"io.restassured.filter.CookieFilterTest.TestFilterContext.send(RequestSender)";"io.restassured.filter.cookie.CookieFilterTest.TestFilterContext.send(RequestSender)";"Move Method public send(requestSender RequestSender) : Response from class io.restassured.filter.CookieFilterTest.TestFilterContext to public send(requestSender RequestSender) : Response from class io.restassured.filter.cookie.CookieFilterTest.TestFilterContext"
42;"96495d20ac7b8c0a5910017aed3474defbb7835d";"284b2eca877f04ee07426d4187b261d351223a22";"Move Method";"io.restassured.filter.CookieFilterTest.TestFilterContext.setValue(String,Object)";"io.restassured.filter.cookie.CookieFilterTest.TestFilterContext.setValue(String,Object)";"Move Method public setValue(name String, value Object) : void from class io.restassured.filter.CookieFilterTest.TestFilterContext to public setValue(name String, value Object) : void from class io.restassured.filter.cookie.CookieFilterTest.TestFilterContext"
42;"96495d20ac7b8c0a5910017aed3474defbb7835d";"284b2eca877f04ee07426d4187b261d351223a22";"Move Method";"io.restassured.filter.CookieFilterTest.preserveCookies()";"io.restassured.filter.cookie.CookieFilterTest.preserveCookies()";"Move Method public preserveCookies() : void from class io.restassured.filter.CookieFilterTest to public preserveCookies() : void from class io.restassured.filter.cookie.CookieFilterTest"
42;"96495d20ac7b8c0a5910017aed3474defbb7835d";"284b2eca877f04ee07426d4187b261d351223a22";"Move Method";"io.restassured.filter.CookieFilterTest.setUp()";"io.restassured.filter.cookie.CookieFilterTest.setUp()";"Move Method public setUp() : void from class io.restassured.filter.CookieFilterTest to public setUp() : void from class io.restassured.filter.cookie.CookieFilterTest"
89;"2966d2744005644bcbdc0e6e2f1050bef42d1292";"65155f26a547db6d7c3a099be106a9478d6d889f";"Rename Method";"io.restassured.itest.java.GzipITest.returns_json_body_when_content_encoding_is_gzip_but_body_is_json()";"io.restassured.itest.java.GzipITest.returns_json_body_when_content_encoding_is_gzip_and_body_is_json()";"Rename Method public returns_json_body_when_content_encoding_is_gzip_but_body_is_json() : void renamed to public returns_json_body_when_content_encoding_is_gzip_and_body_is_json() : void in class io.restassured.itest.java.GzipITest"
128;"cb1712546446307b6592013263ac1f69c6a1dd19";"be621ee159fdc42359c3677812f37985173d5bf5";"Rename Method";"io.restassured.itest.java.FilterITest.can_remove_headers_from_filter()";"io.restassured.itest.java.FilterITest.can_remove_a_specific_header_from_filter()";"Rename Method public can_remove_headers_from_filter() : void renamed to public can_remove_a_specific_header_from_filter() : void in class io.restassured.itest.java.FilterITest"
179;"3ad17577a23435e071cec59aa314bdecdd970643";"89b6386421004d08c30417bda17f8ae674cf8f91";"Rename Method";"io.restassured.RestAssured.keystore(File,String)";"io.restassured.RestAssured.keyStore(File,String)";"Rename Method public keystore(pathToJks File, password String) : void renamed to public keyStore(pathToJks File, password String) : void in class io.restassured.RestAssured"
