"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
7;"fc1b11249faefc4ef21a576e34e457529ea9fa9d";"ea1e8fb59b704ebc6ddee0b56c0216c542f25015";"Rename Method";"retrofit2.CallTest.requestAfterExecuteThrowingAlsoThrowsForErrors()";"retrofit2.CallTest.fatalErrorsAreNotCaughtExecute()";"Rename Method public requestAfterExecuteThrowingAlsoThrowsForErrors() : void renamed to public fatalErrorsAreNotCaughtExecute() : void in class retrofit2.CallTest"
7;"fc1b11249faefc4ef21a576e34e457529ea9fa9d";"ea1e8fb59b704ebc6ddee0b56c0216c542f25015";"Rename Method";"retrofit2.CallTest.requestThrowingErrorBeforeExecuteFailsExecute()";"retrofit2.CallTest.fatalErrorsAreNotCaughtRequest()";"Rename Method public requestThrowingErrorBeforeExecuteFailsExecute() : void renamed to public fatalErrorsAreNotCaughtRequest() : void in class retrofit2.CallTest"
7;"fc1b11249faefc4ef21a576e34e457529ea9fa9d";"ea1e8fb59b704ebc6ddee0b56c0216c542f25015";"Rename Method";"retrofit2.CallTest.requestAfterEnqueueFailingThrowsForErrors()";"retrofit2.CallTest.requestAfterEnqueueFailingThrowsForNonFatalErrors()";"Rename Method public requestAfterEnqueueFailingThrowsForErrors() : void renamed to public requestAfterEnqueueFailingThrowsForNonFatalErrors() : void in class retrofit2.CallTest"
7;"fc1b11249faefc4ef21a576e34e457529ea9fa9d";"ea1e8fb59b704ebc6ddee0b56c0216c542f25015";"Rename Method";"retrofit2.CallTest.requestThrowingErrorBeforeEnqueueFailsEnqueue()";"retrofit2.CallTest.requestThrowingNonFatalErrorBeforeEnqueueFailsEnqueue()";"Rename Method public requestThrowingErrorBeforeEnqueueFailsEnqueue() : void renamed to public requestThrowingNonFatalErrorBeforeEnqueueFailsEnqueue() : void in class retrofit2.CallTest"
49;"39fcdb46e07f2f14319a4031d86bf8f3dbd1d405";"fef22de3f5226ea99627cce7bde8c532d057ce65";"Extract Method";"retrofit2.mock.NetworkBehavior.setVariancePercent(int)";"retrofit2.mock.NetworkBehavior.checkPercentageValidity(int,String)";"Extract Method private checkPercentageValidity(percentage int, message String) : void extracted from public setVariancePercent(variancePercent int) : void in class retrofit2.mock.NetworkBehavior"
49;"39fcdb46e07f2f14319a4031d86bf8f3dbd1d405";"fef22de3f5226ea99627cce7bde8c532d057ce65";"Extract Method";"retrofit2.mock.NetworkBehavior.setFailurePercent(int)";"retrofit2.mock.NetworkBehavior.checkPercentageValidity(int,String)";"Extract Method private checkPercentageValidity(percentage int, message String) : void extracted from public setFailurePercent(failurePercent int) : void in class retrofit2.mock.NetworkBehavior"
49;"39fcdb46e07f2f14319a4031d86bf8f3dbd1d405";"fef22de3f5226ea99627cce7bde8c532d057ce65";"Extract Method";"retrofit2.mock.NetworkBehavior.setErrorPercent(int)";"retrofit2.mock.NetworkBehavior.checkPercentageValidity(int,String)";"Extract Method private checkPercentageValidity(percentage int, message String) : void extracted from public setErrorPercent(errorPercent int) : void in class retrofit2.mock.NetworkBehavior"
166;"026a35e78a390e8941ee8b24149877ae51940c19";"85186ec1b5232263fe0ecbda790f4911215658f6";"Rename Method";"retrofit2.ResponseTest.succesWithNullHeadersThrows()";"retrofit2.ResponseTest.successWithNullHeadersThrows()";"Rename Method public succesWithNullHeadersThrows() : void renamed to public successWithNullHeadersThrows() : void in class retrofit2.ResponseTest"
181;"01d6fb1a133cea6fac18f2ef1ecab1cbee86b569";"3c195a0cc0c95b82b59bf3f88f6eabed3eeb3621";"Rename Method";"retrofit2.RequestBuilder.canonicalize(Buffer,String,int,int,boolean)";"retrofit2.RequestBuilder.canonicalizeForPath(Buffer,String,int,int,boolean)";"Rename Method private canonicalize(out Buffer, input String, pos int, limit int, alreadyEncoded boolean) : void renamed to private canonicalizeForPath(out Buffer, input String, pos int, limit int, alreadyEncoded boolean) : void in class retrofit2.RequestBuilder"
181;"01d6fb1a133cea6fac18f2ef1ecab1cbee86b569";"3c195a0cc0c95b82b59bf3f88f6eabed3eeb3621";"Rename Method";"retrofit2.RequestBuilder.canonicalize(String,boolean)";"retrofit2.RequestBuilder.canonicalizeForPath(String,boolean)";"Rename Method private canonicalize(input String, alreadyEncoded boolean) : String renamed to private canonicalizeForPath(input String, alreadyEncoded boolean) : String in class retrofit2.RequestBuilder"
201;"a0594600652b5f1716298e9c444abc0fb5cfc279";"3013029a00f37efc52ef7f6f3305288d031534b1";"Rename Method";"retrofit2.ScalarsConverterFactoryTest.supportedTypes()";"retrofit2.ScalarsConverterFactoryTest.supportedRequestTypes()";"Rename Method public supportedTypes() : void renamed to public supportedRequestTypes() : void in class retrofit2.ScalarsConverterFactoryTest"
201;"a0594600652b5f1716298e9c444abc0fb5cfc279";"3013029a00f37efc52ef7f6f3305288d031534b1";"Rename Method";"retrofit2.ScalarsConverterFactoryTest.unsupportedTypesNotMatched()";"retrofit2.ScalarsConverterFactoryTest.unsupportedRequestTypesNotMatched()";"Rename Method public unsupportedTypesNotMatched() : void renamed to public unsupportedRequestTypesNotMatched() : void in class retrofit2.ScalarsConverterFactoryTest"
248;"7e4beeb66e3b5e66907410b930b653ff5ad63ead";"6d5208563cbe5042388ed0654f976b69dff04609";"Rename Method";"retrofit.ResponseTest.errorWithNullResponseThrows()";"retrofit.ResponseTest.errorWithNullRawResponseThrows()";"Rename Method public errorWithNullResponseThrows() : void renamed to public errorWithNullRawResponseThrows() : void in class retrofit.ResponseTest"
248;"7e4beeb66e3b5e66907410b930b653ff5ad63ead";"6d5208563cbe5042388ed0654f976b69dff04609";"Rename Method";"retrofit.ResponseTest.errorWithResponse()";"retrofit.ResponseTest.errorWithRawResponse()";"Rename Method public errorWithResponse() : void renamed to public errorWithRawResponse() : void in class retrofit.ResponseTest"
