"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
25;"c98d8b30e82cda90fda085d222f947b30fdefb58";"95a2b315b7163b918cfe60961b0d3238fc59c22f";"Rename Class";"org.robovm.apple.messageui.MessageComposeResult";"org.robovm.apple.messageui.MFMessageComposeResult";"Rename Class org.robovm.apple.messageui.MessageComposeResult renamed to org.robovm.apple.messageui.MFMessageComposeResult"
35;"16eb2152d2a8f23edda4508dc88d3abe2df96500";"0212831534e3b7b16a750d14219c3b239575808c";"Extract Method";"org.robovm.compiler.config.Config.getIosInfoPList()";"org.robovm.compiler.config.Config.getInfoPList()";"Extract Method public getInfoPList() : InfoPList extracted from public getIosInfoPList() : InfoPList in class org.robovm.compiler.config.Config"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move And Rename Class";"org.robovm.compiler.target.ios.IOSTargetTest";"org.robovm.compiler.util.InfoPListTest";"Move And Rename Class org.robovm.compiler.target.ios.IOSTargetTest moved to org.robovm.compiler.util.InfoPListTest"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.IOSTarget.replacePropertyRefs(Node,Properties)";"org.robovm.compiler.util.InfoPList.replacePropertyRefs(Node,Properties)";"Move Method package replacePropertyRefs(node Node, props Properties) : void from class org.robovm.compiler.target.ios.IOSTarget to package replacePropertyRefs(node Node, props Properties) : void from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.InfoPList.getBundleExecutable()";"org.robovm.compiler.util.InfoPList.getBundleExecutable()";"Move Method public getBundleExecutable() : String from class org.robovm.compiler.target.ios.InfoPList to public getBundleExecutable() : String from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.InfoPList.getBundleIdentifier()";"org.robovm.compiler.util.InfoPList.getBundleIdentifier()";"Move Method public getBundleIdentifier() : String from class org.robovm.compiler.target.ios.InfoPList to public getBundleIdentifier() : String from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.InfoPList.getDictionary()";"org.robovm.compiler.util.InfoPList.getDictionary()";"Move Method public getDictionary() : NSDictionary from class org.robovm.compiler.target.ios.InfoPList to public getDictionary() : NSDictionary from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.InfoPList.getFile()";"org.robovm.compiler.util.InfoPList.getFile()";"Move Method public getFile() : File from class org.robovm.compiler.target.ios.InfoPList to public getFile() : File from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.InfoPList.getMinimumOSVersion()";"org.robovm.compiler.util.InfoPList.getMinimumOSVersion()";"Move Method public getMinimumOSVersion() : String from class org.robovm.compiler.target.ios.InfoPList to public getMinimumOSVersion() : String from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.IOSTarget.parsePropertyList(File,Properties)";"org.robovm.compiler.util.InfoPList.parsePropertyList(File,Properties,boolean)";"Move Method package parsePropertyList(file File, props Properties) : NSObject from class org.robovm.compiler.target.ios.IOSTarget to package parsePropertyList(file File, props Properties, includeSystemProperties boolean) : NSObject from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Method";"org.robovm.compiler.target.ios.InfoPList.parse(Properties)";"org.robovm.compiler.util.InfoPList.parse(Properties,boolean)";"Move Method public parse(props Properties) : void from class org.robovm.compiler.target.ios.InfoPList to public parse(props Properties, includeSystemProperties boolean) : void from class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Attribute";"org.robovm.compiler.target.ios.IOSTarget.VARIABLE_PATTERN";"org.robovm.compiler.util.InfoPList.VARIABLE_PATTERN";"Move Attribute private VARIABLE_PATTERN : Pattern from class org.robovm.compiler.target.ios.IOSTarget to class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Attribute";"org.robovm.compiler.target.ios.InfoPList.dictionary";"org.robovm.compiler.util.InfoPList.dictionary";"Move Attribute private dictionary : NSDictionary from class org.robovm.compiler.target.ios.InfoPList to class org.robovm.compiler.util.InfoPList"
37;"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";"e6d8855cb4d11e95a34d7d084126bb2724511eeb";"Move Attribute";"org.robovm.compiler.target.ios.InfoPList.file";"org.robovm.compiler.util.InfoPList.file";"Move Attribute private file : File from class org.robovm.compiler.target.ios.InfoPList to class org.robovm.compiler.util.InfoPList"
40;"bb50e8b54aae0b392c4242a4a42a6698bbd5ce39";"6ac44d636dcd46cbc1f777de5d8031492a69338c";"Rename Method";"org.robovm.compiler.AppCompiler.createIpa(List)";"org.robovm.compiler.AppCompiler.build()";"Rename Method public createIpa(archs List) : void renamed to public build() : void in class org.robovm.compiler.AppCompiler"
40;"bb50e8b54aae0b392c4242a4a42a6698bbd5ce39";"6ac44d636dcd46cbc1f777de5d8031492a69338c";"Rename Method";"org.robovm.compiler.target.ios.IOSTarget.createIpa(List)";"org.robovm.compiler.target.ios.IOSTarget.archive()";"Rename Method public createIpa(slices List) : void renamed to public archive() : void in class org.robovm.compiler.target.ios.IOSTarget"
40;"bb50e8b54aae0b392c4242a4a42a6698bbd5ce39";"6ac44d636dcd46cbc1f777de5d8031492a69338c";"Extract Method";"org.robovm.compiler.AppCompiler.main(String[])";"org.robovm.compiler.AppCompiler.archive()";"Extract Method public archive() : void extracted from public main(args String[]) : void in class org.robovm.compiler.AppCompiler"
42;"9e889ececa53e81466bc646baa0d09b0a7118892";"fad1aeb5eed38f7f76b3a6a58d2f89daa053724c";"Extract Method";"org.robovm.compiler.ITable.Entry.resolve(SootClass)";"org.robovm.compiler.ITable.Entry.resolveImmediate(SootClass)";"Extract Method private resolveImmediate(clazz SootClass) : ResolvedEntry extracted from public resolve(clazz SootClass) : ResolvedEntry in class org.robovm.compiler.ITable.Entry"
44;"1ef86e69d5a108c2b4d836b0634ebdea912cfe00";"58f95fd3297e3dc77d2bb58247fc059d56dd1019";"Move Class";"org.robovm.compiler.plugin.lambda2.LambdaClass";"org.robovm.compiler.plugin.lambda.LambdaClass";"Move Class org.robovm.compiler.plugin.lambda2.LambdaClass moved to org.robovm.compiler.plugin.lambda.LambdaClass"
44;"1ef86e69d5a108c2b4d836b0634ebdea912cfe00";"58f95fd3297e3dc77d2bb58247fc059d56dd1019";"Move Class";"org.robovm.compiler.plugin.lambda2.LambdaClassGenerator";"org.robovm.compiler.plugin.lambda.LambdaClassGenerator";"Move Class org.robovm.compiler.plugin.lambda2.LambdaClassGenerator moved to org.robovm.compiler.plugin.lambda.LambdaClassGenerator"
44;"1ef86e69d5a108c2b4d836b0634ebdea912cfe00";"58f95fd3297e3dc77d2bb58247fc059d56dd1019";"Move Class";"org.robovm.compiler.plugin.lambda2.LambdaPlugin";"org.robovm.compiler.plugin.lambda.LambdaPlugin";"Move Class org.robovm.compiler.plugin.lambda2.LambdaPlugin moved to org.robovm.compiler.plugin.lambda.LambdaPlugin"
