"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
0;"5e13289812e3362e092974221080560af97fcc56";"5ddd1032a63eb109dcff15cf58f2f7ec025fd845";"Rename Method";"org.scribe.examples.GoogleExample.main(String[])";"org.scribe.examples.GoogleExample.setUp()";"Rename Method public main(args String[]) : void renamed to public setUp() : void in class org.scribe.examples.GoogleExample"
29;"b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077";"045914d2c0b1a049509fd9ddcdc77efff075985a";"Extract Method";"org.scribe.services.HMACSha1SignatureService.doSign(String,String)";"org.scribe.services.HMACSha1SignatureService.bytesToBase64String(byte[])";"Extract Method private bytesToBase64String(bytes byte[]) : String extracted from private doSign(toSign String, keyString String) : String in class org.scribe.services.HMACSha1SignatureService"
29;"b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077";"045914d2c0b1a049509fd9ddcdc77efff075985a";"Extract Method";"org.scribe.services.RSASha1SignatureService.getSignature(String,String,String)";"org.scribe.services.RSASha1SignatureService.bytesToBase64String(Signature)";"Extract Method private bytesToBase64String(signature Signature) : String extracted from public getSignature(baseString String, apiSecret String, tokenSecret String) : String in class org.scribe.services.RSASha1SignatureService"
42;"9a99a44c5f5a7e557f0a4bfa5d64a2587947b590";"b8ca4910f883dbc2759ba9ef494c591eb65e2521";"Extract Method";"org.scribe.model.Request.send()";"org.scribe.model.Request.send(RequestTuner)";"Extract Method public send(tuner RequestTuner) : Response extracted from public send() : Response in class org.scribe.model.Request"
42;"9a99a44c5f5a7e557f0a4bfa5d64a2587947b590";"b8ca4910f883dbc2759ba9ef494c591eb65e2521";"Extract Method";"org.scribe.oauth.OAuth10aServiceImpl.getAccessToken(Token,Verifier,int,TimeUnit)";"org.scribe.oauth.OAuth10aServiceImpl.getAccessToken(Token,Verifier,RequestTuner)";"Extract Method public getAccessToken(requestToken Token, verifier Verifier, tuner RequestTuner) : Token extracted from public getAccessToken(requestToken Token, verifier Verifier, timeout int, unit TimeUnit) : Token in class org.scribe.oauth.OAuth10aServiceImpl"
42;"9a99a44c5f5a7e557f0a4bfa5d64a2587947b590";"b8ca4910f883dbc2759ba9ef494c591eb65e2521";"Extract Method";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken(int,TimeUnit)";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken(RequestTuner)";"Extract Method public getRequestToken(tuner RequestTuner) : Token extracted from public getRequestToken(timeout int, unit TimeUnit) : Token in class org.scribe.oauth.OAuth10aServiceImpl"
45;"09d85d6713af6c97ae7d4450f88ceac20c60e2fd";"7b4fe73ba2b958627d838704ee6a706abd266301";"Extract Method";"org.scribe.oauth.OAuth10aServiceImpl.getAccessToken(Token,Verifier)";"org.scribe.oauth.OAuth10aServiceImpl.getAccessToken(Token,Verifier,int,TimeUnit)";"Extract Method public getAccessToken(requestToken Token, verifier Verifier, timeout int, unit TimeUnit) : Token extracted from public getAccessToken(requestToken Token, verifier Verifier) : Token in class org.scribe.oauth.OAuth10aServiceImpl"
45;"09d85d6713af6c97ae7d4450f88ceac20c60e2fd";"7b4fe73ba2b958627d838704ee6a706abd266301";"Extract Method";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken(int,TimeUnit)";"Extract Method public getRequestToken(timeout int, unit TimeUnit) : Token extracted from public getRequestToken() : Token in class org.scribe.oauth.OAuth10aServiceImpl"
86;"6cfdf973f8918e5e8d8874d57358dc6237efc2f0";"aa5e27b263b24efb5a4ee50b9d1cf22ee4f2ebee";"Rename Method";"org.scribe.builder.ServiceBuilderTest.shouldNotAcceptAnInvalidUrlAsCallback()";"org.scribe.builder.ServiceBuilderTest.shouldNotAcceptNullAsCallback()";"Rename Method public shouldNotAcceptAnInvalidUrlAsCallback() : void renamed to public shouldNotAcceptNullAsCallback() : void in class org.scribe.builder.ServiceBuilderTest"
89;"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"61c0b4cc9f503f2774a7cf7ac31c4cd04edb2d2b";"Rename Method";"org.scribe.oauth.OAuth10aServiceImpl.addSignature(OAuthRequest)";"org.scribe.oauth.OAuth10aServiceImpl.appendSignature(OAuthRequest)";"Rename Method private addSignature(request OAuthRequest) : void renamed to private appendSignature(request OAuthRequest) : void in class org.scribe.oauth.OAuth10aServiceImpl"
