"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
3;"7751f3865ad5b12eb54045142747bf9649831beb";"b1a40a92eb0b6bc9101a4ef83ab77330260001a8";"Inline Method";"io.selendroid.standalone.io.ShellCommand.PrintingLogOutputStream.getOutput()";"io.selendroid.standalone.io.ShellCommand.exec(CommandLine,long)";"Inline Method public getOutput() : String inlined to public exec(commandline CommandLine, timeoutInMillies long) : String in class io.selendroid.standalone.io.ShellCommand"
4;"b1a40a92eb0b6bc9101a4ef83ab77330260001a8";"3ce7fb3effef26df50de1e00c9c5cd53b367070d";"Extract Method";"io.selendroid.standalone.android.impl.AbstractDevice.runInstrumentCommand(String[])";"io.selendroid.standalone.io.ShellCommand.execAsync(String,CommandLine,Listener)";"Extract Method public execAsync(display String, commandLine CommandLine, listener Listener) : void extracted from private runInstrumentCommand(args String[]) : void in class io.selendroid.standalone.android.impl.AbstractDevice"
63;"11921d5e7014fdb1ef1040b2502d1e25c01e5af6";"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";"Extract Method";"io.selendroid.server.model.SelendroidWebDriver.configureWebView(WebView)";"io.selendroid.server.model.SelendroidWebDriver.encapsulatedCordovaChromeClientForView(CordovaWebView)";"Extract Method private encapsulatedCordovaChromeClientForView(view CordovaWebView) : CordovaChromeClient extracted from private configureWebView(view WebView) : void in class io.selendroid.server.model.SelendroidWebDriver"
63;"11921d5e7014fdb1ef1040b2502d1e25c01e5af6";"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";"Extract Method";"io.selendroid.server.model.SelendroidWebDriver.configureWebView(WebView)";"io.selendroid.server.model.SelendroidWebDriver.encapulateCordovaWebViewClientForView(CordovaWebView)";"Extract Method private encapulateCordovaWebViewClientForView(view CordovaWebView) : CordovaWebViewClient extracted from private configureWebView(view WebView) : void in class io.selendroid.server.model.SelendroidWebDriver"
63;"11921d5e7014fdb1ef1040b2502d1e25c01e5af6";"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";"Extract Method";"io.selendroid.server.model.SelendroidWebDriver.configureWebView(WebView)";"io.selendroid.server.model.SelendroidWebDriver.encapulateWebChromeClientForView(WebView)";"Extract Method private encapulateWebChromeClientForView(view WebView) : WebChromeClient extracted from private configureWebView(view WebView) : void in class io.selendroid.server.model.SelendroidWebDriver"
63;"11921d5e7014fdb1ef1040b2502d1e25c01e5af6";"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";"Extract Method";"io.selendroid.server.model.SelendroidWebDriver.configureWebView(WebView)";"io.selendroid.server.model.SelendroidWebDriver.encapulateWebViewClientForView(WebView)";"Extract Method private encapulateWebViewClientForView(view WebView) : WebViewClient extracted from private configureWebView(view WebView) : void in class io.selendroid.server.model.SelendroidWebDriver"
63;"11921d5e7014fdb1ef1040b2502d1e25c01e5af6";"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";"Extract Method";"io.selendroid.server.model.SelendroidWebDriver.getWebClientViaReflection(WebView,String)";"io.selendroid.server.model.SelendroidWebDriver.reflectionGet(Object,String)";"Extract Method private reflectionGet(object Object, field String) : Object extracted from private getWebClientViaReflection(view WebView, clientField String) : Object in class io.selendroid.server.model.SelendroidWebDriver"
64;"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";"a1a6a3b0943e8c6516ea49dcaa23a77e245a5b7b";"Extract Method";"io.selendroid.server.model.SelendroidWebDriver.configureWebView(WebView)";"io.selendroid.server.model.SelendroidWebDriver.getWebClientViaReflection(WebView,String)";"Extract Method private getWebClientViaReflection(view WebView, clientField String) : Object extracted from private configureWebView(view WebView) : void in class io.selendroid.server.model.SelendroidWebDriver"
191;"576160835d2b97f97579cfabfe2954027791394e";"c7d49e8376bd46aa7796336fa9ae2e2fd71592b8";"Extract Method";"io.selendroid.standalone.server.SelendroidStandaloneServer.start()";"io.selendroid.standalone.SelendroidConfiguration.isGrid()";"Extract Method public isGrid() : boolean extracted from public start() : void in class io.selendroid.standalone.server.SelendroidStandaloneServer"
192;"c7d49e8376bd46aa7796336fa9ae2e2fd71592b8";"87ca736109871bca1a150f63ae08bde9500b338f";"Rename Class";"io.selendroid.standalone.server.handler.RequestRedirectHandlerTest";"io.selendroid.standalone.server.handler.ProxyToDeviceHandlerTest";"Rename Class io.selendroid.standalone.server.handler.RequestRedirectHandlerTest renamed to io.selendroid.standalone.server.handler.ProxyToDeviceHandlerTest"
