"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
53;"fccb2eedee236027300f67c711228e26ad3aaa7c";"1b2d7013279ae700f0b15e6cb45a640c0accab63";"Rename Method";"com.seyren.core.service.notification.SlackNotificationServiceTest.notifcationServiceCanOnlyHandleFlowdockSubscription()";"com.seyren.core.service.notification.SlackNotificationServiceTest.notifcationServiceCanOnlyHandleSlackSubscription()";"Rename Method public notifcationServiceCanOnlyHandleFlowdockSubscription() : void renamed to public notifcationServiceCanOnlyHandleSlackSubscription() : void in class com.seyren.core.service.notification.SlackNotificationServiceTest"
94;"69b243a0e76cb6c78b2254c7b8d72d0dd526ec76";"f7c6c391ccd28165ab7497b29033c29eaa8e8b19";"Extract Method";"com.seyren.mongo.MongoStore.bootstrapMongo()";"com.seyren.mongo.MongoStore.addTargetHashToAlerts()";"Extract Method private addTargetHashToAlerts() : void extracted from private bootstrapMongo() : void in class com.seyren.mongo.MongoStore"
94;"69b243a0e76cb6c78b2254c7b8d72d0dd526ec76";"f7c6c391ccd28165ab7497b29033c29eaa8e8b19";"Extract Method";"com.seyren.mongo.MongoStore.bootstrapMongo()";"com.seyren.mongo.MongoStore.createIndices()";"Extract Method private createIndices() : void extracted from private bootstrapMongo() : void in class com.seyren.mongo.MongoStore"
94;"69b243a0e76cb6c78b2254c7b8d72d0dd526ec76";"f7c6c391ccd28165ab7497b29033c29eaa8e8b19";"Extract Method";"com.seyren.mongo.MongoStore.bootstrapMongo()";"com.seyren.mongo.MongoStore.removeOldIndices()";"Extract Method private removeOldIndices() : void extracted from private bootstrapMongo() : void in class com.seyren.mongo.MongoStore"
119;"d3395cca9d7813e3c2755711cd6aa2873f886c7d";"4ac7dc4dc6d01b0c2d66ea09889c97fa99253b17";"Extract Method";"com.seyren.core.service.notification.SnmpTrapNotificationService.sendNotification(Check,Subscription,List)";"com.seyren.core.service.notification.SnmpTrapNotificationService.closeSnmpConnection(Snmp)";"Extract Method private closeSnmpConnection(snmp Snmp) : void extracted from public sendNotification(check Check, subscription Subscription, alerts List) : void in class com.seyren.core.service.notification.SnmpTrapNotificationService"
119;"d3395cca9d7813e3c2755711cd6aa2873f886c7d";"4ac7dc4dc6d01b0c2d66ea09889c97fa99253b17";"Extract Method";"com.seyren.core.service.notification.SnmpTrapNotificationService.sendNotification(Check,Subscription,List)";"com.seyren.core.service.notification.SnmpTrapNotificationService.createSnmpConnection()";"Extract Method private createSnmpConnection() : Snmp extracted from public sendNotification(check Check, subscription Subscription, alerts List) : void in class com.seyren.core.service.notification.SnmpTrapNotificationService"
119;"d3395cca9d7813e3c2755711cd6aa2873f886c7d";"4ac7dc4dc6d01b0c2d66ea09889c97fa99253b17";"Extract Method";"com.seyren.core.service.notification.SnmpTrapNotificationService.sendNotification(Check,Subscription,List)";"com.seyren.core.service.notification.SnmpTrapNotificationService.octetString(String)";"Extract Method private octetString(value String) : OctetString extracted from public sendNotification(check Check, subscription Subscription, alerts List) : void in class com.seyren.core.service.notification.SnmpTrapNotificationService"
119;"d3395cca9d7813e3c2755711cd6aa2873f886c7d";"4ac7dc4dc6d01b0c2d66ea09889c97fa99253b17";"Extract Method";"com.seyren.core.service.notification.SnmpTrapNotificationService.sendNotification(Check,Subscription,List)";"com.seyren.core.service.notification.SnmpTrapNotificationService.sendAlert(Check,Snmp,CommunityTarget,PDU)";"Extract Method private sendAlert(check Check, snmp Snmp, target CommunityTarget, trap PDU) : void extracted from public sendNotification(check Check, subscription Subscription, alerts List) : void in class com.seyren.core.service.notification.SnmpTrapNotificationService"
119;"d3395cca9d7813e3c2755711cd6aa2873f886c7d";"4ac7dc4dc6d01b0c2d66ea09889c97fa99253b17";"Extract Method";"com.seyren.core.service.notification.SnmpTrapNotificationService.sendNotification(Check,Subscription,List)";"com.seyren.core.service.notification.SnmpTrapNotificationService.variableBinding(OID,String)";"Extract Method private variableBinding(oid OID, value String) : VariableBinding extracted from public sendNotification(check Check, subscription Subscription, alerts List) : void in class com.seyren.core.service.notification.SnmpTrapNotificationService"
156;"c459c365ec426cf03b80269b77c7120fadf6d27f";"30f9775b5206f09a29808764c2992581bc727e0f";"Rename Method";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotifyOfWarningWhenNotIgnoringWarning()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyOfWarningWhenIgnoringWarning()";"Rename Method public subscriptionShouldNotifyOfWarningWhenNotIgnoringWarning() : void renamed to public subscriptionShouldNotNotifyOfWarningWhenIgnoringWarning() : void in class com.seyren.core.domain.SubscriptionTest"
156;"c459c365ec426cf03b80269b77c7120fadf6d27f";"30f9775b5206f09a29808764c2992581bc727e0f";"Rename Method";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyOfErrorWhenNotIgnoringError()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyOfErrorWhenIgnoringError()";"Rename Method public subscriptionShouldNotNotifyOfErrorWhenNotIgnoringError() : void renamed to public subscriptionShouldNotNotifyOfErrorWhenIgnoringError() : void in class com.seyren.core.domain.SubscriptionTest"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Rename Method";"com.seyren.core.domain.SubscriptionTest.testShouldNotify()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotifyWhenTimeAndDateAreGood()";"Rename Method public testShouldNotify() : void renamed to public subscriptionShouldNotifyWhenTimeAndDateAreGood() : void in class com.seyren.core.domain.SubscriptionTest"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Rename Method";"com.seyren.core.domain.SubscriptionTest.testShouldNotifyBeforeTime()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyBeforeTime()";"Rename Method public testShouldNotifyBeforeTime() : void renamed to public subscriptionShouldNotNotifyBeforeTime() : void in class com.seyren.core.domain.SubscriptionTest"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Rename Method";"com.seyren.core.domain.SubscriptionTest.testShouldNotifyAfterTime()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyAfterTime()";"Rename Method public testShouldNotifyAfterTime() : void renamed to public subscriptionShouldNotNotifyAfterTime() : void in class com.seyren.core.domain.SubscriptionTest"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Rename Method";"com.seyren.core.domain.SubscriptionTest.shouldNotNotifyWhenNotEnabled()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyWhenNotEnabled()";"Rename Method public shouldNotNotifyWhenNotEnabled() : void renamed to public subscriptionShouldNotNotifyWhenNotEnabled() : void in class com.seyren.core.domain.SubscriptionTest"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Rename Method";"com.seyren.core.domain.SubscriptionTest.testShouldNotifyIncorrectDay()";"com.seyren.core.domain.SubscriptionTest.subscriptionShouldNotNotifyOnTheWrongDay()";"Rename Method public testShouldNotifyIncorrectDay() : void renamed to public subscriptionShouldNotNotifyOnTheWrongDay() : void in class com.seyren.core.domain.SubscriptionTest"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Move Method";"com.seyren.core.service.schedule.CheckScheduler.createAlert(String,BigDecimal,BigDecimal,BigDecimal,AlertType,AlertType,DateTime)";"com.seyren.core.service.schedule.CheckRunner.createAlert(String,BigDecimal,BigDecimal,BigDecimal,AlertType,AlertType,DateTime)";"Move Method private createAlert(target String, value BigDecimal, warn BigDecimal, error BigDecimal, from AlertType, to AlertType, now DateTime) : Alert from class com.seyren.core.service.schedule.CheckScheduler to private createAlert(target String, value BigDecimal, warn BigDecimal, error BigDecimal, from AlertType, to AlertType, now DateTime) : Alert from class com.seyren.core.service.schedule.CheckRunner"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Move Method";"com.seyren.core.service.schedule.CheckScheduler.isStillOk(AlertType,AlertType)";"com.seyren.core.service.schedule.CheckRunner.isStillOk(AlertType,AlertType)";"Move Method private isStillOk(last AlertType, current AlertType) : boolean from class com.seyren.core.service.schedule.CheckScheduler to private isStillOk(last AlertType, current AlertType) : boolean from class com.seyren.core.service.schedule.CheckRunner"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Move Method";"com.seyren.core.service.schedule.CheckScheduler.stateIsTheSame(AlertType,AlertType)";"com.seyren.core.service.schedule.CheckRunner.stateIsTheSame(AlertType,AlertType)";"Move Method private stateIsTheSame(last AlertType, current AlertType) : boolean from class com.seyren.core.service.schedule.CheckScheduler to private stateIsTheSame(last AlertType, current AlertType) : boolean from class com.seyren.core.service.schedule.CheckRunner"
160;"b898f72f06ed304941c14a2d8dc66d78b79178be";"9d93635ed9c6e8d0eb3614911602ace8dddfb9b8";"Move Method";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()";"com.seyren.core.service.schedule.CheckRunner.run()";"Move Method public run() : void from class com.seyren.core.service.schedule.CheckScheduler.CheckRunner to public run() : void from class com.seyren.core.service.schedule.CheckRunner"
