"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
26;"a0634ce94a923473ad1a334ecd21a8de2a69becd";"53c6a577de8fb745db0c572d0ffebea37779013e";"Rename Method";"org.springframework.data.jpa.mapping.JpaPersistentPropertyImplUnitTests.considersEmbeddablePropertyAnAssociation()";"org.springframework.data.jpa.mapping.JpaPersistentPropertyImplUnitTests.doesNotConsiderAnEmbeddablePropertyAnAssociation()";"Rename Method public considersEmbeddablePropertyAnAssociation() : void renamed to public doesNotConsiderAnEmbeddablePropertyAnAssociation() : void in class org.springframework.data.jpa.mapping.JpaPersistentPropertyImplUnitTests"
26;"a0634ce94a923473ad1a334ecd21a8de2a69becd";"53c6a577de8fb745db0c572d0ffebea37779013e";"Rename Method";"org.springframework.data.jpa.mapping.JpaPersistentPropertyImplUnitTests.considersEmbeddedPropertyAnAssociation()";"org.springframework.data.jpa.mapping.JpaPersistentPropertyImplUnitTests.doesNotConsiderAnEmbeddedPropertyAnAssociation()";"Rename Method public considersEmbeddedPropertyAnAssociation() : void renamed to public doesNotConsiderAnEmbeddedPropertyAnAssociation() : void in class org.springframework.data.jpa.mapping.JpaPersistentPropertyImplUnitTests"
26;"a0634ce94a923473ad1a334ecd21a8de2a69becd";"53c6a577de8fb745db0c572d0ffebea37779013e";"Rename Method";"org.springframework.data.jpa.mapping.JpaPersistentPropertyImpl.getPersistentEntityType()";"org.springframework.data.jpa.mapping.JpaPersistentPropertyImpl.getPersistentEntityTypes()";"Rename Method public getPersistentEntityType() : Iterable renamed to public getPersistentEntityTypes() : Iterable in class org.springframework.data.jpa.mapping.JpaPersistentPropertyImpl"
34;"63b72c70051ff5d234c27b6cfa29ec159f301450";"df390ee8226d7b057d386c5d6e92489874b4f9c2";"Extract Method";"org.springframework.data.jpa.repository.query.StringQuery.ParameterBindingParser.parseParameterBindingsOfQueryIntoBindingsAndReturnCleanedQuery(String,List)";"org.springframework.data.jpa.repository.query.StringQuery.ParameterBindingParser.getParameterIndex(String)";"Extract Method private getParameterIndex(parameterIndexString String) : Integer extracted from package parseParameterBindingsOfQueryIntoBindingsAndReturnCleanedQuery(query String, bindings List) : String in class org.springframework.data.jpa.repository.query.StringQuery.ParameterBindingParser"
37;"d5231a14b3d9ba597939a5fbc9424f9ffe7eb6e8";"fd8ea4f85281e29bb9beb2254c7c21145539ad97";"Rename Method";"org.springframework.data.jpa.repository.query.DeclaredQuery.implementsPaging()";"org.springframework.data.jpa.repository.query.DeclaredQuery.usesPaging()";"Rename Method package implementsPaging() : boolean renamed to package usesPaging() : boolean in class org.springframework.data.jpa.repository.query.DeclaredQuery"
37;"d5231a14b3d9ba597939a5fbc9424f9ffe7eb6e8";"fd8ea4f85281e29bb9beb2254c7c21145539ad97";"Rename Method";"org.springframework.data.jpa.repository.query.StringQuery.implementsPaging()";"org.springframework.data.jpa.repository.query.StringQuery.usesPaging()";"Rename Method public implementsPaging() : boolean renamed to public usesPaging() : boolean in class org.springframework.data.jpa.repository.query.StringQuery"
46;"f718117cd93a804871e6b2804ef4b2e424e38cce";"6b9fcf26041c6bcd6ba5318e84201f6dea153296";"Rename Method";"org.springframework.data.jpa.repository.cdi.RepositoryConsumer.doSomethonOnUserDB()";"org.springframework.data.jpa.repository.cdi.RepositoryConsumer.doSomethingOnUserDB()";"Rename Method public doSomethonOnUserDB() : void renamed to public doSomethingOnUserDB() : void in class org.springframework.data.jpa.repository.cdi.RepositoryConsumer"
54;"549cfd9cf8dd94a9f7fdcf73c167290550cfff1c";"6c713d20b1d2f3083e30187e6b3cb746daf58d04";"Extract Method";"org.springframework.data.jpa.repository.query.AbstractStringBasedJpaQuery.createJpaQuery(String)";"org.springframework.data.jpa.repository.query.AbstractJpaQuery.getTypeToRead()";"Extract Method protected getTypeToRead() : Optional extracted from protected createJpaQuery(queryString String) : Query in class org.springframework.data.jpa.repository.query.AbstractStringBasedJpaQuery"
76;"476baa480912f5e239905da0172fae1faba1d902";"7c062ceafc3ef939a0c634683c0eb08dc906fe6d";"Rename Method";"org.springframework.data.jpa.repository.support.SimpleJpaRepositoryUnitTests.mergeGetsNotCalledWhenAttached()";"org.springframework.data.jpa.repository.support.SimpleJpaRepositoryUnitTests.mergeGetsCalledWhenAttached()";"Rename Method public mergeGetsNotCalledWhenAttached() : void renamed to public mergeGetsCalledWhenAttached() : void in class org.springframework.data.jpa.repository.support.SimpleJpaRepositoryUnitTests"
81;"3bc64438e659fd081098c7d55fddce6364bbd727";"e0aefcbeb98e1a1283f142ed8eb1cff071c0e5c9";"Move Class";"org.springframework.data.jpa.repository.query.QuotationMap";"org.springframework.data.jpa.repository.query.StringQuery.QuotationMap";"Move Class org.springframework.data.jpa.repository.query.QuotationMap moved to org.springframework.data.jpa.repository.query.StringQuery.QuotationMap"
82;"e0aefcbeb98e1a1283f142ed8eb1cff071c0e5c9";"467946145781d608514a2ee47be9b08d845cbaaa";"Move Method";"org.springframework.data.jpa.repository.query.QueryUtilsUnitTests.checkHasNamedParameter(SoftAssertions,String,boolean,String)";"org.springframework.data.jpa.repository.query.StringQueryUnitTests.checkHasNamedParameter(String,boolean,String)";"Move Method private checkHasNamedParameter(softly SoftAssertions, query String, expected boolean, label String) : void from class org.springframework.data.jpa.repository.query.QueryUtilsUnitTests to private checkHasNamedParameter(query String, expected boolean, label String) : void from class org.springframework.data.jpa.repository.query.StringQueryUnitTests"
82;"e0aefcbeb98e1a1283f142ed8eb1cff071c0e5c9";"467946145781d608514a2ee47be9b08d845cbaaa";"Move Method";"org.springframework.data.jpa.repository.query.QueryUtilsUnitTests.testHasNamedParameter()";"org.springframework.data.jpa.repository.query.StringQueryUnitTests.testHasNamedParameter()";"Move Method public testHasNamedParameter() : void from class org.springframework.data.jpa.repository.query.QueryUtilsUnitTests to public testHasNamedParameter() : void from class org.springframework.data.jpa.repository.query.StringQueryUnitTests"
92;"f78037410d4b494e700980110ec608f03a4849ad";"31ddaa979e3623a0aa491f849b12ee3b6045d366";"Extract Interface";"org.springframework.data.jpa.repository.support.SimpleJpaRepository";"org.springframework.data.jpa.repository.support.JpaRepositoryImplementation";"Extract Interface org.springframework.data.jpa.repository.support.JpaRepositoryImplementation from class org.springframework.data.jpa.repository.support.SimpleJpaRepository"
93;"31ddaa979e3623a0aa491f849b12ee3b6045d366";"5de6fe0fa7cf439464a5e551bb7bab396bb427b4";"Extract Interface";"org.springframework.data.jpa.repository.support.SimpleJpaRepository";"org.springframework.data.jpa.repository.support.RepositoryMethodMetadataAware";"Extract Interface org.springframework.data.jpa.repository.support.RepositoryMethodMetadataAware from class org.springframework.data.jpa.repository.support.SimpleJpaRepository"
147;"32c308db3e2b75a642503ecd8e6df81ecb5ea50e";"e072a56a27869081dfcc43e07e7045c649359852";"Rename Method";"org.springframework.data.jpa.repository.UserRepositoryTests.excutesPagedSpecificationSettingAnOrder()";"org.springframework.data.jpa.repository.UserRepositoryTests.executesPagedSpecificationSettingAnOrder()";"Rename Method public excutesPagedSpecificationSettingAnOrder() : void renamed to public executesPagedSpecificationSettingAnOrder() : void in class org.springframework.data.jpa.repository.UserRepositoryTests"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Rename Method";"org.springframework.data.jpa.repository.UserRepositoryTests.allowsExecutingPageableMethodWithNullPageable()";"org.springframework.data.jpa.repository.UserRepositoryTests.allowsExecutingPageableMethodWithUnpagedArgument()";"Rename Method public allowsExecutingPageableMethodWithNullPageable() : void renamed to public allowsExecutingPageableMethodWithUnpagedArgument() : void in class org.springframework.data.jpa.repository.UserRepositoryTests"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.query.QueryParameterSetterFactory.createSetter(Function,ParameterBinding,JpaParameter,boolean)";"org.springframework.data.jpa.repository.query.JpaParameters.JpaParameter.getRequiredTemporalType()";"Extract Method package getRequiredTemporalType() : TemporalType extracted from private createSetter(valueExtractor Function, binding ParameterBinding, parameter JpaParameter, lenient boolean) : QueryParameterSetter in class org.springframework.data.jpa.repository.query.QueryParameterSetterFactory"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.query.QueryParameterSetterFactory.CriteriaQueryParameterSetterFactory.create(ParameterBinding,String)";"org.springframework.data.jpa.repository.query.JpaParameters.JpaParameter.getRequiredTemporalType()";"Extract Method package getRequiredTemporalType() : TemporalType extracted from public create(binding ParameterBinding, queryString String) : QueryParameterSetter in class org.springframework.data.jpa.repository.query.QueryParameterSetterFactory.CriteriaQueryParameterSetterFactory"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.query.SimpleJpaQuery.(JpaQueryMethod,EntityManager,EvaluationContextProvider,SpelExpressionParser)";"org.springframework.data.jpa.repository.query.JpaQueryMethod.getRequiredAnnotatedQuery()";"Extract Method package getRequiredAnnotatedQuery() : String extracted from public SimpleJpaQuery(method JpaQueryMethod, em EntityManager, evaluationContextProvider EvaluationContextProvider, parser SpelExpressionParser) in class org.springframework.data.jpa.repository.query.SimpleJpaQuery"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.delete(EntityPath)";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.getRequiredEntityManager()";"Extract Method private getRequiredEntityManager() : EntityManager extracted from protected delete(path EntityPath) : DeleteClause in class org.springframework.data.jpa.repository.support.QuerydslRepositorySupport"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.update(EntityPath)";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.getRequiredEntityManager()";"Extract Method private getRequiredEntityManager() : EntityManager extracted from protected update(path EntityPath) : UpdateClause in class org.springframework.data.jpa.repository.support.QuerydslRepositorySupport"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.from(EntityPath[])";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.getRequiredQuerydsl()";"Extract Method private getRequiredQuerydsl() : Querydsl extracted from protected from(paths EntityPath[]) : JPQLQuery in class org.springframework.data.jpa.repository.support.QuerydslRepositorySupport"
154;"2e3e5f67bc88c94b00b86baf987b36bdba754632";"0273476ba6696ba3566c2efaa47721626233a738";"Extract Method";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.from(EntityPath)";"org.springframework.data.jpa.repository.support.QuerydslRepositorySupport.getRequiredQuerydsl()";"Extract Method private getRequiredQuerydsl() : Querydsl extracted from protected from(path EntityPath) : JPQLQuery in class org.springframework.data.jpa.repository.support.QuerydslRepositorySupport"
155;"0273476ba6696ba3566c2efaa47721626233a738";"335a4780678e6b14f32374912b5a7892ce244207";"Move Class";"org.springframework.data.jpa.domain.Specification.CompositionType";"org.springframework.data.jpa.domain.Specifications.CompositionType";"Move Class org.springframework.data.jpa.domain.Specification.CompositionType moved to org.springframework.data.jpa.domain.Specifications.CompositionType"
