"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
5;"cf4b806ef5082567aa157c0817658d64dc19d14a";"ebe223ff012273042ecde76369ecf8a00b910236";"Rename Method";"org.springframework.data.neo4j.repository.query.GraphRepositoryQuery.getQueryString()";"org.springframework.data.neo4j.repository.query.GraphRepositoryQuery.getAnnotationQueryString()";"Rename Method private getQueryString() : String renamed to private getAnnotationQueryString() : String in class org.springframework.data.neo4j.repository.query.GraphRepositoryQuery"
10;"e797f67e7281b2088d41466435c3a82954cb7acc";"14a150ae819e65ee896ae1fc337def0f865e32c0";"Rename Method";"org.springframework.data.neo4j.repository.config.Neo4jRepositoryConfigurationExtensionTests.registersDefaultBeanPostProcessorsByDefault()";"org.springframework.data.neo4j.repository.config.Neo4jRepositoryConfigurationExtensionTests.registersSharedSessionCreatorBeanByDefault()";"Rename Method public registersDefaultBeanPostProcessorsByDefault() : void renamed to public registersSharedSessionCreatorBeanByDefault() : void in class org.springframework.data.neo4j.repository.config.Neo4jRepositoryConfigurationExtensionTests"
10;"e797f67e7281b2088d41466435c3a82954cb7acc";"14a150ae819e65ee896ae1fc337def0f865e32c0";"Move Method";"org.springframework.data.neo4j.repository.support.SessionBeanDefinitionRegistrarPostProcessor.translateExceptionIfPossible(RuntimeException)";"org.springframework.data.neo4j.repository.support.Neo4jPersistenceExceptionTranslator.translateExceptionIfPossible(RuntimeException)";"Move Method public translateExceptionIfPossible(ex RuntimeException) : DataAccessException from class org.springframework.data.neo4j.repository.support.SessionBeanDefinitionRegistrarPostProcessor to public translateExceptionIfPossible(ex RuntimeException) : DataAccessException from class org.springframework.data.neo4j.repository.support.Neo4jPersistenceExceptionTranslator"
10;"e797f67e7281b2088d41466435c3a82954cb7acc";"14a150ae819e65ee896ae1fc337def0f865e32c0";"Move Method";"org.springframework.data.neo4j.repository.support.SessionBeanDefinitionRegistrarPostProcessorTests.Config.sessionFactory()";"org.springframework.data.neo4j.repository.support.Neo4jPersistenceExceptionTranslatorTest.Config.sessionFactory()";"Move Method public sessionFactory() : SessionFactory from class org.springframework.data.neo4j.repository.support.SessionBeanDefinitionRegistrarPostProcessorTests.Config to public sessionFactory() : SessionFactory from class org.springframework.data.neo4j.repository.support.Neo4jPersistenceExceptionTranslatorTest.Config"
10;"e797f67e7281b2088d41466435c3a82954cb7acc";"14a150ae819e65ee896ae1fc337def0f865e32c0";"Move Method";"org.springframework.data.neo4j.repository.support.SessionBeanDefinitionRegistrarPostProcessorTests.Config.transactionManager()";"org.springframework.data.neo4j.repository.support.Neo4jPersistenceExceptionTranslatorTest.Config.transactionManager()";"Move Method public transactionManager() : PlatformTransactionManager from class org.springframework.data.neo4j.repository.support.SessionBeanDefinitionRegistrarPostProcessorTests.Config to public transactionManager() : TransactionalRepositoryTests.DelegatingTransactionManager from class org.springframework.data.neo4j.repository.support.Neo4jPersistenceExceptionTranslatorTest.Config"
10;"e797f67e7281b2088d41466435c3a82954cb7acc";"14a150ae819e65ee896ae1fc337def0f865e32c0";"Extract Method";"org.springframework.data.neo4j.repository.config.Neo4jRepositoryConfigurationExtensionTests.registersDefaultBeanPostProcessorsByDefault()";"org.springframework.data.neo4j.repository.config.Neo4jRepositoryConfigurationExtensionTests.getBeanRegistry()";"Extract Method private getBeanRegistry() : DefaultListableBeanFactory extracted from public registersDefaultBeanPostProcessorsByDefault() : void in class org.springframework.data.neo4j.repository.config.Neo4jRepositoryConfigurationExtensionTests"
21;"fc458abaf203556ddce2fc8f5ef14409bef4e4e3";"951c1e36b3388c0b30ac870beae6a5a03b5bfe8a";"Rename Class";"org.springframework.data.neo4j.repository.cdi.SamplePersonRepositoryCustom";"org.springframework.data.neo4j.repository.cdi.SamplePersonFragment";"Rename Class org.springframework.data.neo4j.repository.cdi.SamplePersonRepositoryCustom renamed to org.springframework.data.neo4j.repository.cdi.SamplePersonFragment"
21;"fc458abaf203556ddce2fc8f5ef14409bef4e4e3";"951c1e36b3388c0b30ac870beae6a5a03b5bfe8a";"Rename Class";"org.springframework.data.neo4j.repository.cdi.SamplePersonRepositoryImpl";"org.springframework.data.neo4j.repository.cdi.SamplePersonFragmentImpl";"Rename Class org.springframework.data.neo4j.repository.cdi.SamplePersonRepositoryImpl renamed to org.springframework.data.neo4j.repository.cdi.SamplePersonFragmentImpl"
30;"fc67b3d0364efff3d013a4a75e534b4f4cc54399";"1c0641e515fa10b5e386ce9583e8d136fe9e3b82";"Rename Method";"org.springframework.data.neo4j.repository.config.Neo4jOgmEntityInstantiatorConfigurationBean.afterPropertiesSet()";"org.springframework.data.neo4j.repository.config.Neo4jOgmEntityInstantiatorConfigurationBean.(SessionFactory,Neo4jMappingContext,ObjectProvider)";"Rename Method public afterPropertiesSet() : void renamed to public Neo4jOgmEntityInstantiatorConfigurationBean(sessionFactory SessionFactory, mappingContext Neo4jMappingContext, conversionServiceObjectProvider ObjectProvider) in class org.springframework.data.neo4j.repository.config.Neo4jOgmEntityInstantiatorConfigurationBean"
31;"1c0641e515fa10b5e386ce9583e8d136fe9e3b82";"f0fe0f00cd9ad6037d63d16c93aed629b941e711";"Rename Class";"org.springframework.data.neo4j.repository.support.Neo4jAuditingBeanFactoryPostProcessor";"org.springframework.data.neo4j.repository.support.Neo4jAuditingBeanPostProcessor";"Rename Class org.springframework.data.neo4j.repository.support.Neo4jAuditingBeanFactoryPostProcessor renamed to org.springframework.data.neo4j.repository.support.Neo4jAuditingBeanPostProcessor"
36;"fae7d58194a6c1726301118fe4ff2a62319d6a21";"2af6a451e46d1b512a33b57666ea2981983c0ae4";"Inline Method";"org.springframework.data.neo4j.repository.config.Neo4jMappingContextFactoryBean.getEntityInstantiator(Neo4jMappingContext,ConversionService)";"org.springframework.data.neo4j.repository.config.Neo4jMappingContextFactoryBean.createInstance()";"Inline Method private getEntityInstantiator(context Neo4jMappingContext, conversionService ConversionService) : EntityInstantiator inlined to protected createInstance() : Neo4jMappingContext in class org.springframework.data.neo4j.repository.config.Neo4jMappingContextFactoryBean"
48;"bdaf6f7e8d7fd13554919c144681466b713083ae";"4992f4760a2b7d5b9b59cf75e7693fe6b28285b9";"Rename Class";"org.springframework.data.neo4j.auditing.JavaConfigurationAuditingTest";"org.springframework.data.neo4j.auditing.JavaConfigurationAuditingTests";"Rename Class org.springframework.data.neo4j.auditing.JavaConfigurationAuditingTest renamed to org.springframework.data.neo4j.auditing.JavaConfigurationAuditingTests"
56;"5a51a7cedd8d6d4f242cdd620b888e6e26d0eb6c";"cb88cfdee32f1937703ca1ea7f7c9875cffa2111";"Rename Class";"org.springframework.data.neo4j.transaction.BookmarkTransactionTest";"org.springframework.data.neo4j.transaction.BookmarkTransactionTests";"Rename Class org.springframework.data.neo4j.transaction.BookmarkTransactionTest renamed to org.springframework.data.neo4j.transaction.BookmarkTransactionTests"
