"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
21;"e79b73664ace9e0032779b8d0db091b54e5d83b8";"7aeb31bdd8e9d46e33a5a0774fa973af8c9851da";"Rename Method";"org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.ExtendingConfiguration.configureRepositoryRestConfiguration(RepositoryRestConfiguration)";"org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.ExtendingConfiguration.configurer()";"Rename Method public configureRepositoryRestConfiguration(config RepositoryRestConfiguration) : void renamed to package configurer() : RepositoryRestConfigurer in class org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.ExtendingConfiguration"
21;"e79b73664ace9e0032779b8d0db091b54e5d83b8";"7aeb31bdd8e9d46e33a5a0774fa973af8c9851da";"Rename Method";"org.springframework.data.rest.webmvc.alps.AlpsControllerIntegrationTests.Config.configureRepositoryRestConfiguration(RepositoryRestConfiguration)";"org.springframework.data.rest.webmvc.alps.AlpsControllerIntegrationTests.Config.configurer()";"Rename Method public configureRepositoryRestConfiguration(config RepositoryRestConfiguration) : void renamed to package configurer() : RepositoryRestConfigurer in class org.springframework.data.rest.webmvc.alps.AlpsControllerIntegrationTests.Config"
21;"e79b73664ace9e0032779b8d0db091b54e5d83b8";"7aeb31bdd8e9d46e33a5a0774fa973af8c9851da";"Rename Method";"org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.NonHalConfiguration.configureRepositoryRestConfiguration(RepositoryRestConfiguration)";"org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.NonHalConfiguration.configurer()";"Rename Method public configureRepositoryRestConfiguration(config RepositoryRestConfiguration) : void renamed to package configurer() : RepositoryRestConfigurer in class org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.NonHalConfiguration"
21;"e79b73664ace9e0032779b8d0db091b54e5d83b8";"7aeb31bdd8e9d46e33a5a0774fa973af8c9851da";"Rename Method";"org.springframework.data.rest.webmvc.jpa.DataRest363Tests.Config.configureRepositoryRestConfiguration(RepositoryRestConfiguration)";"org.springframework.data.rest.webmvc.jpa.DataRest363Tests.Config.configurer()";"Rename Method public configureRepositoryRestConfiguration(config RepositoryRestConfiguration) : void renamed to package configurer() : RepositoryRestConfigurer in class org.springframework.data.rest.webmvc.jpa.DataRest363Tests.Config"
21;"e79b73664ace9e0032779b8d0db091b54e5d83b8";"7aeb31bdd8e9d46e33a5a0774fa973af8c9851da";"Extract Method";"org.springframework.data.rest.webmvc.jpa.CorsIntegrationTests.CorsConfig.repositoryRestConfigurer()";"org.springframework.data.rest.webmvc.config.RepositoryRestConfigurer.withConfig(Consumer)";"Extract Method package withConfig(consumer Consumer) : RepositoryRestConfigurer extracted from package repositoryRestConfigurer() : RepositoryRestConfigurer in class org.springframework.data.rest.webmvc.jpa.CorsIntegrationTests.CorsConfig"
24;"622cf07720cd969adf5e4ee8fe077033bc696ee6";"4dd66ba7829d2603f8c43a376df6eb3529ef6be4";"Extract Method";"org.springframework.data.rest.webmvc.support.DelegatingHandlerMapping.getHandler(HttpServletRequest)";"org.springframework.data.rest.webmvc.support.DelegatingHandlerMapping.HandlerSelectionResult.from(HttpServletRequest,Iterable)";"Extract Method public from(request HttpServletRequest, delegates Iterable) : HandlerSelectionResult extracted from public getHandler(request HttpServletRequest) : HandlerExecutionChain in class org.springframework.data.rest.webmvc.support.DelegatingHandlerMapping"
34;"a10aa934b794bffb7bfbbac22e7bfc72ea4fdcc8";"6b61d2b0269804ab1bba0938d48e84fcf11e459b";"Inline Method";"org.springframework.data.rest.core.mapping.RepositoryDetectionStrategy.exposeMethodsByDefault()";"org.springframework.data.rest.core.mapping.RepositoryMethodResourceMappingUnitTests.getMappingFor(Method)";"Inline Method package exposeMethodsByDefault() : boolean inlined to private getMappingFor(method Method) : RepositoryMethodResourceMapping in class org.springframework.data.rest.core.mapping.RepositoryMethodResourceMappingUnitTests"
35;"6b61d2b0269804ab1bba0938d48e84fcf11e459b";"5172f89281a04a6bd3643167ba3d8d963e15b33a";"Rename Method";"org.springframework.data.rest.core.mapping.RepositoryResourceMappings.getRepositoryDetectionStrategy()";"org.springframework.data.rest.core.mapping.RepositoryResourceMappings.exposeMethodsByDefault()";"Rename Method public getRepositoryDetectionStrategy() : RepositoryDetectionStrategy renamed to public exposeMethodsByDefault() : boolean in class org.springframework.data.rest.core.mapping.RepositoryResourceMappings"
35;"6b61d2b0269804ab1bba0938d48e84fcf11e459b";"5172f89281a04a6bd3643167ba3d8d963e15b33a";"Inline Method";"org.springframework.data.rest.core.mapping.RepositoryMethodResourceMapping.determineIsExported(RepositoryDetectionStrategy,RestResource)";"org.springframework.data.rest.core.mapping.RepositoryMethodResourceMapping.(Method,ResourceMapping,RepositoryMetadata,boolean)";"Inline Method private determineIsExported(strategy RepositoryDetectionStrategy, annotation RestResource) : boolean inlined to public RepositoryMethodResourceMapping(method Method, resourceMapping ResourceMapping, metadata RepositoryMetadata, exposeMethodsByDefault boolean) in class org.springframework.data.rest.core.mapping.RepositoryMethodResourceMapping"
36;"5172f89281a04a6bd3643167ba3d8d963e15b33a";"d4a3ba1195f7df0205944c944ff7b3b766b8c346";"Extract Method";"org.springframework.data.rest.core.mapping.RepositoryMethodResourceMapping.(Method,ResourceMapping,RepositoryMetadata)";"org.springframework.data.rest.core.mapping.RepositoryMethodResourceMapping.determineIsExported(RepositoryDetectionStrategy,RestResource)";"Extract Method private determineIsExported(strategy RepositoryDetectionStrategy, annotation RestResource) : boolean extracted from public RepositoryMethodResourceMapping(method Method, resourceMapping ResourceMapping, metadata RepositoryMetadata) in class org.springframework.data.rest.core.mapping.RepositoryMethodResourceMapping"
