"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
2;"61972998ac8cd7dd94d077c39a47c5d557e13a50";"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"Extract Method";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController.partiallyUpdateEmployee(Employee,Integer)";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController.toUri(Integer)";"Extract Method private toUri(id Integer) : URI extracted from public partiallyUpdateEmployee(employee Employee, id Integer) : ResponseEntity in class org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController"
2;"61972998ac8cd7dd94d077c39a47c5d557e13a50";"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"Extract Method";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController.newEmployee(Employee)";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController.toUri(Integer)";"Extract Method private toUri(id Integer) : URI extracted from public newEmployee(employee Employee) : ResponseEntity in class org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController"
2;"61972998ac8cd7dd94d077c39a47c5d557e13a50";"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"Extract Method";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController.updateEmployee(Employee,Integer)";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController.toUri(Integer)";"Extract Method private toUri(id Integer) : URI extracted from public updateEmployee(employee Employee, id Integer) : ResponseEntity in class org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest.EmployeeController"
2;"61972998ac8cd7dd94d077c39a47c5d557e13a50";"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"Extract Method";"org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController.newEmployee(Resource)";"org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController.toUri(Integer)";"Extract Method private toUri(id Integer) : URI extracted from public newEmployee(employee Resource) : ResponseEntity in class org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController"
2;"61972998ac8cd7dd94d077c39a47c5d557e13a50";"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"Extract Method";"org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController.updateEmployee(Resource,Integer)";"org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController.toUri(Integer)";"Extract Method private toUri(id Integer) : URI extracted from public updateEmployee(employee Resource, id Integer) : ResponseEntity in class org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController"
2;"61972998ac8cd7dd94d077c39a47c5d557e13a50";"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"Extract Method";"org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController.partiallyUpdateEmployee(Resource,Integer)";"org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController.toUri(Integer)";"Extract Method private toUri(id Integer) : URI extracted from public partiallyUpdateEmployee(employee Resource, id Integer) : ResponseEntity in class org.springframework.hateoas.mvc.MultiMediatypeWebMvcIntegrationTest.EmployeeController"
3;"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"3af698d92883c1bd66040a47e7216f1933850253";"Move Class";"org.springframework.hateoas.hal.forms.EmployeeResource";"org.springframework.hateoas.support.EmployeeResource";"Move Class org.springframework.hateoas.hal.forms.EmployeeResource moved to org.springframework.hateoas.support.EmployeeResource"
3;"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"3af698d92883c1bd66040a47e7216f1933850253";"Rename Method";"org.springframework.hateoas.config.EnableHypermediaSupportIntegrationTest.registersLinkDiscoverers()";"org.springframework.hateoas.config.EnableHypermediaSupportIntegrationTest.registersHalLinkDiscoverers()";"Rename Method public registersLinkDiscoverers() : void renamed to public registersHalLinkDiscoverers() : void in class org.springframework.hateoas.config.EnableHypermediaSupportIntegrationTest"
3;"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"3af698d92883c1bd66040a47e7216f1933850253";"Rename Method";"org.springframework.hateoas.mvc.TypeReferencesIntegrationTest.usesResourcesOfResourceTypeReference()";"org.springframework.hateoas.mvc.TypeReferencesIntegrationTest.usesResourcesOfResourceTypeReferenceWithHal()";"Rename Method public usesResourcesOfResourceTypeReference() : void renamed to public usesResourcesOfResourceTypeReferenceWithHal() : void in class org.springframework.hateoas.mvc.TypeReferencesIntegrationTest"
3;"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"3af698d92883c1bd66040a47e7216f1933850253";"Rename Method";"org.springframework.hateoas.mvc.TypeReferencesIntegrationTest.usesResourcesTypeReference()";"org.springframework.hateoas.mvc.TypeReferencesIntegrationTest.usesResourcesTypeReferenceWithHal()";"Rename Method public usesResourcesTypeReference() : void renamed to public usesResourcesTypeReferenceWithHal() : void in class org.springframework.hateoas.mvc.TypeReferencesIntegrationTest"
3;"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"3af698d92883c1bd66040a47e7216f1933850253";"Rename Method";"org.springframework.hateoas.mvc.TypeReferencesIntegrationTest.usesResourceTypeReference()";"org.springframework.hateoas.mvc.TypeReferencesIntegrationTest.usesResourceTypeReferenceWithHal()";"Rename Method public usesResourceTypeReference() : void renamed to public usesResourceTypeReferenceWithHal() : void in class org.springframework.hateoas.mvc.TypeReferencesIntegrationTest"
3;"d6e02857f1a0980f4dff3d57f5e9a58c8a467743";"3af698d92883c1bd66040a47e7216f1933850253";"Rename Method";"org.springframework.hateoas.hal.forms.HalFormsAffordanceModel.getPath()";"org.springframework.hateoas.hal.forms.HalFormsAffordanceModel.getURI()";"Rename Method public getPath() : String renamed to public getURI() : String in class org.springframework.hateoas.hal.forms.HalFormsAffordanceModel"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Class";"org.springframework.hateoas.hal.forms.HalFormsWebMvcTest";"org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest";"Rename Class org.springframework.hateoas.hal.forms.HalFormsWebMvcTest renamed to org.springframework.hateoas.hal.forms.HalFormsWebMvcIntegrationTest"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Class";"org.springframework.hateoas.hal.forms.HalFormsValidationTest";"org.springframework.hateoas.hal.forms.HalFormsValidationIntegrationTest";"Rename Class org.springframework.hateoas.hal.forms.HalFormsValidationTest renamed to org.springframework.hateoas.hal.forms.HalFormsValidationIntegrationTest"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Class";"org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTests";"org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTest";"Rename Class org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTests renamed to org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTest"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Class";"org.springframework.hateoas.hal.forms.HalFormsMessageConverterTest";"org.springframework.hateoas.hal.forms.HalFormsMessageConverterUnitTest";"Rename Class org.springframework.hateoas.hal.forms.HalFormsMessageConverterTest renamed to org.springframework.hateoas.hal.forms.HalFormsMessageConverterUnitTest"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Move Class";"org.springframework.hateoas.hal.forms.PagedResourcesMixin";"org.springframework.hateoas.hal.forms.Jackson2HalFormsModule.PagedResourcesMixin";"Move Class org.springframework.hateoas.hal.forms.PagedResourcesMixin moved to org.springframework.hateoas.hal.forms.Jackson2HalFormsModule.PagedResourcesMixin"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Move Class";"org.springframework.hateoas.hal.forms.ResourcesMixin";"org.springframework.hateoas.hal.forms.Jackson2HalFormsModule.ResourcesMixin";"Move Class org.springframework.hateoas.hal.forms.ResourcesMixin moved to org.springframework.hateoas.hal.forms.Jackson2HalFormsModule.ResourcesMixin"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Extract Interface";"org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTest.HighPriorityModelFactory";"org.springframework.hateoas.core.AffordanceModelFactory";"Extract Interface org.springframework.hateoas.core.AffordanceModelFactory from class org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTest.HighPriorityModelFactory"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Extract Interface";"org.springframework.hateoas.hal.forms.HalFormsAffordanceModelFactory";"org.springframework.hateoas.core.AffordanceModelFactory";"Extract Interface org.springframework.hateoas.core.AffordanceModelFactory from class org.springframework.hateoas.hal.forms.HalFormsAffordanceModelFactory"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Extract Interface";"org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTest.LowPriorityModelFactory";"org.springframework.hateoas.core.AffordanceModelFactory";"Extract Interface org.springframework.hateoas.core.AffordanceModelFactory from class org.springframework.hateoas.mvc.SpringMvcAffordanceBuilderUnitTest.LowPriorityModelFactory"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Method";"org.springframework.hateoas.hal.forms.HalFormsDocument.getTemplate()";"org.springframework.hateoas.hal.forms.HalFormsDocument.getDefaultTemplate()";"Rename Method public getTemplate() : HalFormsTemplate renamed to public getDefaultTemplate() : HalFormsTemplate in class org.springframework.hateoas.hal.forms.HalFormsDocument"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Method";"org.springframework.hateoas.core.AnnotationMappingDiscoverer.getRequestType(Class,Method)";"org.springframework.hateoas.core.AnnotationMappingDiscoverer.getRequestMethod(Class,Method)";"Rename Method public getRequestType(type Class, method Method) : String[] renamed to public getRequestMethod(type Class, method Method) : Collection in class org.springframework.hateoas.core.AnnotationMappingDiscoverer"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Method";"org.springframework.hateoas.Link.withAffordance(Affordance)";"org.springframework.hateoas.Link.withAffordances(List)";"Rename Method public withAffordance(affordance Affordance) : Link renamed to public withAffordances(affordances List) : Link in class org.springframework.hateoas.Link"
16;"092ceb987f76791f4bb42d152f4c7242cad6785e";"70448a854098343897fd99e3227b4a61db54b921";"Rename Method";"org.springframework.hateoas.Link.addAffordances(List)";"org.springframework.hateoas.Link.andAffordances(List)";"Rename Method public addAffordances(affordances List) : Link renamed to public andAffordances(affordances List) : Link in class org.springframework.hateoas.Link"
