"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
19;"41bfa1ad24bfc7d7c0c95cad49179c05ac996648";"159b3c2f602c006dfcf9bbe1a28254470af39338";"Extract Method";"io.undertow.websockets.jsr.ServerWebSocketContainer.deploymentComplete()";"io.undertow.websockets.jsr.ServerWebSocketContainer.validateDeployment()";"Extract Method public validateDeployment() : void extracted from public deploymentComplete() : void in class io.undertow.websockets.jsr.ServerWebSocketContainer"
27;"d87c54db18046987b314cd02044884f39d107d96";"846c98bef99167672518e4c9bb43fd234ad9a631";"Extract Method";"io.undertow.server.protocol.http2.Http2UpgradeHandler.handleRequest(HttpServerExchange)";"io.undertow.server.protocol.http2.Http2UpgradeHandler.handleUpgradeBody(HttpServerExchange,String,String)";"Extract Method private handleUpgradeBody(exchange HttpServerExchange, upgrade String, settings String) : void extracted from public handleRequest(exchange HttpServerExchange) : void in class io.undertow.server.protocol.http2.Http2UpgradeHandler"
59;"afc5507aa5cb14b95b1b109cd6b2edac92ba7710";"fd3af5d1981ce41ff61054d692d03236e4f214ab";"Extract Method";"io.undertow.servlet.handlers.security.ServletFormAuthenticationMechanism.storeInitialLocation(HttpServerExchange)";"io.undertow.servlet.handlers.security.ServletFormAuthenticationMechanism.storeInitialLocation(HttpServerExchange,byte[],int)";"Extract Method protected storeInitialLocation(exchange HttpServerExchange, bytes byte[], contentLength int) : void extracted from protected storeInitialLocation(exchange HttpServerExchange) : void in class io.undertow.servlet.handlers.security.ServletFormAuthenticationMechanism"
59;"afc5507aa5cb14b95b1b109cd6b2edac92ba7710";"fd3af5d1981ce41ff61054d692d03236e4f214ab";"Extract Method";"io.undertow.servlet.util.SavedRequest.trySaveRequest(HttpServerExchange)";"io.undertow.servlet.util.SavedRequest.getMaxBufferSizeToSave(HttpServerExchange)";"Extract Method public getMaxBufferSizeToSave(exchange HttpServerExchange) : int extracted from public trySaveRequest(exchange HttpServerExchange) : void in class io.undertow.servlet.util.SavedRequest"
59;"afc5507aa5cb14b95b1b109cd6b2edac92ba7710";"fd3af5d1981ce41ff61054d692d03236e4f214ab";"Extract Method";"io.undertow.servlet.util.SavedRequest.trySaveRequest(HttpServerExchange)";"io.undertow.servlet.util.SavedRequest.trySaveRequest(HttpServerExchange,byte[],int)";"Extract Method public trySaveRequest(exchange HttpServerExchange, buffer byte[], length int) : void extracted from public trySaveRequest(exchange HttpServerExchange) : void in class io.undertow.servlet.util.SavedRequest"
119;"0ed35ca7aec908006d8fe5a8c9976af65a36f920";"aff98b513b3853ef8928185da7d06cc25b92f748";"Rename Class";"io.undertow.websockets.jsr.test.annotated.EncodableObject.Decoder";"io.undertow.websockets.jsr.test.annotated.EncodableObject.TextDecoder";"Rename Class io.undertow.websockets.jsr.test.annotated.EncodableObject.Decoder renamed to io.undertow.websockets.jsr.test.annotated.EncodableObject.TextDecoder"
119;"0ed35ca7aec908006d8fe5a8c9976af65a36f920";"aff98b513b3853ef8928185da7d06cc25b92f748";"Rename Class";"io.undertow.websockets.jsr.test.annotated.EncodableObject.Encoder";"io.undertow.websockets.jsr.test.annotated.EncodableObject.TextEncoder";"Rename Class io.undertow.websockets.jsr.test.annotated.EncodableObject.Encoder renamed to io.undertow.websockets.jsr.test.annotated.EncodableObject.TextEncoder"
119;"0ed35ca7aec908006d8fe5a8c9976af65a36f920";"aff98b513b3853ef8928185da7d06cc25b92f748";"Rename Method";"io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testEncodingAndDecoding()";"io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testEncodingAndDecodingText()";"Rename Method public testEncodingAndDecoding() : void renamed to public testEncodingAndDecodingText() : void in class io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest"
119;"0ed35ca7aec908006d8fe5a8c9976af65a36f920";"aff98b513b3853ef8928185da7d06cc25b92f748";"Rename Method";"io.undertow.websockets.jsr.FrameHandler.createHandlerWrapper(Class,MessageHandler,boolean)";"io.undertow.websockets.jsr.FrameHandler.createHandlerWrappers(Class,MessageHandler,boolean)";"Rename Method protected createHandlerWrapper(type Class, handler MessageHandler, partialHandler boolean) : HandlerWrapper renamed to protected createHandlerWrappers(type Class, handler MessageHandler, partialHandler boolean) : List in class io.undertow.websockets.jsr.FrameHandler"
124;"5ec11dd4389d1a04757eb554f0073b5fe011976f";"946e98e4e46b31cfe7eb1d290a9596f76698c567";"Extract Method";"io.undertow.server.protocol.framed.AbstractFramedChannel.resumeReceives()";"io.undertow.server.protocol.framed.AbstractFramedChannel.doResume()";"Extract Method private doResume() : void extracted from public resumeReceives() : void in class io.undertow.server.protocol.framed.AbstractFramedChannel"
131;"6b00cd214975ce3c3512e1a2699cdfbf0b44d518";"e70e8a490926bdf05502338d4255bf8f483e78a6";"Extract Method";"io.undertow.servlet.handlers.ServletHandler.handleRequest(HttpServerExchange)";"io.undertow.servlet.core.ManagedServlet.handleUnavailableException(UnavailableException)";"Extract Method public handleUnavailableException(e UnavailableException) : void extracted from public handleRequest(exchange HttpServerExchange) : void in class io.undertow.servlet.handlers.ServletHandler"
131;"6b00cd214975ce3c3512e1a2699cdfbf0b44d518";"e70e8a490926bdf05502338d4255bf8f483e78a6";"Extract Method";"io.undertow.servlet.handlers.ServletHandler.handleRequest(HttpServerExchange)";"io.undertow.servlet.core.ManagedServlet.isTemporarilyUnavailable()";"Extract Method public isTemporarilyUnavailable() : boolean extracted from public handleRequest(exchange HttpServerExchange) : void in class io.undertow.servlet.handlers.ServletHandler"
131;"6b00cd214975ce3c3512e1a2699cdfbf0b44d518";"e70e8a490926bdf05502338d4255bf8f483e78a6";"Move Attribute";"io.undertow.servlet.handlers.ServletHandler.unavailableUntil";"io.undertow.servlet.core.ManagedServlet.unavailableUntil";"Move Attribute private unavailableUntil : long from class io.undertow.servlet.handlers.ServletHandler to class io.undertow.servlet.core.ManagedServlet"
136;"e39277ec565825ce4055dadd0edd85fd805d61a3";"1706a5f41adb8f1a719617ca8516ec6078cb1285";"Extract Method";"io.undertow.servlet.spec.ServletContextImpl.addServlet(String,String)";"io.undertow.servlet.spec.ServletContextImpl.addServlet(String,String,List)";"Extract Method public addServlet(servletName String, className String, wrappers List) : ServletRegistration.Dynamic extracted from public addServlet(servletName String, className String) : ServletRegistration.Dynamic in class io.undertow.servlet.spec.ServletContextImpl"
160;"08557449ea02406e8fdc6a976da972c7ea5d50aa";"d1a485fe41c85300706dbffd8a8c18c0e52ffb05";"Extract Method";"io.undertow.util.URLUtils.decode(String,String,boolean,StringBuilder)";"io.undertow.util.URLUtils.decode(String,String,boolean,boolean,StringBuilder)";"Extract Method public decode(s String, enc String, decodeSlash boolean, formEncoding boolean, buffer StringBuilder) : String extracted from public decode(s String, enc String, decodeSlash boolean, buffer StringBuilder) : String in class io.undertow.util.URLUtils"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Move Class";"io.undertow.server.handlers.proxy.ProxyHandler.Wrapper";"io.undertow.server.handlers.proxy.ProxyHandlerBuilder.Wrapper";"Move Class io.undertow.server.handlers.proxy.ProxyHandler.Wrapper moved to io.undertow.server.handlers.proxy.ProxyHandlerBuilder.Wrapper"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Move Method";"io.undertow.server.handlers.proxy.ProxyHandler.Builder.build(Map)";"io.undertow.server.handlers.proxy.ProxyHandlerBuilder.build(Map)";"Move Method public build(config Map) : HandlerWrapper from class io.undertow.server.handlers.proxy.ProxyHandler.Builder to public build(config Map) : HandlerWrapper from class io.undertow.server.handlers.proxy.ProxyHandlerBuilder"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Move Method";"io.undertow.server.handlers.proxy.ProxyHandler.Builder.defaultParameter()";"io.undertow.server.handlers.proxy.ProxyHandlerBuilder.defaultParameter()";"Move Method public defaultParameter() : String from class io.undertow.server.handlers.proxy.ProxyHandler.Builder to public defaultParameter() : String from class io.undertow.server.handlers.proxy.ProxyHandlerBuilder"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Move Method";"io.undertow.server.handlers.proxy.ProxyHandler.Builder.name()";"io.undertow.server.handlers.proxy.ProxyHandlerBuilder.name()";"Move Method public name() : String from class io.undertow.server.handlers.proxy.ProxyHandler.Builder to public name() : String from class io.undertow.server.handlers.proxy.ProxyHandlerBuilder"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Move Method";"io.undertow.server.handlers.proxy.ProxyHandler.Builder.parameters()";"io.undertow.server.handlers.proxy.ProxyHandlerBuilder.parameters()";"Move Method public parameters() : Map from class io.undertow.server.handlers.proxy.ProxyHandler.Builder to public parameters() : Map from class io.undertow.server.handlers.proxy.ProxyHandlerBuilder"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Move Method";"io.undertow.server.handlers.proxy.ProxyHandler.Builder.requiredParameters()";"io.undertow.server.handlers.proxy.ProxyHandlerBuilder.requiredParameters()";"Move Method public requiredParameters() : Set from class io.undertow.server.handlers.proxy.ProxyHandler.Builder to public requiredParameters() : Set from class io.undertow.server.handlers.proxy.ProxyHandlerBuilder"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancingProxyHTTP2ViaUpgradeTestCase.setup()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public setup() : void in class io.undertow.server.handlers.proxy.LoadBalancingProxyHTTP2ViaUpgradeTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.Handlers.proxyHandler(ProxyClient,int,HttpHandler)";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public proxyHandler(proxyClient ProxyClient, maxRequestTime int, next HttpHandler) : ProxyHandler in class io.undertow.Handlers"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancingProxyHttpsTestCase.setup()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public setup() : void in class io.undertow.server.handlers.proxy.LoadBalancingProxyHttpsTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.Handlers.proxyHandler(ProxyClient,HttpHandler)";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public proxyHandler(proxyClient ProxyClient, next HttpHandler) : ProxyHandler in class io.undertow.Handlers"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.Handlers.proxyHandler(ProxyClient)";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public proxyHandler(proxyClient ProxyClient) : ProxyHandler in class io.undertow.Handlers"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancingProxyTestCase.setup()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public setup() : void in class io.undertow.server.handlers.proxy.LoadBalancingProxyTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancerConnectionPoolingTestCase.before()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public before() : void in class io.undertow.server.handlers.proxy.LoadBalancerConnectionPoolingTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancingProxyWithCustomHostSelectorTestCase.setup()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public setup() : void in class io.undertow.server.handlers.proxy.LoadBalancingProxyWithCustomHostSelectorTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.examples.http2.Http2Server.main(String[])";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public main(args String[]) : void in class io.undertow.examples.http2.Http2Server"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancingProxyAJPTestCase.setup()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public setup() : void in class io.undertow.server.handlers.proxy.LoadBalancingProxyAJPTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.examples.reverseproxy.ReverseProxyServer.main(String[])";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public main(args String[]) : void in class io.undertow.examples.reverseproxy.ReverseProxyServer"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.LoadBalancingProxyHTTP2TestCase.setup()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public setup() : void in class io.undertow.server.handlers.proxy.LoadBalancingProxyHTTP2TestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.ProxyHandlerXForwardedForTestCase.setProxyHandler(boolean,boolean)";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from private setProxyHandler(rewriteHostHeader boolean, reuseXForwarded boolean) : void in class io.undertow.server.handlers.proxy.ProxyHandlerXForwardedForTestCase"
169;"b5e4969a7486a06f060e1eef47ff3c0b7d088788";"30188d8b7d9de374f2339301cad0f7ca08cb665f";"Extract Method";"io.undertow.server.handlers.proxy.mod_cluster.ModCluster.createProxyHandler()";"io.undertow.server.handlers.proxy.ProxyHandler.builder()";"Extract Method public builder() : Builder extracted from public createProxyHandler() : HttpHandler in class io.undertow.server.handlers.proxy.mod_cluster.ModCluster"
