"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
3;"61438dd5f35282f33569a0fe1270f47df505be7f";"ce24d8b9ca6367a5bf49e0b551a8450be1ffb273";"Move Method";"com.squareup.wire.WireCompiler.JavaFileWriter.call()";"com.squareup.wire.JavaFileWriter.call()";"Move Method public call() : Void from class com.squareup.wire.WireCompiler.JavaFileWriter to public call() : Void from class com.squareup.wire.JavaFileWriter"
3;"61438dd5f35282f33569a0fe1270f47df505be7f";"ce24d8b9ca6367a5bf49e0b551a8450be1ffb273";"Move Attribute";"com.squareup.wire.WireCompiler.JavaFileWriter.javaGenerator";"com.squareup.wire.JavaFileWriter.javaGenerator";"Move Attribute private javaGenerator : JavaGenerator from class com.squareup.wire.WireCompiler.JavaFileWriter to class com.squareup.wire.JavaFileWriter"
3;"61438dd5f35282f33569a0fe1270f47df505be7f";"ce24d8b9ca6367a5bf49e0b551a8450be1ffb273";"Move Attribute";"com.squareup.wire.WireCompiler.JavaFileWriter.queue";"com.squareup.wire.JavaFileWriter.queue";"Move Attribute private queue : ConcurrentLinkedQueue from class com.squareup.wire.WireCompiler.JavaFileWriter to class com.squareup.wire.JavaFileWriter"
8;"f7b91eac88ceb56f03e5404a8773e9ae6b0f88db";"0dbf50765df6f51878298dcc012ea8d8090fe8bd";"Extract Method";"com.squareup.wire.schema.internal.parser.FieldElement.toSchema()";"com.squareup.wire.schema.internal.Util.appendOptions(StringBuilder,List)";"Extract Method public appendOptions(builder StringBuilder, options List) : void extracted from public toSchema() : String in class com.squareup.wire.schema.internal.parser.FieldElement"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Move And Rename Class";"com.squareup.wire.schema.internal.parser.ProtoParser.OptionKindAndValue";"com.squareup.wire.schema.internal.parser.OptionReader.KindAndValue";"Move And Rename Class com.squareup.wire.schema.internal.parser.ProtoParser.OptionKindAndValue moved to com.squareup.wire.schema.internal.parser.OptionReader.KindAndValue"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Move Method";"com.squareup.wire.schema.internal.parser.ProtoParser.addToList(List,Object)";"com.squareup.wire.schema.internal.parser.OptionReader.addToList(List,Object)";"Move Method private addToList(list List, value Object) : void from class com.squareup.wire.schema.internal.parser.ProtoParser to private addToList(list List, value Object) : void from class com.squareup.wire.schema.internal.parser.OptionReader"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Move Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readList()";"com.squareup.wire.schema.internal.parser.OptionReader.readList()";"Move Method private readList() : List from class com.squareup.wire.schema.internal.parser.ProtoParser to private readList() : List from class com.squareup.wire.schema.internal.parser.OptionReader"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Move Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readMap(char,char,char)";"com.squareup.wire.schema.internal.parser.OptionReader.readMap(char,char,char)";"Move Method private readMap(openBrace char, closeBrace char, keyValueSeparator char) : Map from class com.squareup.wire.schema.internal.parser.ProtoParser to private readMap(openBrace char, closeBrace char, keyValueSeparator char) : Map from class com.squareup.wire.schema.internal.parser.OptionReader"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Move Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readOption(char)";"com.squareup.wire.schema.internal.parser.OptionReader.readOption(char)";"Move Method private readOption(keyValueSeparator char) : OptionElement from class com.squareup.wire.schema.internal.parser.ProtoParser to public readOption(keyValueSeparator char) : OptionElement from class com.squareup.wire.schema.internal.parser.OptionReader"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Move Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readKindAndValue()";"com.squareup.wire.schema.internal.parser.OptionReader.readKindAndValue()";"Move Method private readKindAndValue() : OptionKindAndValue from class com.squareup.wire.schema.internal.parser.ProtoParser to private readKindAndValue() : KindAndValue from class com.squareup.wire.schema.internal.parser.OptionReader"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Extract Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readField(Location,String,Field.Label,String)";"com.squareup.wire.schema.internal.parser.OptionReader.readOptions()";"Extract Method public readOptions() : ImmutableList extracted from private readField(location Location, documentation String, label Field.Label, type String) : FieldElement in class com.squareup.wire.schema.internal.parser.ProtoParser"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Extract Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readEnumConstant(String,Location,String)";"com.squareup.wire.schema.internal.parser.OptionReader.readOptions()";"Extract Method public readOptions() : ImmutableList extracted from private readEnumConstant(documentation String, location Location, label String) : EnumConstantElement in class com.squareup.wire.schema.internal.parser.ProtoParser"
11;"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";"Extract Method";"com.squareup.wire.schema.internal.parser.ProtoParser.readField(Location,String,Field.Label,String)";"com.squareup.wire.schema.internal.parser.ProtoParser.stripDefault(List)";"Extract Method private stripDefault(options List) : String extracted from private readField(location Location, documentation String, label Field.Label, type String) : FieldElement in class com.squareup.wire.schema.internal.parser.ProtoParser"
