"Commit";"PureRefactoring"
"df72c88c91a54f3d1d3af2e39499e6102e8e16d5";-1
"cb59fd8e61c05e25cad83c7b727c941a8273d4d1";-1
"fc382620affc0fedb79d726b6f0c4e4f9bced784";-1
"9eddb35c19dfcead0c83f0fb7d4708681ad3ad39";-1
"41f06eb3dab88d3bb5a0142226c860f14442aed1";-1
"0e65ac4da70c6ca5c67bb8418e67db914218042f";-1
"76ba12e3b211502c1a63416ceda828ea0fe4fb64";-1
"3f34467a1d3f29a772ff272232b935bd4dc6189e";-1
"d0e58cd333cc2663e552ea88798a9a5c27ad6b5f";-1
"46d1ba5f06bacee6546b6cdf9fc4ba25378a8526";-1
"faf1d7821d7317c73179b903f89ac7c876978ac7";-1
"9d8edc33e6dbb870885d64aa211aace607d47d62";-1
"aabe7d58c54d4ca0668a67c65064f6c8efdcbf6d";1
"97379640dd07ffed10078366f00f648887dbec94";1
"1ad15a40bdb8da824a35ab31038b3f996b4af315";1
"b8430e3c9c9fc10d5543fb500e1b562d920613f6";1
"b9daabfe8ab00c58c5c4da4061c265781f021d3e";1
"faca3a65220ab9e5c03d448a1bdece4bd4b34f80";1
"0efd44d7c9f43fd842737521540e457c065ec95d";1
"dd14b2247964031361e1c546cfbbce31a27f3295";0
"03cd67360ea7f1b70ebcce38eb7a38edbe023aa7";1
"7287342808788c099cfd136659b2d575edb092ee";1
"64be37747da6ad730ea1ae5ad027a316b1166c6e";1
"bc1513d338420833f7dc52df81ed1ba565d93e2b";1
"7b70a799a159fb3713118dcbeeb538a666fdaa14";-1
"3928961f461b6cb199bb4a0a6427cc88e4f6d53e";-1
"df6e482ff9bbcb75f2600406a3c37fda2aaf4634";-1
"bcae3a168524fa5710e4636f2cc93227afe27900";-1
"9e7fe83ecf6c03589e460ab7e7f30198fc608da2";-1
"baf2e5d372c9f28562e77146cea3bc9fee3f1a15";-1
"cdeef3b6240727c392d10429285b460b2da0c12b";-1
