"Commit";"PureRefactoring"
"c1ab4c8399ade0aa82fd16784e166b841560bba8";-1
"91bd7dfb33d45c2b07dc04d80f2bdb547211fd28";-1
"90f1887b4d07c836f8d30110edf19deec13dfc23";-1
"4d484ea6358fa4b1727c28203f2b654bdfa20823";-1
"f8cc907f24cc4df59e1d59f5058668fdd3649723";-1
"78d12ea0cf25c63c2a6860f283fb65c9eb204b15";-1
"2a0a065b24fde2106b9becbaa5782d47603ffcf2";-1
"fa79e4ece0c21e1159dc97927832ce7acd48f9ad";-1
"b6263964962fd2b6f4e7ce4fafb8271ee9b74b78";-1
"0ab35e744553914f2dda5a34b659b31c49058d41";-1
"243490773b9576beb7a1ee851365a2e470aa7b86";-1
"75b697a25c022b48d162e3003117184dca802bf5";-1
"b06eb02b6dfa180c618b935e40be7400fac205d2";-1
"8bb6d1e5253288ed657466f0b203da8fce66ad20";-1
"033855209e5620b8784d65d310aa2cb9cf1f9e92";-1
"4a454a4e9e33349408dfde5cacc407cfa4dfe1ae";-1
"becaae4554f31a505d9aea2a0342be202dd6c7a3";-1
"c3ef9ba0624a1e3253cc9b855c331a0fcd371417";-1
"f75f0e353a130d01fe40cf5dcb6921fa2cbf742a";-1
"f0bc58279d720b81f645216091f144c3db1fa885";-1
"579597aae937ea2f3523f35a89cba8c389944da9";-1
"dd0c82613ceaa388c739b936b3b80f3d92f4bf2a";1
"69dbe20cffd278746a1a43bee92393679d319dce";1
"31447dd1e23ba72c89be91f08be258c2cacd6c63";1
"3bb13c03db9366724be756b65004f111aead1c20";1
"e50be62d4fded7b335c5b7c9c1b98693b2432244";1
"aca80d3ed9a16c024e2504d9dc77be27d247549a";1
"075084c8a9c0685806cd9d2cbd6ec95cf5c99ef2";1
"c87c002cebb83dfc986843f0d55837e6561ddb93";1
"4f5abd131831b46dedf63938da7b9c51e0f9f487";0
"287f4d748dac529ebc5346dd4cd6215e03f1a8ec";1
"bc3424575c5b3c6c5bdae3f956fc8485f1689a6f";1
"5062bd142b417b9ea77d399e2300e11d4b1d2673";-1
"83289b1e45c691b93c735e2c36c1b9975f5dfb0a";1
"1571049ec04b1e7e6f082ed5ec071584e7200c12";1
"cd8c4d578a609bdd6395d3a8c49bfd19ed700dea";1
"b249a03a6f839f08af14a9b0d906146de26f5a39";1
"052a86a76efbcf779aaf9d4a06736dbe9ca4d9e0";1
"b0df3a82c7c7e2bc2c3075b5c9131128ea74b8f0";1
"c6830d37082cb47bbb29e3888fbe03f256567289";1
"1bb1f605488d72bb6b196fc0b7e0c56e4663d738";1
"f601f489002d5c985d44a92e8b3a79f222c13e4d";1
"ef57e116a79af9246afc42f267a1c89d47231a2c";0
"4cc0c8af7bc7d71ebdf1e335b610000f4b6b426a";1
"dcaa5ac3f979dfe86698f10c3d9bc761e3a7170e";1
"74a78beab794c601859534cc0f6dcf65eb45edc6";1
"173b8d53d47947df8a5c979c7f57a5fd8043644d";1
"5f6fbbdd37dc931363b1d74131a052c992f970db";-1
"66b64153e1c501bc95ea95de335510e096b709a9";1
"f97d66e5549af5c53e1bf4a549faadecac865dbe";1
"3f746b7afb823f874c5ccd8240020b2b2de4556b";1
"69612f0076dc7ff2c3a67ac87a62d93dd3111646";1
"a4c6c03ded43c1e026312cc34841741e9cc82402";1
"d47d5a7b0e1352b1333d3c6af554e266c15a4620";-1
"a6152f58a9332bc1bea64d6f54a11704f034269b";1
"688d1911e284fd9222b36beaf17b2557e38214cd";1
"9d486abbfafb011bdf59b0cf880745dcb76fede8";-1
"ea4777d8fb25311016925dc73a7531177807cd2a";1
"95d0e2494f8b1b834c90fcb549bb97f3cefe5cd3";1
"c2334a96cd04cba5937de8b1c94f087e787441fd";1
"ec91bff3311351ac50f9dbda2a70e07e59074d80";1
"1143d557d4341972ebe1c8c0b631720d378fd139";1
"e43c11f7caf5df1c0dc4564ce8d1ad492637600b";1
"e1e4a50f1fbce5ce28e67d51cbc1803236d5cdd5";1
"b5967fc5a14b9a733be43a4771175eace8a856bd";1
"8cfb7809dc8f34b6e2977bc6f00626a3938026dc";1
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";0
"64ca5eefb601d70a9298cf76fbd140cce9d590a0";1
"cfda5e022c3ca104d7748d199d1a76decc2c2fc9";1
"058b7f0e0e08d5504518ad6f4a0acceabbb9e73b";-1
"e6dce5b73e699a8ee330fb6c2f6ef8a36ce62016";1
"add7af4915412194d2975feeab7f5cc7be3e03ea";-1
"b5101d5e18d3fa68de4e8982cb94a681c0430d8b";1
"7c8d8d071e896fd317872642de16c197c6bfae30";1
