"Commit";"PureRefactoring"
"90d2bd03272d825f4751d3f2ee42ff22afcf879a";-1
"3185ffde5fea0b35af46eea79cbfc9f9c1689ad1";-1
"66b0e6069048a640b09c7768a1b2099cde849888";0
"bb37b5513ee9e0bdab6c92ae1e463c315d438505";0
"6de8cafeff58fb286fb151b3a4276796009e6e9d";-1
"5048a46112f804715c98005f3655f45570cf5c20";0
"9d4128cdeef03d1cd3e5a340a14cc5d801f212a3";1
"24422199448a652c3d4754e58140e5c743e312d7";1
"d6b14c00d08ea0deef2ddbd8b8550f47358373b4";0
"859e1bde2055a7ad11a90ab717902c561f5017ea";1
"903e1e65bb02226bb0d952c89fe32cd5460049c7";-1
"e9c88b84ee1dfd0e3d7b4fc39485e6608c924813";-1
"8c0177c9c29d4aa9f229897551df342c37bfc972";-1
"cd3238ac0c834d191e313a9caec47b6b17654378";-1
"4141ef43711fd5939e64c9de096734863c966c2f";-1
"a9a29cb63488748dedb08ebef044a324d4888ae7";-1
"2b79e064da56b539c8d84ed8b324f0e12027bdcb";-1
"871d72e719587ea48088abe98b0e6d8b05c228c4";-1
"18d935bc87b2ae76005d998e4887ae8fd8b58067";-1
"7b0f52823e81e388ea11ed4cdd282c8b385018cf";-1
"be0a506db517c1b52a984fe93fdf7a27e9e77638";-1
"9d13c38f8275464f1621e2d72210ece2afae9542";-1
"295e2f7b0dc190e31981245cc141a95ad0156db3";-1
"f8a62169975162e053b3ef2dc943630f663b04b7";-1
"bd8d902b948cd430b8b6c9a15ad9fcd705289e0e";-1
"5d96b245f2ad5ff3d75f2d46597d796da1fbf0f0";-1
"1e673722f3964145083685e936101857e36cd995";-1
"b2715bd7d29d420f4b37917149842ddd3a1a6286";-1
"90b54cf1a9752f443a993d30a4e540774d550c10";-1
"6df0b33ad3217b97ce2491ba93996f437eae7b79";-1
"fed14eb4a12e9b8036218ec68cfde6b5ba7068b4";-1
"3c17f6bd76d2c5fe778825de7d2ccc23f859fb54";-1
"f89909aef77f09810e367850dfe48f401bf6bfc1";-1
"582393863e227644c72985e3584b9fc498917d93";-1
