"Commit";"PureRefactoring"
"e0cdc9fc90fc4a9be5ecba8910790906fd126e38";1
"8776b40984a5537df0279df8b386eebb36e76f1b";1
"7e9e7f1dcff4a4a89945b8a10653867d37d5555c";1
"3a5e0e622c0e9dd7abad7aef42160da673588634";1
"7b06040294bcedc16dd4420c9fe8a26ab5e27800";1
"d5041e4617a345ec50677a44e87a2c673de7c7c1";1
"178eec981e80e20035dce59a1eeb5a626e758c24";1
"c058adc94dcd4715a5d458b3eadbaf2d7e7c1285";1
"b9683ab28e40e27d458b4aede71e0c159ea9b850";1
"529ea8a5a478c4505a58893e6a4d6cbdde360a92";1
"82b090a1c26d9ffb263bd3c6116267f4df1293cd";1
"74096354b59de72393e25c226013057e6bc42223";1
"f19a1a8873fab86ab7835608c0126fe5323a6f7e";1
"143363f282b3f86938295d6626ffb706db4a3c8c";1
"69c229b7611ff8c6a20ff2d4da917a68c1cde64a";1
"612d5546bb93ed005f1d1e7d6f70f7ca2943aacb";1
"0bb76e7ac971cf81d999bfd9399689ecb6baa63b";1
"894a09e40995ab99985763f1cdd1e05fed0fd18b";1
"cf702b39aaef36800cdbefa92d6ade002110c17b";1
"c053c57033d425e41df833592727aad05a30146f";1
"60bf0ba644b3d091c6a4816b6181fa43d8e837c8";1
"7ab0e6becfc4acf27783092945eb67d9fdb0474d";1
"37ff4430b6101570a2dc6be1a9b8c6f63959ae0f";1
"aa4182ce11db1bf745498547ae9074557943cfe0";1
"5b12d7ea2191db8f39545388dbd8f3650b9ba96a";1
"2f3928318842df97901b9ddac2ee1d66f69c7337";1
"0dbd1fbd23d99ceb54cbabc037ebe29e1aa046e0";1
"6a383865eadb16b922859c79ba7f3e92a030aeac";1
"3eeed40b05cdf9c804056ac246500a56f7d43bd0";1
"7c4f09e2e5225ff6364a25e1ac0989a2fd3a9a89";1
"c86cf5a2d76121ca673feeb7f113d8b26969c820";1
"3c0c1b74616dada7e9d22e45f94045d34da56a07";1
"628faa496f9c3a795e2702b322b326eb1a9221d6";1
"cd99be3474cd556fb86b4d5ce9a9f3d86cb30ed6";1
"d19b1f6fefdda1ceaedaa54148f0c971bbeb5162";1
"2e70bca465aae79dd6879faff0e187996952bc07";1
"90a96b450bd44042ee5a7700c171c7b0cabeb359";1
"e423f340ef99f2e2eb8d10842b4e13e1e174e9d3";1
"d1a5708b0d86bd9930748e5f937f97f2e2971e40";1
"0e3692ca67e29f7837db69fe09deb2fe5c0eb1d4";1
"ccd02a46e6ed4e1cb8459f08a652b11776625e3f";1
"3dc2f89c152d274998773f65e22a53a14b40f3d4";1
"c50d9ee8bff7adbc6a262691a7efb442a977bf8c";1
"4fa298cc0e682b3037865150842b9f6006e04a6d";1
"39ad0d5d3e4a0d89b837b84d3e8f2f2bf33e88af";1
"e6cc132f509ca2b3a675697b4db3f824bd916d5b";1
"020403d0d1ac5316b0434e8aa26e7099c488c10b";1
"d1fa446fb285fdd8d2787a47606c2b4ee031897e";1
"82df712b6e559dbfdc8c9e937c4890b2b008ca2b";1
"39e55f904dd56e8ca09bbcc4491496d5b67e8444";1
"0f30d9f25df50410c98f0543e8d95af5bf88b200";1
"c05557991108d62a35ed5e260750a0101e194ae1";1
"4b3e227431182fb95aa2daa81c12a38c9681fd21";1
"d1a42d81de62db59876e1f1b75d4b527af2d716b";1
"70c9ae9563522ae2b1a35faa444eee1a0b9b6ff6";1
"35f4684451a3021ffc6c3120c4d89775989ccfcf";1
"ce24d9cd009fbb0ae661075567427d04cd169882";1
"5eeb10aa130010234e1bf7b37f860a74abcd4a78";1
"40f2de03a2d6b9744d61ab6b10c2f445a3c990a2";1
"f709c66dd89606eedc1738eef7f767c64427c823";1
"aa56f81ac8781231009288bbe9d1f99f415067b7";1
"0ac0cc53ab583c73dc0afca7b63a80ba01c68838";1
"51d87a9adcb900203f83a66f18c0187960a0e200";1
"a43bea97638d1ad179d1ff94ffe777ab029fe0f9";1
"b1ce6adef5691b88b1ac50504f58fc68bc1af9cc";1
"11dbb9167946da3a626b60bbe19c70f4b0967a45";1
"3f4520063b9cfd351e9f70a070ca6eacc4048fa2";1
"add336c1cc60c8189b00d21dd1a7b3408bc4754d";1
"2e3d30f6624861d4e5c4107550975424e99322b2";1
"ecb8a54a7fefcc61123c418ad0aded4412a23d66";-1
"b31804c4a8fc393f953464fb23c0de7fd8c36323";1
"719f0ab363a77d190e068741a885a738342d308b";1
"60bf146432e6f258ae2e810cc46bc63f809bc5b8";1
"eb4aded5c7334ee48c4542173cd85e62c5e64fe7";1
"9872a700284f35855c3931fb3eee5c5462acdb04";1
"dd1f2b4d7e234f5f0df0affed47ff77deabdf362";1
"2b18132e73f8f8ecfe3a81cd3e3a4f7cedf0f33a";1
"f194f42cb52090e30022545fe9d9a188555f78c5";1
"d9e68f5c63cb813b7a9ac288a37d56ecb8a58cbf";1
"14f421fd7fd2bddc09d9276299342f11d63c8da6";1
"d4c5be127041e873548ee485d40179f9b0e94385";1
"57e4be99dfc0d7fd96b3bf8e4484741e4f727d18";1
"681b9e83f19d07145c109b30af4adc8cbf54bf8b";1
"50ed74c45668a7068c90440910d361329f126232";1
"239af27f458a4341740d509c41d10371075bc25d";1
"f019c6789e0ef0401e9de8d99d8aab0be226f987";1
"61ddbc66111c385b1fd6e3298d6961d087468784";1
"2efe42ff331219da6d9933908c78c81069452b94";1
"0fc0be8ede1d4e789e62610ccfa1e1e809b08636";-1
"cb5f72662e32a40a7dffe063153f35fc20513f40";1
"8d10a4b5a16ab4e5715cd9061c1a846762684e19";1
"add85795d1d3d2a078a3880302eec743bf31f4cc";1
"752286f0a72f12466feb5ed69a84b36c235ecc27";1
"2e32e02ac6ca5983596e175eae7d4a830ef07e42";1
"b05e08df81ecde9992dd6587ec20b5eb4a439507";1
"4ce017cc738152c6a6e40e05f15601048da9c133";1
"26b075f81b3a5f988b99dfe1161d5b64652d8163";1
"69b1500a42b0b7c3f5ebd5a0044157bf7f0e5281";1
"7a464b48043bd0540fe16a9e5c0d50b0caa80dca";1
"d20edc8e6ccc8235cd672bee13ffde8d7ba58b46";1
"c6c4888ffaf94ba42106283f68445430ee1c5e27";1
"616663ff5a43fc64475965ac9874343a117cfbac";1
"bb032aa378942f611b392cddef5a808b4df43042";1
"471e87379c5a496906b9b4d5dde5fc4ef86d8399";1
"21c5c5107f1a6203f6f92683dfcc407ff5f6427c";1
"2ac65a7c1f1f8ef4db119a21c23823a2e4b8107a";1
"38e07ebc05551517f4092b7fc040780dd83ff36e";-1
"e992a7a57c168e14ed3cea222b19eb2594fdd563";1
"078cb6807d5437ef497a33be8db72d1c390da7f9";1
"63d6a3a4362057371da782d3037ee9fa472c9af3";1
"450957b7f27f255e0d5721d0ae002a1c9eebc66c";1
"3ab25a084738d1babcc12477ab5252a4836c97a6";1
"8932aa93ffd1dd53f5ca4a9153e8e4921609b10d";1
"f7bae2abb4d1df82d3e222916f70732d58787163";1
"5259d129e0a9e9ee12f3bcc13607a9d49acd7285";1
"7a85a0450b5b415edd5833e997e52dec002a1060";1
"fcf7c2b3e4288f6dca5716aa2c8106ab9b56980f";1
"afceef6d842b10ef00babf044932f3f50c6bd604";1
"bc9a39b3b74e8e32d31aae5d0d03a995b11d5dbd";1
"8d604ad556a0d97a09eccc4b68dad211318ff93c";1
"cda4d3c4d6adce2bb70d795e3e2a9c25772d0d26";1
"7c7a800dd4ec56f0262e5f5533806a8aa52fdc4f";1
"7c3e7c05d7c0584bfedc51898f562a95a90db01f";1
"371a3d628595c7f75abe6bf2c88e9ebf9633a440";1
"a273b3d6043b95603cb99a9e544a58bd6fb56028";1
"5858066a95edabe170851dbb57e4c27fbc737cfc";1
"80bd409b175c3ffb568178292131be3d57e9fef4";1
"b858db1a7fe97ee124a832d10bd3a3dc67842526";1
"9f918cfffa85123cfeb4057d4272e6a4d613ac5a";1
"d7302a021e950b1cf6a0676f4c04ffbd1ba6efa0";1
"e129a7d5416f8773dc1b379644a5157a1286ac3b";1
"ed9cf469ccd6b3cc11a0d11eabfb4bba4e3c2f9d";1
"75ece67d6ad730cd8770b9173afc5432e6eceb70";1
"5d0036ce8e50d27a1ee0e3de64006ce42111f2ce";1
"26656c350c588d0650152edd895d3f8fc8c006f6";1
"12cd5582a206ded611903b0d2318dd4396994868";1
"3ac08ba9cb652159a4c614eea53c19fb51a6bf93";1
"0ec26702369def747bd2d91f3d6e0d0fa0ac4cf9";1
"7c251e2c786656ea785cdef635da8b64aae44640";1
"f343a04c2593f14d1e70daac3b0a4b877cbf0840";1
"07bc94cdf51c1b77cc3a7f2a95aba17ec75c6ca7";1
"6bc3e0015e26011b1678349a6235d4033fe9164e";1
"0b207598ca87d63ff5af81235adfb5dc72e6580b";1
"aafb5ef391157acfcbf3a65802140c7020989426";1
"4e433f48c72a30baa6582afb401e07fb66fbaa9f";1
"52b16995948c447753ee7a86acae9c02310b483d";1
"4728f5af5bda352b3f83043c7fcab50d249e5d44";1
"bfd866c1c1bcf33a42479f7a6faae7b39b0a78cc";1
"638d376860013782a744e084467bea0c70898ccc";1
"4378812bf1f8b9e4d0f66f902de7acb27ab2c416";1
"7032b59ac27a0236275902642ab823d3268e49d4";1
"0af096cdef9db85fbc2497e25549787527608532";1
"e93a88deb7a109f93d2797f595ca15ec64a42cbf";1
"dc39065e2acb2cefdc56b0d487adaaee6525cdeb";1
"da0424c2840e5028a14cb8a0f69c3fb435cde6cc";1
"a844ca720b4572ae74f452980af454d276eb51a7";1
"e91609ff37dcc11530ce4109daa46941c8c4b0d3";1
"661d7267269005a5ca45749bab6c41306e37a39a";1
"b4d023715f0a69debd5b33a91c949bb73cc408ff";1
"35eeac94221aaa013133d0a0959d94428851048f";1
"bb0f55c214a56ecef31bc49a3b7b62e605b8296c";1
"dddad38e97d32fedc7c0990e61ef48fabe7161d7";1
"42d6cfc28dd36d345e98d8eb1078f01d25bbe6cb";1
"448c0aa1ea9b3f0ca44f4f78b22c41a044c63400";1
"c1a5fb471b158c0262ecd0b53ae5afdea68a6a1b";1
"a39e3e76ca12969f16a82276051509326a6df98e";1
"3b47814869104f4bc11706c044b08ff615fd8c9f";1
"4744af3636b01012fb2ed6292a17f95e8a4ca26d";1
"169e261c75bb4810e12a329bd8631f43f19dfcec";1
"c4fea0d10cf16fc69cc400cb0c29b3090ebe47db";1
"d84127aeece9a70b5596d9bc200329f474665037";1
"e8b1f2dd4b2526ecf529f67feb9e6076d0b36c98";1
"388bf3eb030d0d36e6a3530f7885074fe04bbb8d";1
"5494af37be57a54ca5c1858ddfde6dd7d085e6e5";1
"20d96e01ab5311b487e21829bc9b410f7ece232e";1
"a077313062ccf1a52c76a12afd724080e8bc6c98";1
"9d834f0e8632504ee215b5fe94d7e1211204e805";1
"15b5340a4ce2c846f53fee4aff819f7c6ae1cf3a";1
"2129d0489a23ae85095cbde3e728f95dab29ee30";1
"6e12065fb5c2cd4b351074c508c886ca74f8921c";1
"fa33915755e2485bfe606f14f1fed339f4d5ee5a";1
"0a2e96a02ef50492f45f3afd7c9467a08b8b5a6e";1
"c06650ec0cb6b332e9cb2d4d8b28f6596c65189d";1
"dba1db9929d5cc79d6c6637e3292ccedba4a0e91";1
"4d3cfbdbd3523257ca6636c9ee78fbc316b0fcd0";1
"c500f5dacd76e77452a207e207fc6a3f125d70c9";0
"d3d57306208e1754c5f927918209114f2ba9aa78";1
"6882db51ae19f49ce7515ca58fc414da8dc4944c";1
"e9f6eaff2e23fe9fd65552216e77c78d7ed3fab5";1
"4f1160c3e38991661705866480c433e09568cea1";1
"ecd72596e3ba9f2ee45c3ec696165e70b67d7231";1
"07ee029f6a4347a4514daab06e8c3ff1cdba1be6";1
"5ba29c975610b667ab0e5c3ca178f6a55b8a477b";1
"22c8e99e13b63fac9664c0bd33c292d987ef953f";1
"a38291358deaa86044f8f48b8fd2873458764ef9";1
"c162c58c00fc8f12d1e7fcfc096fe7b19ae7ab0d";1
"b2753f6e2d69fc2a025dc6dc5ea4bc22c38c095c";1
"41052a9bf9be65f9ddf8f570b476bfe1f6065b01";1
"990f518d6dc20821965407936e7fe84c0402969b";1
"7507b375c7aaa300e38b0f88d5f36668d7be79ec";1
"0e86eb2fe1f8fac702139860acf15c7426b49358";1
"13548e8dd2ce3dea951d4af7158b90b169541e77";1
"c5c8c5ccaa8c09b8e4aaf5570c6437853f592894";1
"386ab34d6caf6be5ed2f396444a283732750ed56";1
"058479624e2e6ccc704e1f58311b0372fde4677f";1
"588384f4e051da293d07e1a373cab04956ef0354";1
"5bae3090aa3e96b460232d10a0773331dad32dbd";1
"c6cc4ef5aea75ddda69aa29d0794e060d76e7cf4";1
"cde6fd13963e660507aa8d5776324db251db48dd";1
"f1246283b55999328351f10dc094f4c814f1350e";1
"013803e17f93c4e6b0b7c3b052e204f5b03f1500";1
"ae1ed43541550ef84c95f9c63a01028f2cb4debd";1
"e0e3c3fea8a5c6cd924a2ea8174d11c8d18fda4c";1
"2433fb8d8fda093c8356df7f99527189db46e7b3";1
"1aa2fb348642aeb532bfc3f87f61a685530dbbcb";1
"dcebb96c06dd45218f25d9a4a1fe0bf0e7c309f2";1
"0f5935ab69b800d1442bd94d9e76ff9f845a53e1";1
"8d5f7a4855c2b31445b0da4d47b5b8a36065ed76";1
"e9336e8124f90e9128789331a8f993d249c072d6";1
"39b4727c9c24ec4b61b63d8fbc64c855a17e6e3f";1
"09ded6a3a291bac057e91ceea1a075b5aaf32f93";1
"1bf34b689c2e78e908c951b7a1547c20a7839e2e";1
"6386f4ce8c1d2f99cf109dcb5974873d9a26f306";1
"080347b35a180684e11f80991a5a1cde1ae2f590";1
"fc0e5656271a3bd003a273d06501ebfe2bf7fc4b";1
"ed510566afe90ae373fb6bd0c62b87c516582c90";1
"32879c61714d2affed9ff30b813a4cf760face52";1
"b76b546f0a429c0e4aa8fa5e48b0d4fec0d20567";1
"9f66d1f57121c43f9c32d407cfaafb63bccaf628";1
"4d6b0ec5c564eb5b0c9b577e0082c47f967375e8";1
"a2f4249945a3c5521dd82e6e0a52629426a707dc";1
"c3a5bb51b9b8744b61b98c12a24c5b030580791c";1
"350fc4b8cdefdddfa8c9de6b03e1c21087e163c5";1
"6e8aadc5d0baf3932fd83ffb91a9de3d40037973";1
"7cb9c50193f5cdd4c3143b264c2750cff489aa09";1
"8edce7ce4a862a6a7caae8c7dff992dc126c34fc";1
"67ff33e0bb039657efdeb38f766e3c5e9a36fd61";1
"0f7c71eb43d8fcbe206e301e246881ad0f8d05cd";1
"140aaf6e48e3a75b9a60d7cb08c856e3e8cff96a";1
"e204b7fb80bb2627de900c0d8070a7db5f4d9166";1
"2c2b384c6cff6c5ae7203c23bfacc9d0232a925c";1
"73b5dfb811363919a048aba84e99da3d841f8d2d";1
"235be9491d41c71da1e0ee2e0fac960be43b4f6e";1
"0ca7a414887c0f5e5f72e6442398962334d855ed";1
"4a861fb9740f38d8e66da011f082dbed1bf450f0";1
