"Commit";"PureRefactoring"
"2801269c7e47bd6e243612654a74cee809d20959";1
"3c45c9663e01fdec5e075ecdfe7877f2d39aa57a";1
"990be847fc886c403223cb62f7e28991b21d82e7";1
"26d5adf0a94562b5142e405b2e3eaa2415760c29";1
"403f421bfee5ab0ce3f48b3405fe01da6bce3099";1
"13d786b626c8ce8473a5e2c1fbf9a9b7c572b6f5";1
"489a6cfa6cd103fba07bd1ac769a09fd1e1c3129";1
"c182d8fff0c13d3083b922054521311c5bc8f03b";1
"75c04073d302e9aa651c36d258b9ef9e09b14ad0";1
"897a29769748fbb7eff9448e80a252472ad991c8";1
"3bab461414d81ca50b6258aba67b5661e4a8c430";1
"a4cc784d2de4a5dcfe56d32052e8fbdef3e37fe8";1
"1298b733241d737bee795fec0527e2c6a6ad4fe0";1
"159ad9e4e1ffeb052d70160f92c2d64c9a91d80a";1
"bfe15e122d2f8266ae94816f2cbc8d6ac97e7fea";1
"64db77506348ed485080add378541aa88e9a9204";1
"ad2fe128d96f29635d65fcd28b30b81264d45f06";1
"7ed0891df54fada847fca8800ef2bb92a75c77c6";1
"e2c5d153752ee2682aa836854e492206d25d95af";1
"4cf16336fa6c5e31dde5f4883b61d00124f86264";1
"62945c4c5c28d5235a3ff52521045160bcc5b9ae";1
"f11806cae6a0beac941fee4a17bcd2fa5c8da120";1
"ae5b9f3315c065e57b8d2d65825ddd8e6b4af0e7";1
"f07891c5e088398febbe131e305b4fea1dcfea49";1
"39fd77031f5df3ca48448ff69cf43a417d098f61";1
"c2d4f30d50c9538494b7242d778bc132df961cc1";1
"4aa05d480c8eb8f3a5be34a85488879d00a37462";1
"e9ccad0fa29f676a39cf9349d285d953fbe869b8";1
"593457f0bceaebd6f71a5b4254eb3e94d66171b7";1
"d54e49934f13d9a2fc9090cdc40659d82f020cb2";1
"d061fcd75910af101a956a0c499c5fda8b4e7ae2";1
"35ddf26291c0c4cff31c59782b54f666746044b2";1
"5ab200b12a56b16e9dca3e8b7819547f1490e1a3";1
"e53c553c0b1c68e6ce80b964849c291a9a5f59f3";1
"f59863c6078529745492d6722426306718f11e48";1
"eb2861e3221f72b097926641d0edd13324c03e72";1
"84907657178ef34785caec4704715b9a5f9a792f";1
