"Commit";"PureRefactoring"
"ca0e4297d891440d7f81d04ea14d4f77667128a8";1
"f2b2fd364e5ba67df6144a463dd4a7ff6abcef23";1
"afc25812e0a06f671ebfa2808d3a91e06a66a138";1
"fc6dabc6a07eee76dcce7b3124a69d69306f1102";1
"dd576fd4d7891903dec0770d203cdcdbee69d9cd";1
"34da456e9449207303098955d872897714dc8b45";1
"fc587f69e6a800253067e25875e3fb05ef83ba87";1
"e1b958323458920e6966ede3295ed2d6a230e338";1
"c6e471c27235fa3c091c6db1162c16291462a0ca";1
"19fd08e97b78b5a33149cd6338a2f5ef244a8d7f";1
"1bd057452353bdb2c343b9460d7b4e36f05f8f75";1
"ab51ea29a18d83de0a3b031bbeaa17b62cbba506";1
"e2005c8bd3b932a0e0afd1ba785f2e34bd4d9fa7";1
"910c5744d48df499a2c32addbccd26e999c6a66e";0
"aeec6eaf26f5dddbc1fd947604bb272b6940d22f";1
"0adf6694cb9006056a457511d8e9703d9b360682";1
"41ceadbe104848ecf35a4de16520c693e33e0359";1
"381bc57e248ac9a972cfa12315b55127ec979f86";1
"de85fc6f9ae287d4506de2bc79e3016f5b686527";1
"43309ab39801188a23dc905608b342c601061900";1
"2f2269fac15c5799078da7d9ae078437560c3c5d";1
"f51ef4c075357d1e835664a1e658864e2c19605b";1
"33435a02ad1d8b1a70b165559c73755c342ca7cd";1
"f5fb8e72eccfd5b5423d2be7e2f362c6ee8ecdaa";1
"d18446f8da47a778fa65b9c0ca77019740879a21";1
"da067cd627411116af86c4e5f4bb8d105eb75a40";1
"1bb63408d8fac51ebc41ea5f5829780c3f473c7a";1
"bd0c0accd4a60c3432434ec9fc09e839171d5187";1
"27b02a053506038ec37ff4db2e173f7fd50488db";1
"2398597ad87fd40d2738314edcdcfc6ea63407d1";1
"88ad3bd6506fab9efadd1be389b1554782009e22";1
"2d36e9437c1ea1b6d2293874cacfe9fa211745ab";1
"0e815f3e1339f91960c7c64ab395de6dd8ff9eec";1
"dc842204d2f3afaf058ab524abdbfcfe25019d13";1
"baf816e91ebede29aa81442c5855c7211576ddd1";1
"ec7752901d36a9c20bd7073e5130ece70bb6cb87";1
"5cbcd1ecb1776748b7647ca76f08a493a344ff99";1
"8e232b4a9e00e814dea785552566b90a221d95ea";1
"bd86de7b505465f7fbf2c3e5f0feac26fea42cb5";1
"71bc1619143458da19d14fe9406931a9b392ceb7";1
"3517b0728398372a5214807eba3b463b47eb9494";1
"26938a84a983439809f4f57c76712926dc0db9ec";1
"06384f12e682d84f6209712b042f9aaaa5811111";1
"8d8aae5e3a687f15eef94c49ca6fe75322c5924b";1
"fb863730574db368daae85607ebe0eed762c00b4";1
"b67c24c666a1e37ebc3d55acb67d5118870e8ffc";1
"8f014849b9b0ff0c6fc1b252e55eb62b2ff08caa";1
"fe0efce85cfa29c94b58279f07089da406f2fb15";1
"371efeea34b04e08367f07cae615fae20ae8a081";1
"3e4dae2c35f99d424f7a1a5f447ba36aced51aa1";1
"5e3b0ea7e359dff9dbda4a51296c1f00d0cd109e";1
"ec70898b6eec288a178e641cb6fe9c0faf489342";1
"18d44c120761ff0c8752afb02b94ab490957adc1";1
"ff3fe037eae117f66a1aab28a532dc4fdcf962e5";1
"83d32143ab5ac8f1b3ebcca98e1acc3001152e5d";1
"aee581bf5ef3287114ab93e7a1dfd9cd3bbc5b4b";1
"aef311d0c9c55b46cdbc5ea48d5ce42bd53b0800";1
"8cb76180578a18b6485ff40f12f5996210371913";1
"aa6dda966e63e12c076a65fff935c8da62708ffa";1
"f79d5d69303ac82c5827d4cf21f6acc93c33cf11";1
"f83316cfd4e8d3b76e63d55f9e07532054ba0be8";1
"97b099cb308e7547eb51b932353d161e91da8fe3";1
"60bf05b25c2aebc92d37f2d79ce71d55ad5fb530";1
"42ee9856a535df3939ae3d7e0577e7c0e80f1d3e";1
"70934e4efadb183eecd9a3e0f5f482314001dc1f";1
"cbf00f998d8bced87361e7a68cb3dcc3ed4b7350";1
"986f1b529dc3f3e10f70ea1ac693bee27dd011c6";1
"6cde34663496362285a378eee0d2565b9a3dad47";1
"2c6e62480d5f8a885f90003cfd2e7259576f68ba";1
"cb1fc970fe7cbff79296aa454418f2a0755850ce";1
"ddb2b109c010576c40a56f90ca72e0144e79e917";1
"1ac66dba2bbdb8fbe10c82992ccf2e3a9d1de155";1
"604cd43d891a98a6ecf3a94e8f7116a47a94ba29";1
"2edb1e9399c004116382be53e4c5fec7b38fd735";1
"b264984b31523b493946cb7f2f1aa90e14ddd572";1
"75ba067df11c50376b4da48427cd3c2dbba23112";1
"b35942e757173a411a002639a7631c8d64e67578";1
"3894ffeedecc01847f438670ab679cdfc2dc0db2";1
"99c3efa1a873a1ee12561949744d2fa91ac44bc0";1
"1218e56872a6668060c463ba51b4cc5f7c6582a9";1
"2c84c2b9cf72ebd621202ad93d51eb1155fd28c7";1
"5db1d0cbec819aaee6922b481cfd139ea16cc816";1
"97f14d5240ae9e0bf4f63a730ba4ab160557d012";1
"334c22dbc1db7efafddf9afdf9d15a8916ee930a";1
"2ea37877049ac797bd55dfaaad2d814b70aa89b6";1
"5db40e6bcb9481eb85ec4afc6af280731bf9df36";1
"b750f2b70da13a5d611d562ce3fd075c5c749318";1
"af64ab2ba97b7e95ac543391c004c38478baf82b";1
"10c07317c03d62168391cbc10b4d0ce64f4a7f94";1
"e0c11e65ca8a47dca4e98a93ffe31a9fe3df88d4";1
"c47cee5c292838518d786fb3db213de2d2372caf";1
"ea0c6224bcfbeeeeac7046a023fb3a57b13601d4";1
"610ae9af4a7274b0939812d1809d036062dec25e";1
