"Commit";"PureRefactoring"
"b2d77411ae4a43ddd2386c4a1db5e0191790acf6";1
"60752aab7f8c3ce2b1fd57e232c7305adfb6200a";1
"5c418ff33ad704d0596c631dad9e082c4b2076ca";1
"448ae1c06150d4fd62939b5a31f38c03d9a33c7c";1
"c9621e30ba79b20322f449e24a2f438918ce33fa";1
"18c67ca3c221cf2961d59ac19a245762f4dd8f7d";1
"f5b685efa09b539b1f95925405723f7ac7b1dcea";1
"2117d1dbba8f18b08da70e890c30111edb3aebe3";1
"a15675cae4c91d0fe0496a879de4242ffbc5f9ce";1
"72562004cfa5106472f61efc5d456788bbc256f9";1
"b0262f8c81c352c0cf3ac11e1e98646aa9587944";1
"28cbe037cf9299ed6a089cc78039d0a16d0116ce";1
"faf339206c5611651d4dfb38af0bf638caba6c74";1
"3793c9ef69993bf4b180b6f6b15bb2a5edde5530";1
"51f09376456ed8dadc2e801afaa495863fd7ee3b";1
"b5a63d8162d8756e4ae73b80ff125439a1b47613";1
"916763e747b0f2d3bf2dcda76100dbc0d5714a9c";1
"6256a761d61a5b27a05878da2449ce8537d60c99";1
"9b6d6f9f6f91c5d6a8a153635f7e5f3c52a1f4f2";1
"fd61fdad30c073f5b2576d1dc65452c5e4dac657";1
"b90b59d2b5064782c501dfca5a1497f1ef513a6a";1
"77ae12e00e6e0b4955949bc71e9b275bd6d70538";1
"97e26e65f0ca669926c9c8ddc05f19da76180ab5";1
"cc2fa8a4b8f4508dcc05044f97acac50dd49259b";1
"fafecee712bc9b2ce8ef081d8170cdf99c48288b";1
"ca36f1d499a70b1aee85ac637de53f153a9f4c92";1
"b735f02bde1ed684eb0d0db2ec125d26d103aced";1
"5b0cd0e0a2ddbf722b6140d28474295c8376e561";1
"47da751824e9a58cd51fe6b77acdfba566a8df79";1
"6f5a457fa93ac8b53cc77afd0eb8729f1e5665af";1
"03ade425dd5a65d3a713d5e7d85aa7605956fbd2";1
"3b7c68e54a76d02ae721161b1b81c15c2e22e44a";1
"d7e4bde11fdbfdef13e9316702c914e749a7757f";1
"add1d4f07c925b8a9044cb3aa5bb4abdeaf49fc7";1
"17355f55811be1b1392c3ca066fb9adf803846d3";1
"5d0b81ac42ab0de80bb68b87c7d1c1dd710f1108";1
"63b8c412fbe731c7fc0a9d7dceb92ae955b553ae";1
"931569d5816a520a9f67844eca296e24140bd259";1
"8af7670c3afb4924b2603712c1532925ce8b89fa";1
"dc4d9a2a7f5d2e40fc1e28c3b8da011306d7dccc";1
"5def2380c35c4b42faf4fe30b7b81910a963d919";1
"7f2d58445e2353a1a42fbb4282ed5cad724186b5";1
"fda1bb3820ac574ed5d59cb779171e313798336d";1
"bad44d4723e42dd74e0052378d32faa463842d2e";1
"54a1a8dedbd4af64ca8079da69878f89a69d9e5b";1
"d32c429a1d475b322b3fe44738f0cc8f30a97b48";1
"7c61dcf4abaa422637a68839bf0d547a164375a3";1
"f43f450093876ba8ae164681789cad0e6ea4b68e";1
"4485e563a6582afb1c848ea80888fdad50ada516";1
"5adca63deca25d84f4fdea053c35a85efc8bbb3d";1
"b914fec7e2bc669c20531ae7c2fbf340f8de9a8e";1
"ce97134d253c4e9fca48b7cede2048e60f36ff79";1
"969a488183a42dedbde8dcec7ac00595a836974c";1
"02d9e6c2533a3cd108f5e6feaf40f26e95deb64c";1
"f31e9a328d3b4f10906a10a8e69d2ae515e3aba0";1
"61cb37ecd50b0d9400873624e46692c3282e4cfc";1
"4a133f5766c09362917e0416af503c0a00b24e87";1
"535a333b7776f7a229b76c7656e928d8a21d21bc";1
"9cedc7d76f2bbe52b3d1cc4caf8024e730266f83";1
"2a7ea8b8389c103b03df961f8d6a9b5571caa991";1
"400b7706ab28f138923e6db5b31fda28f1458917";1
"61cd43b19f55bf15dfb07f8cb5c785a357660a0e";1
"dd47ce6abdf01adc3584d6e7e0d41c6749d02d30";1
"bd4127b76ac058b34318d848cf00f5b8bef34a6c";1
"beca35e450c6103bf1020bdc1a13ee7b87624b5d";1
"9a232d185eb97a523359e2e2e73a869a4af15a85";1
"62f9fd3fd3c13c8387e7448c4f3ea6b8f65b8a8c";1
"1cd1f347f0e3d126f6568f0a246c0dce1de20122";1
"5542c8a4f819cc6cb79ffd14fbcaa4722e25fa55";1
"13d84663bc4eedb2e9e4035af75622b0a3cb480e";1
"7cc54575d867e37a43020df309a78cd65c3fbdc0";1
"d1a061e1a5382a12d03407d6bb1c19801fcc7fb1";1
"cdb49fd5f76027a4a66930e6b266ba79266c9852";-1
"3a20c5597c4f7ca67421eb39fd426cc8b0cbef2d";-1
"a95066cd06bdf4ed238e0bef304f28856817d9c9";-1
"e26b51e0dc416fe026734b7079441baeefc33247";-1
"af21be3b77c10a27e7598d358a6162550b5cb6de";-1
"96968fdcadb1f87017c6e7853c4a63ba065c6611";-1
"7d0e006992574973bbd732373af32462393f00b5";-1
"d419f8f4f84723e1eadce96168414de9f3ce5677";-1
"218f60236ff174852ce91384256d722d2ad48cf8";-1
"d31949a11d184f337fa1287f0c2b8f769bae82fd";-1
"6c0917ab17cd65d51e0d5315489d5d43bb9a8133";-1
"d97b396654d476fb7e9c7d15d71d3553f1c48083";-1
"efe6bf3d6ece4bedfd0ab0ba649bcc558d1b0c80";-1
"4b01c88e4c6d72d72234a069bed856dd49737112";-1
"c2af20485a2acf3bff5175ba79981382236942f4";-1
"49dbdf72ee486c9f35992f7c95e2eae9a1c2efa1";-1
"8fbade6a7801afd6065007473585d9d2a761818a";-1
"89445670eee21e38c0dadde4753310adae14b964";-1
"8f89bd85a03a1fec25e21e334631931f69078040";-1
"1eaddd183259047476893a014fb24e44fc549531";-1
"90f3116e38f7ba54b654345ef2774aa2a99412e8";-1
"8811165e85ae2db442e34f1021db29f4dfcc8430";-1
"fd9690a05de75707de59f5c44d56373bed500819";-1
"afb3ecce139ab7c4037602ad143b5e6424dc48a2";-1
"4b0f52cc8e8841b64ac970733c1ef5dcd0ad4c18";-1
"c5a87d16119c7e9a9f2af80a5534c4fe37605dd3";-1
"903302d12fb2af7788a8745af1bd05003ee985dd";-1
"75b3112661c0900d7447d8ad56647b3e73ec0a24";-1
"158c0b1180fa8f01bffd119df49b982fdda22771";-1
"b77acf2ef54d14b1566e2e471178f1f235130911";-1
"db077ec209ddc22946fb6060609d5a6529682356";-1
"228edbbd798f7718a5a7ccbcfd35c22e812be761";-1
"96fd05385199460bb731270e8dc42a5408175ab9";-1
