"Commit";"PureRefactoring"
"d3827917ba512d010d87f304c211bc14edb2f4b6";1
"aa7c620258c944ecc8ce41bc87d43013167d8f16";1
"de7e12ba9022774cb31828d1d1d8d5be147e943d";1
"8261295895d7ba9af5f08cf9f745a8535a0c9f37";1
"6c4f3362066a9070b9cb71082e27d781899d708f";1
"a66cd6dab40c87dcd98d4ef3735c8a286150842e";1
"6c323d2073ff4d9b8f72bdb8fcb5317ed969d3f0";1
"1d422d1df5815ede2cae0fc5abe01d4b2d294b45";1
"a6485cb8591168867a6150f57e360e10322d3da3";1
"808a392dcacdacc04577297e175a5453b5d3e451";1
"76845dc9888ea673b83c7c9dbb1db956804d6c1e";1
"de96d4dcb8f9b116ad4d4c68e5c83c27f068337e";1
"88b63d44f6ac51bfc7ee35060ca8400d48979ac6";1
"c46c53f037f3012006a5797dfe50f3e2f5a1767e";1
"2a714a9c6d736dc7f1cb42cc22797fa5a133b176";1
"a70f9b83c65095f71314b2a681740fa771fdf0de";1
"9cd9e121314978a5e32cbdb7fa79543e40b2e8cc";1
"cd533622e0e672900fc3a30a8562a6e20d4036e4";1
"2cbad5bd89f6bfdbb4c275cc90852467c21c5174";1
"18e6aca21c0ee07f265e9a1f205c23f85e3f9b57";1
"76c0242b9117de1c6a8c0c797d4fd9d88bd9e01f";1
"976612f0b42913ae84c98f4310aaff948786085e";1
"8e9afe2d7fda6be0446eff5ae6609a1ffa678b59";1
"084193291df80b4f75aacd2e582d1f0d11a4f59c";1
"ec28b7a4032d74aa4a84a032bfa1e0998b92dd0e";1
"57f177c64c17d9b9891553b7c318894ae7721905";1
"9cb91b40ace1047fd2c95fbfa1275c97e7b4c18e";1
"c73f6b9060791e4a48b7be2e822bcb0331bba89f";1
"436c155f294d2af39c24a7031fc62ac04de7a479";1
"7fea4c9d5ee97d4a61ad985cadc9c5c0ab2db780";1
"601d7dcfb1dfdd5d23941328a8d2dd5e33c000a3";1
"ed027faa7259ddcd2a6481ddb5cacb010ce1b536";1
"f6e90c90bc823ab932a84d3093ab0b9e22d52fde";1
"41a8d3bde3c298a1f89f0383a0a9dbe67d9be061";1
"a94b6b19b476395089c04a44913557c67b97f3f9";1
"88900d66db0ed9d487625b87ba134bab9555cfbb";1
"cfdc74a0e33255b810606098971983b1b0fb428f";1
"5ffc32396e24750683ea734dbd38064cd72305ec";1
"ed346c69b54c2e45b1a30efac589aacebc3cc7c4";-1
"386330ed38735b0ea804e0c0a3ea24badb719a58";1
"40f08ae221447a35d5651f2a6a337f34d781caf7";-1
"c26864dab33a09fc452343de0225a9dc8bcfb6cd";-1
"8694616b68a1f6c43a133bfcf8c37112d10a75b2";-1
"e4c51add05251ef6e44256f1b0eed6d32846e765";1
"3d7964b3462381d297ba3dd8d4c590c509292991";1
"54bca75447c3836c3742452484f6cf0bfccca39e";1
"baee0015a9b2bdecdc5623f2e5979bbb345f24aa";1
"bff40e212677cb32bdf50731c5d14938180cef56";1
"1222177eb7cfeb4d98118eb058a3bfe4305a4307";1
"4b1e4534c8155ded452c0df7e1c7aedbff39385b";1
"117f4ebb221a69f37eaadb89c60cbb7c8a4dc095";1
"bfd6058e2ca812994856b5419319cff9f68e19b4";1
"244c44416ce27bc2f29b58dc850b5480d627c753";1
"3d0b6474193587f9909dc4b242f1fe9d5500c540";1
"cb63f48645bd21efcaf4d8568cd809b197b6b21b";1
"52551e49452bea7b51e1c719c0090702663c69de";-1
"3b5ab8b82dc4e317d0327547041ae900f1cb2fcf";-1
"feef5aac7b12b060b58cdcd29d06557ea0cc3a37";1
"43693a05c3180b11f168c8fbd36a58b099e29aee";1
"945402d0802eb5599240a5a2edd5f463427de9a2";1
"034be4952570e523a4e8db8e16cf8144660e6de7";1
"c7f862ee5e62f1aa486c05d72091f8014522c1ea";1
"8f97bc92617cba2a2b548c2b22fb813e9f1fa3f4";1
"e160ed9214497ff3df493d39c81a292bddabc589";1
"32852023615592b8ade2cd3963ac77b4e0f1dea9";1
"f3afa8956ad73ce0f8b55f8d570e3b8d053b17d4";1
"8874287e72d93f81632d46a93e35802663457d33";1
"3f03f7bddf64c4fdaa813c0230bc6f43603b60a7";-1
"c55ea05222f25324ed1a0924bba322d9803871e2";1
"5dc258e458b906d2f80d9b653900526e98fd5c01";1
"49f7792aa1acd53ad5d967f0874ba92a4bd65b60";1
"2aa6e20f74958ba28dc2f895801055b3278ffbbc";1
"5140f433782fcc42bfa5172928687e8f77d5b1bc";1
"f55036494b8a32f671476a61a46265113ee28ba0";-1
"e317a60f336ab73bf95b7c944b00219c8d2e73f7";-1
"b9919d16e7653e35b095cbc1f7c1e004f02a589a";-1
"ebaba77fcabcd3bf98c052af9f41acfe8abb016d";-1
"383979d5b4c71710295f3b3d2afdf1827d4c6c4c";-1
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";0
"eb26805e5e6bd6f13cb85ab006d9bfcffba2c224";1
"1ea316cfcaa5e3d395d0f7a817e8ee1c280f8b28";1
"926ea9421d7748e91ebd3c00267d237772cfc5ed";1
"f157312971605c59f277afb73e5dfd27d24d912f";1
"1b67b413201ed06360830080d6d03a3c7ff46925";1
"9557d54b9522ae222a8c741491c78d1e6eb03b53";1
"beea05d291075072c9e98f56d02e2c67ecc3937b";1
"d2804cbb620b13ada44ee4c70ee256a8fa5956ca";-1
"c46395ebb15edafa30d98a66937989fbcd64a9ff";1
"2da121af30e7567467c9b01bd7a93f2a03241c51";1
"54d2ac21a935287d372f2d18b7aea724a751aab3";1
"3b7cd970dd513448240ab083c55101d22712dfff";1
"94851f4956eadfa411a331d1f0d4b366e5101baf";1
"9a142daa65bd38aa0554c5ff7cfef1e7ba2dd5a4";1
"b1301cabb602ddc27cdd33fa97cfccc6d3d699a1";1
"6ae1d6d800ff4eec085b4fbc9fe7a8f4115ab0b0";1
"912479ce70866ae0639b51e417af277b2f296228";1
"2b93402e9c941f8cafa032755584ab4b24064b5a";1
"21f941043a6ef5f96740200f430833e9c22aa104";1
"6ea03c34fd6e12735a4186f9ea9d058f021ae615";1
"d47743d6dcee79b28d1f27efd0e711f0f4e7f090";1
"e8ff4e774824e131f16818de501885fe7bc886eb";1
"5ee976d9cab4798cb48ba4dc574a91b5bff8ffd0";1
"fdf91979cc1b9edd362d60024cd4692286cf8f66";1
"04c704bf8b03ae1afe4de7a1383afdd0e1fd84f9";-1
"92bbc0f7403de82b2acf4dcf0d254d4561dadcf5";1
"f49f194a49ff330f6ebaa5d341e400f0c5529b37";1
"92381cfd249271e1b0dcb7c8775d1953e1211ef5";1
"d7f4568c0e65bf375fca79f69fc539b923522042";1
"5f37bcddd9e8494b0465793e4f9fd1dd3d446f3f";1
"c964c5242442d1781cb2ae77a748f0d2820cb5c0";1
"bfc2ffa2142acbef2186a2bf550b32c5bf7e2558";1
"c9f5a6762e2ae9b811fe410555680a2b3a4c5ee6";1
"2e4c7fac760944dffc3cfd19b06f09306e5c23af";1
"db84f83752caf18b464663bdda36ff4378182d8c";1
"5a61fa86faa63d1b0a0252886a6638f26e543d5f";1
"f9276f3d10e20c9ec7bf5a628390d253680688a2";1
"c541410a4da3f0dbcc15d169fc4883dc719d9c41";1
"3a1953bb230727963e9a77d58ae09877206a31f8";1
"998c497ea77951f504cfca300c99856194ce53d9";1
"50ce9ccdc62e9d8eda613b16f8bc5cf375b900d7";1
"e3e455a4e4c0d4b09e55d191e2dc852c8f21208f";1
"958e172db8459c17778197a00cc129ab08cf95f6";1
"3340b2416d1123f6d6fff80de3bbae1437c04ff0";1
"d6c0a4dc1e953d19e773f86a56c925a6dbffb0ae";1
"f1317a82f3a2468da3316233fe0a4693c90a2e6b";1
"1a249101dadf905c38cef1190aab1df97399a340";1
"c9ca3f63e18203a61473f34a90d573d427b4c287";1
"26bb3184ebe030725e75d3180f211084e7e5f853";1
"c7b7903eec64ab6118ce4ad273ab5481d608080e";1
"19bd6dcda8a492731bb5ba0374612966a76e11dd";1
"fb11573760ca485dadaaebac2f741f40d4d31f9f";1
"8ea6f5579ca5d97673376688e9d705968c724bce";1
"0ebd7f4593b8e298af19bad4a611125a080336e5";1
"fa4c67e26c1022789e3cb29628a208e8b2420f01";1
"9b334aa895666da454b860871220ca4f4b739cdb";1
"c4fe1552de12d5478be4940a4b09c17f91bb1e00";1
"8f15a8816471ec7f5924efdc6a0837e1ecfd8f69";1
"de94e527b2bbc05d566fd5839a1d9e82477a7cf0";1
"41d4a5c233fbab3768ca4c416be00b4f075fc15b";1
"f4e73893e912d9e256bf5365a8a54cd94a66f655";1
"fb3758f4d98897f606c66d47d7106771c4d66da2";1
"4605f74cb40f2f1dc71b632e4504a824e9f56b1c";1
"e8047425e979cc994e9546f0ce91836c007c68a8";1
"2535f35f358b900e889c9936edb1592615c868b2";1
"93d83c47f136a0d601300566b73d6d2ad5df8e62";1
"e58c453467409e8d1832b315b89d47e8caba42d4";1
"5bd862b7c1fadc89a9ed25febf7a3d55ad1fc210";1
"7c83871972949f007a4e56dbf16fd88aadad6cb2";1
"3de0e5105f2c6a708d0e33405e9f9675570d50b3";1
"02d256f5427a7e7d9d88a14c6d01d28a6526fb24";1
"83eda0ac7fbd44e7ca729b54a3e390cc158a15cf";1
"e75979b42322dd15f29e5e52bc07ff23507d8d35";1
"2f20098b631c71db61d98566c3c3cc5b9613c5f4";1
"906dc2eeca8e9263b145df6ed4d95fd7bc2ad40f";1
"a34b5897709abb4e69a1c7ee4a1460f38927c88f";1
"09b2221ee02bff9096f72eacad4d272779f7ab41";1
"8255699d175b6bccdd7a473cf65cfef6a8a3fe75";1
"a404683a2c0b80ef40f1de93235709c89b98df1c";1
"36603fef339d65778c4e347717aba0369adcec04";1
"9a83c92d19a06b170827e033da1d87b033733d6e";-1
"70f3c31360eed4b9d81add28ec2356252d3eb837";1
"2b202953eeeb334c3801df2610dbd43c5cefea63";1
"a4aa9f9e314a1457c04adf2fbaae1905a83bb5dd";1
"0a435a0a6d18d6b983dae8c421d2322374be94cd";1
