"Commit";"PureRefactoring"
"4393c6655dd2ec8a318850068fc15f4eadda9578";1
"a5faa1e8982c9f3f720a380dc5c18458b6c9d105";1
"f1aea032c7e3afc8a83cdb8eac6ef1ec41dc3f2c";1
"45f1ed5c6dc62b5491aac4966215386205081105";1
"4978a96763c67b88840859cac88c15949ebe4272";1
"8859c5c507bf62b7c4621e75d5797487ee31fa25";0
"5f0b263b58e2e2df33a5f35f2a1531b616982010";0
"3afbf1b888d3fb0be6c77c133e06613c17cabb82";1
"5f51f050ef980c0b6b5c944895c81a9c08f98445";0
"09776de8bc994685a38be21f89f810f9d2c31752";0
"d6aa61fb180a5e3d19a59cb2b4535a3cfa9381ea";0
"5b09ab29b8ce4badec2baf3f45969468535863fe";0
"6839288b3db54ed0e79e406c0172aac1ccce0acf";1
"d47315339c10d79f12b1403de9043a1fc95cc4ce";1
"2ba921ad34420f16bc8f2a221b2ee4e7565ea156";0
"f1caf27e4463b3d346740849c4bfb43427482595";1
"806aabd9e896c75f9889b895a4e8a6c8a2b594bc";1
"8bccb65135874358c68e30b6bec21e7ba12a7b8e";1
"512d3c8447c8dd1384bec982a16d4524dbce2b85";1
"4fab1e5a25b452320cadcf39018bded19ba8d731";1
"b612787b5996d17cbc66218ebaadb5ad777718b4";1
"26090eb69aa04417545c3a67529ea3b944b1a05e";1
"b226696a7519d405c54dd72f2e061b34c42a3253";1
"569f5e7be17407fb2df5dc7f756780d6b5ff0ea6";1
"9ab29ac6476940ca098c63b84dcbfb72a929df93";1
"aaef0715c14e0616f74cadfcd67bd3279a595559";1
"1c4886b6ac9cff4bd4fbe1beb230378ebe24e434";0
"4d3d4a3671da3f8360e9b76005669818019f00d0";1
"08dd11f6dbff5048b0fbd8ee5227a598c803a26f";-1
"6c9e6b050943698bf0db66df820a19085d698876";1
"96f749f87f00c1e80f9b3c27fda8d0be9028a3e0";0
"6ca79eedc27b2d08bae45bbeea9387a74272ff16";1
