"Commit";"PureRefactoring"
"df040537f47c8bf51ed66d16007c2a3f9f1bb802";1
"85a31bafec147591ce5c74f08bfd9243ceff9193";1
"9b60c4088b221c3b566d0cdd777e045c86960642";0
"6a8639fb133fe22fa414b7d91bb92940acdd7112";1
"6c3e6d2e5752af2cd22f4fc56ae83c5282e5d4c6";1
"05325b21dc8144b9b825f89bee024d7b283b4d47";1
"d05290da0ed62db680a1d0dfeb246f50f6f3254a";0
"a1216b952bbb8ced498e7969d5c2a51d54108314";-1
"46f674dd4c1960d6df3400bf1d3c88a200be04c7";1
"52785df5f053747f9c8cc492b2e7a8090eda332d";1
"9d2568ccc102a9f479d1dc446fc45cec78cca577";1
"5579c0e9762328ca70f61cfc2659af1385f6f374";1
"6a933f14f4db03abd32b373cb982fce9baf0fa03";0
"686a5f8a317538d02d1271fa6e2025ccac2f4797";1
"69d4080f5f5b0a2920ea093ac3453fee08467e37";1
"b79d068c70a1f617f71b3eea0696aa196da9fc91";1
"59a13121ab9bb0a82e9fb6d56f036827c7c37330";1
"15891c411734e78dafe61262f7052b0d1936e286";1
"35a2dfd4c06f275d9bcdc07792e382cf59df300d";1
"52286d6942771bf676c8996e79433fd903f43cf5";1
"c2a48afafd05f9a0a6d7bdad1ed7a8f8269dc4df";1
"3fb7a52017af5247645706dcb7769294f9bee65e";1
"6707b62342765a0a04cc31325501be3fc5f55193";1
"2a4a43f4cdcf72e2dcbce5282999bd27e22adf83";-1
"8043f12e200e45754baa8a60b30c1b725679054e";1
"a1815f38814ba7b1207d0034045093ff8251ea70";1
"098de44a071d8b7050c25c128d4cfc7d47658610";1
"71eb4c5b4ae74a18a8db6de91e7f71a2a2797c3c";1
"a732ed3a1909ad19b07ff2127fe9d2bad5f134e8";1
"e38a3fc012d66744d5e68114ad9866fa640ac356";1
"45bb728425c9ca39e4a8c5e9c87036aa3adc49bb";1
"53efb8471f27ce5aa69b52778e431b31194819b3";-1
"f9e7887e02b86ce893fde73dfec1ec5daabb7ba3";1
"aed824c94cf9bc23da96b15b1d65bc6f1a5eff15";1
"b573526a0dc68d70846ccf7a3b031233e2f2bfcd";1
"d3be2f629d4dc40239aa429a50f1585ad666a28e";1
"c29054096825f5e920b23c75bdc49e818ae6a673";1
"111eb11440749a219bed3cd5bb5da116274b84ee";1
"56795974959e479d3174059c25082de39006604d";1
"b4862828b08115ebe7b70b21da428ffa1ca3859f";1
"3dd7ca6f2a2612eaa6091c9ae62846228ae78a9a";1
"20acb5bc60402dcbed785d04966afa10b21b86e5";1
"81cc2cec8e52b8fd814d5ddd0e4a277f6b08441b";1
"def3f38de70ccc3337f944232201bd39173c06bd";1
"4ccb12cd75154f0c7629fdc7e168690d58d408b0";1
