"Commit";"PureRefactoring"
"ad05e374c1154e22b4af3490d691ed669a14f9b2";1
"fcaeb02d34cbd1aa40a0d5ecf089c565e9d6ddf9";1
"20108a195a8adf66c9abfc1de603927739bcf948";0
"6bdf7f487f9e1e1bb6c6b1707656e8a660c5ce1c";0
"0cc3607e319bf209e58e2bed33b67638116704ed";1
"c53333c4eb1667cc49155ff8559b8095c234a3cd";1
"d942dafae02bb928395a4cd28e317c915acdd643";-1
"ec56572a711348cdefbdcceac97ba05c3e42aaca";0
"99edf4d80c70e0e79127fab19dc670937b1e8406";0
"38d6cbb18d4d580c987a69023add2e241787ab7d";0
"a27838e21bd6c9b657a8a3dd6e93e8b1707ec0c5";1
"672c2adbf78049403ecd6e5624ca2c108b63dc21";1
"6316d3cc088a85d053009f675f5363eef54422e7";1
"430ab6a9d697cff39a11bb991b1f9b30928f749f";1
"19eea5d8011f55bad5740e63376625c5e2af6699";1
"a7a2444ee3da99bd2ce223c3cbb86e3e176b262a";-1
"f4579c06617d21efd1fca85ca7fcf5a59fecd7e0";1
"f027f964eaebd5c6d8c89151bf3aa8564fc5211b";-1
"39be9dbdce0dec7920b7936db4a47b4fcec954df";1
"5486b95141a49f0a1dc2a4011fc21c4ba1375460";1
"c3cfd0b31fcc32a5edac4f89e0fed3de1a5a98b1";1
"d6d04bf8e1f96988af554fa822b4e032e285fb46";1
"292ea59853e21efca30596248b3bbf500033717b";1
"29c1f5a2d420de1ca4d9d24b2530b938b8ffd3bd";1
"f43b8bed9046ae5180aaffe65a91fbccaad9e98e";1
"24650dd79a8a136f86b076c195fb03b005b43e33";1
"431050c79cfccc2745e640f7e3102b1f8dccebd3";1
"6c879957f19a7adcb42c692a949be1904a20182e";0
