"Commit";"PureRefactoring"
"5366158937c49b6e277345e3e543ba61b6fe33b4";1
"01969b55a356057eadd7a624fbb1e38222b05ffa";1
"54673e36c516e2bdfbacc11035f5942fcaa043a0";1
"3b0c474af7b46245109487083f1c0a0fd053165e";1
"92c6ce5b030d1c43ad7208e4ab378c43c7cfabea";1
"89c54a94b8f98506be82c342d8652d454e5361cc";1
"bef3cddcc6479dd0804d1dd72f5578a0ed8e0ca3";1
"167378996a58b27c578f707ffbe281dfd34114d9";1
"1eb3b624b288a4b1a054420d3efb05b8f1d28517";1
"80d3ffb5aafa90992385c17e8338c2cc5def3cec";1
"80748c0fda83b8f13c2f9216710efb2a8311e8ea";1
"c9854400c1b919dc10af4d69155cd488a00a06e0";1
"e0e9465e5682637f117780d124933c1d81b4c178";1
"501d878073cb61940a780303fa0a4690e8039878";1
"61a57bd612e60ad8e8c07963c43d56e768e532c7";1
"9ddb361b08adcf76262a306af2bd3678ab101f4c";1
"c6d9e1f6225869625d55254629035814c9657280";0
"b07915fa536ceb486ca0edad47715d9d31b39ac6";1
"5e2168da033c289b2c9b49437c9b873d6d258caa";1
"fe9ee82e1daa8dd81db5159260661f5a4b2c7245";1
"8584b6c516eadc426dbec487f6fc2d8bc31e124e";1
"588ca7301d87d709ad6e6ba59ba04288ae6a1d06";1
"70785607b487d79cfd0db18d9e7db60fb33c698a";1
"f728bf8ea9beb4f25c77fb11b54e485e3476bfdb";1
"61bae53191c2a6cc4c2d16ffbf813306b0951791";1
"33b9a31de9d8ac3f70cf4105187050e0a80201f3";1
"7d6cc598392f3e6ee1b5ceb355c8bdfc304e68f2";1
"919795143a5da25f8f7a325b78a2fb523a2773a4";0
"752058cdeb3d54e35813fd61c555eef033c4a309";1
"dd61587a51ff0463dc1207d95dbddc230ff82139";1
"f1cf478f56121d5bfd2b4c5850516c22c38ebcbd";-1
"c4fcc1bf7adb3df9d6b72f67b429175e2d8f9ea8";-1
"417093fca15e79a4b94d49c5600550aed5b1146d";-1
"221c2a7a7e37f1d14e02b2f83dbf96ef7e3de577";-1
"4c3ab2120be3d2599213abe510915a633da579a8";-1
"5911d4e66881b6c96c06e02fb49c6d6af8eb7260";-1
"a9d3a1594965a9f30919d817df2cc71f41e834e7";-1
"9241246e322544f9b9287266d478569916820cb8";1
"57be11b401f38c415957e936b05d0fdc65acd4a4";1
"9f8daa7fc5074281024d5e104b34c918036310d1";1
"7851c8206e6ced93ffd562ef7a31bf6c5a226526";1
"a93d3f6674021905b5da1c1621cad6fad62c67ab";1
"581cbff8b5a37284c80385a4ba363827cc44d9ef";1
"d8d3c53d2897424c81e0717704d677e210d82797";1
"bf130e190d7c0e7a5f783497fb098a49c2b15400";1
"7795f7fd278a3dd4c003c5ba3a1e0e85013fc431";1
"37618a165088dc7a316bf41dd3df86a514bddc4e";1
"eda21a682d2cdd1a9030e560561c59d108b1f929";0
"128a8f2a9ae8d1d51e0d1377d45d2330d507b6d0";1
"36c77da8d67ac4a287e80553cee34fe6477e1224";1
"8a678974d8268b3e417e5208c2c5a05d11260ba2";1
"f980a9f33aff71d2319af2d3f51db995f09301d3";1
"740fcd831b690a576dcec4cf91ade16a23d6b7f2";1
"95ae59e517790b5845298dbfaa91fec650e5536e";1
"d71df213256d4210ffbc9f7f486671821c110a06";1
"b6658f419fb17cca54192c3959af752c90bf9951";1
"70ecf5eba6edc69fe8b409ffc81901ff82ac4e67";1
"d5e0fd14faa49097296cca87abbe196f944f9c57";1
"24e19ceac5e38aa9110445f9be732802c82a43a7";1
"677269e5d428e51316052ec2e5209c4d7fe1bd54";1
"76832850aaa9b7d4ae7204bf085238a577e550e3";0
"2739bfbafba4f0a8ba860c8331a9ea20dd4cf888";1
"10b7816e332d2935e1490d20580f8afcec488c0d";-1
"1f8fe88d830468e54d313346d4257fa8e67d7d25";-1
"8ea3efadea5a643a932fa5eca0ed74bb2c5462a1";-1
"baa64fe03376b0da2406e5c62c1568f8e4f44adc";-1
"1c264f5391c84dd12e9e7851d6c073943054a7a2";-1
"3b2bfd21d13700b61ad99ead36bcbd4c299e4071";-1
"bdc06703d3eea818bc7756643bdf3d1df4bb6b6d";-1
"55946ae298edd06e7b5b01c6ba0ebd4d3f3ebe36";-1
"856f55baca0a072c0b6a0dcb7928f632bd4cd853";-1
"a52d1617f1ce72240a94ed73489cdccc585867b3";1
"86d5ae2414054b7a6b7180b1c383de086b4e6be3";0
"a1ba546b1b2ea0adb3d922c4375a5b6532e612c0";1
"da93af19f03cd1ed08825f6f76494c8f19edd933";0
"459e2edb22e5fdaf95e86462564bf35e0f35fb2f";0
"789948ed8e8b59ff57441310cc7e100668aa5df0";1
