"Commit";"PureRefactoring"
"35cdaf9aab77e400b3f4051d177a6f0d79af037a";1
"1967cff7496dfc21a278403aa8677d22c55062a4";1
"62f5ef4c33cb1f3be9fa4feb066f74d8da7b9c59";1
"36dad5f515843042421aa91825fe3594ccc858af";1
"7aa4fa2b16af62ba87fabbb3070cd46feed111ea";0
"b8f859ac95a37dcb9abb084fe226da341963950d";1
"69bc370d3e2e6a7a81b8d0769d3d99deb102bd43";1
"37a763ba02fceaeb665820cd2056fa3c7c476ffd";1
"f4d41fb2bbe2454e0d4c196ac57b1d485c897341";1
"50dce417da27fff3dc9894a5396050b34ab5641a";0
"a9c73a7ada32d6f3f758eeffb06fc519a55e04e8";0
"6ef125e51c18c1a34470c40a8b432206aed55793";1
"481890114885fc6c792036d41173df9313869116";1
"482e5dcde80024b80dd336c22d387231b0ac9d59";1
"cf6d097db3b9be0c7edb378d825dee2f9d42b3d2";1
"5f0a6163319f02aa5642ff975fffb65314b28904";1
