"Commit";"PureRefactoring"
"fc1b11249faefc4ef21a576e34e457529ea9fa9d";0
"39fcdb46e07f2f14319a4031d86bf8f3dbd1d405";1
"026a35e78a390e8941ee8b24149877ae51940c19";0
"01d6fb1a133cea6fac18f2ef1ecab1cbee86b569";1
"a0594600652b5f1716298e9c444abc0fb5cfc279";0
"7e4beeb66e3b5e66907410b930b653ff5ad63ead";0
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";0
"0f59dc7607135b40ad8f801ccdd0fb1d43bba183";0
"77117c7e6e8f51089a41ebb1d1b07bddb24e3e66";0
"6203ad9f81028f68e4b8b67100d9c7c0bab80b31";1
"1e15eae3007415b53b26b3139445a385badf33ac";1
"d665e56649a4b43128714c2bdbe83b9c1d037f73";1
"1a013d078f43fcd4e5a7e31f8b8f53d69969f6fb";-1
"fe0d2bbf14e2c07fd0c4b5c506dfb997a0d917e8";-1
"00a2db876fc5c0447a3617837894f30890cde367";-1
"128ffb7c7fd7ef1bdd6861c40348856ce053b4f1";-1
