"Commit";"PureRefactoring"
"c98d8b30e82cda90fda085d222f947b30fdefb58";1
"16eb2152d2a8f23edda4508dc88d3abe2df96500";1
"1ffd8a62d089843af54d7433fc1bb7cc3d98a13b";1
"bb50e8b54aae0b392c4242a4a42a6698bbd5ce39";1
"9e889ececa53e81466bc646baa0d09b0a7118892";1
"1ef86e69d5a108c2b4d836b0634ebdea912cfe00";1
"f0478a3053b77a1ff493056a62df833f266f4e56";1
"6c4eca6ac911506d20cffeda95325a89f6300729";1
"2036bea929f4aa3ef407978022c4425ab9e5394d";1
"bf5ee44b3b576e01ab09cae9f50300417b01dc07";1
"a20267bed56cad2f92128ca55a82825232238680";1
"4db796bc8aa4438157a6ed40e1b23c7b5b5cb322";1
"56b8f1ee04452f0eca01c5b4f82fef6b6d040fcb";1
"2ab24a184ebc15e15cd4703da0b8483416fd5a36";1
"21182897fb478cd625eadfba2054b86d2e74b8b2";1
"63f437fee884f10ac77608ddc411b5cace0c2ace";1
"1541a968233d8d9ec0c83299bcd56ebe48426e5d";1
"63dceeaa3e286176774be539edc78b6e5b5e45b4";1
"13c8b6f138ab342772732c1e2ea191fa094ef3ee";1
"4a4bf390503abea1dc89cd45b5ea9da8160cea19";1
"89be93e7db991ab3c487217f935946aa09194d14";1
"321aceee26973fb755c2210749792c44ee5c70bc";1
"9a618872965ece58a91e7695d6dacd1acad2a620";1
"0415b11a67e51da3bd593130f2c7519fbcfff203";1
"ac0bcbd4347808784c3fa9c2c5825709a478e79f";1
"876abed8fd907cd32c2b6041fa2aeb74ec2f6c11";1
"ef5fc4016fc67a6f0afa34b8fb1c0c03aa59428f";1
"e601af1234e8012cedb8f785c4212427b957868a";1
"62787638b7b76c55980be1c6408071daa5277b6a";1
"f8c0bfa16e2f3ca39c40015d0e8e1a904f46200e";1
"0214edc84f50d993c28ab0d20d4848a50eb4f461";1
"252baa0642fdf2f2268eb6d720ba6103a6f183f9";1
"b2e1348518f82af60c275d8bba97e0be18f8dd7b";1
"cd06380e27cf754ff09cac2e86a2930961675963";1
"a27d8ae11baa85902fa35b6639197a80010139ad";1
"1ed03e729c70daffc9d6935cc494a27758455364";1
"f71ab4d8bc6ffd14eae488393937d57a19b01da2";1
"f915d3b0225959e07b308c5323a8ddfdfe774200";1
