"Commit";"PureRefactoring"
"5e13289812e3362e092974221080560af97fcc56";1
"b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077";1
"9a99a44c5f5a7e557f0a4bfa5d64a2587947b590";1
"09d85d6713af6c97ae7d4450f88ceac20c60e2fd";1
"6cfdf973f8918e5e8d8874d57358dc6237efc2f0";0
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";0
"83b62f607993074867c0cffec6cdc0253f921628";0
"ce531cdc38b280abcc9b93930a228cbbc034d952";1
"7510111d28b64bb90a6dab5c57bfcb99e04eed24";1
"dcd13835ba12d5e1a86bf11a90989d73530132eb";1
"7b6b9056d36a0987df04df86f88715b40386a1e2";1
"109c93b4e4aa1d9e20b0344ad7286b8e7efd0e2c";1
"8abdde928a2f9b0e5b49c77ee1743924d0e2db68";1
"931236561a0c8f88cfb98ee4d208875a789d8253";1
"db88d538076503691906bec2c1a1f56bd2eebf26";1
"73a53b363a04cc0835f7e83450d42695e5c17f2d";1
"22367de55341d6045fc058e60bd88c21426ed235";1
"e0e8df98d36bcf65d231bd10e05c202cd9b9118f";-1
"40bb52537441c4e51dc9c40a4486ba5bc1bb33c5";1
"088fc5e4431b4ad29c38d0a8ebf6314ef4d724e9";-1
"41cbee06d7c7728abecaf2ee09ac2435a756c9ed";-1
"8eb2062e9521539a66220aa276b62c9030facf08";-1
"8c8f26e13474e5f083bc22ea4ae4f64cd15f996e";1
"fa8e93699532269afe24844f168e0f51b56a5294";1
"0a5b81779957dc23b052bd4b63d5292c890e394d";1
