"Commit";"PureRefactoring"
"7751f3865ad5b12eb54045142747bf9649831beb";1
"b1a40a92eb0b6bc9101a4ef83ab77330260001a8";1
"11921d5e7014fdb1ef1040b2502d1e25c01e5af6";1
"2d6a14d2fe174dde8c681c56f897592b3e2f36f3";1
"576160835d2b97f97579cfabfe2954027791394e";1
"c7d49e8376bd46aa7796336fa9ae2e2fd71592b8";1
"87ca736109871bca1a150f63ae08bde9500b338f";1
"cd07b1aaf1c34c085b27aa0b33bf24d2767a9865";1
"d246f9855e6c72384a61ffee3e7f4d9a9bf54f9b";1
"beeb0518f34a1b59233f3f8d6e8c35d889afdc98";1
"ddbba3efa5bfd421984d4c2a143457cf5b13286a";1
"244d8d031de3584e4becba0fd310950d7a650205";1
"0bb90bb9f0c95b9c26f96ab969ce37f92870d30b";1
"30afc3d2ab272a73d3e8fa88a7e384a6314b21d8";1
"b1e67145ef26710282d4192f8780ece9dd9ca0e0";1
"53127c027ed2816ed1ff48f5b9977a55ba34a0d3";1
"985587ce12ab20d0a321c4cb648ca2baccf1eefd";1
"f9f7c5aca112e77fd9915c91674f395119e88e0f";1
"83f5fe8f1c413d84b727023dc74bd3aeffb2080e";1
"3f453900f4e135e6dfb04c6a5ec61443045c80ae";1
"4e358a8d137595b9320f9a43ee3c3a42967db236";1
"6a126ab3782deb7dd0cc99c6e3785c72d636959b";1
"4455efb99ea7935353e8521c0a4a9872f892a045";1
"8ec4b43865c2c1c32687d4065a8fc680125f1c79";1
"761e9ba05cec3834d95078116cab587795b6a1ab";1
"6a3c9740e3f8bde557556b4f524c4332a4f596f4";1
"9cebd8e7532f426b5dd761fe204a222cf07e7d2d";1
"0a1fc28418091097cdc839a3809c01afc73d32bb";1
"41236015a02ef8e1a93eb01acd6417b96f9d625b";1
"9f9c24d0b52db17e0944a95992a6aaeb0d73a9c2";1
"c46acf86ae2ec505526a3e58dc1536b03e29034d";1
"281084cc9fb00b6f15ad8cc3aa26d15d9f0b7740";1
"f21dea3f0220ae512c47570d70bd25c2cdbb2f3f";1
"e7b1af31e7777031e4e8f2bc0e119d000d6f3d92";1
"077e67440e7a730b2d8ab1849dee597a4a41cc85";1
"d03b2332dcef991c8108be6c9e17503f3ba98e20";1
"847acf01536118c736ef7459073fdf73373a5e15";1
"187eff3cca2d5c87ee7c801f044d8b56fe009c77";1
"1c766d2989e5a0f13a5d526dcb2e8a0c3e725a58";1
"fb385232c01425032062407cd345c7119f8b3d4d";1
"7e1a05781f692615385e6552c63b9951cb8643b6";1
"464d640b71ff9ef73478a11ad4fe6c1612e72c33";1
"3a8a1a6a8b94329f6c6b8733a6ee1943f0ce8433";1
"85b0504cd2e04cbaf06fad5f3885165ddd174dc8";1
"5faccbf32a56e205eae2d3cd328f0117a687d638";1
"464a0f388e08fcc70a5e32f7c8c942913461b6cd";1
"ff57ce2ac8161ef87871a5f96821687c81228cdf";1
"64589af942075b75a59b2b9571942f2d37c70470";1
"8604bf397893c5c53a277c7754df0ecf07e0b90e";1
"0408456c30508ec20fce973fac8e5a3eddc8d797";1
"52b57f5e2e1c23d30d55a3a255386bc4576286ff";1
"f63cd2415dbf92274f13bbaa88a2fd8c96643638";1
"df79034743144a8803e27c70c21d33bdcdba68cb";1
