"Commit";"PureRefactoring"
"fccb2eedee236027300f67c711228e26ad3aaa7c";1
"69b243a0e76cb6c78b2254c7b8d72d0dd526ec76";1
"d3395cca9d7813e3c2755711cd6aa2873f886c7d";1
"c459c365ec426cf03b80269b77c7120fadf6d27f";1
"b898f72f06ed304941c14a2d8dc66d78b79178be";1
"97e26f178814e3957c72ee274a2c5bd42c922c85";1
"e490206067c3742b5fa5b0e813e6a8b31bf6c423";1
"35dfbcb9aeea392db576825d95c4e038dfb2ed2c";-1
"404f653b1bf634c3780cc106d1c3b716506b2fdb";0
"36efd74aa8a97f23bea11fee36b8ce351a3c012f";1
"44616e5a72bf6a9365b19445d3b1619107b01da0";1
"30708f375e061064c3f6dd83e9d765231e21c6e6";1
"726b3b7d7870d5f6ce3162968ed39bd645157576";1
"8f9a5823c9c11328621b52bb33995e10de12ae45";1
"e96e6a3addd93ad57fa0c60a9f535c1d4da15154";1
"068c494b8f0b037f71ac2cd718d01022e23ad8c8";1
"f1b1c7207e0f8fb23d667cecb388fe12b6b86a39";1
"6ec0a417c8a185966823ce4c936ee68b45499f67";1
"a9f37f4a9af9dadcbddce9ab00f6ef3a76e332ca";1
"989bf50a6765f4878d94aaaa6bfcd8edf61b9cd5";1
"ce2a9e94569d20d36c991348141e8d25906fe84c";1
"999f4e1040fd452e15bf87644476a3b69efef839";1
"b1fea99e6c784bb8cc1277380aeec30ecf5470e5";1
"8abca680e9fd90fadaf38a6b4cbbb4c8a5b18352";1
"efd8b898c904f71ec2cd518ad6d88ac69f2ff2d6";1
"9cbe207c595570707a0b4ea21b659c1b7b4361ca";1
"201514686cb65e3c73ac7b2b32f36d10ec0cb2c6";1
"ba1d26a511eb3d8a976ff3fe31ac863abd2f9fb8";-1
"a5beb34511ee0ac6774c473324f361678bff2f72";1
"40cabe6000be1cc99bf2b98e7f6afc6016ba9dde";1
