"Commit";"PureRefactoring"
"a0634ce94a923473ad1a334ecd21a8de2a69becd";1
"63b72c70051ff5d234c27b6cfa29ec159f301450";1
"d5231a14b3d9ba597939a5fbc9424f9ffe7eb6e8";1
"f718117cd93a804871e6b2804ef4b2e424e38cce";1
"549cfd9cf8dd94a9f7fdcf73c167290550cfff1c";1
"476baa480912f5e239905da0172fae1faba1d902";1
"3bc64438e659fd081098c7d55fddce6364bbd727";1
"e0aefcbeb98e1a1283f142ed8eb1cff071c0e5c9";1
"f78037410d4b494e700980110ec608f03a4849ad";1
"31ddaa979e3623a0aa491f849b12ee3b6045d366";1
"32c308db3e2b75a642503ecd8e6df81ecb5ea50e";-1
"2e3e5f67bc88c94b00b86baf987b36bdba754632";-1
"0273476ba6696ba3566c2efaa47721626233a738";-1
"335a4780678e6b14f32374912b5a7892ce244207";-1
"3016b90d0704513796c8c37713cc118cc8860886";-1
"357b7db85ae4609501f2dcabf7035f1494479a91";-1
"6bedbabc511c95823612b66a7b762f51d0d91650";-1
"f97928ef4772213f7f278d5d8ef8452a41b302d1";-1
"8dbbe553e1e685face87795286abde07181644bb";-1
"ec9722b2a500d74527ecb93ada25d2f528997f10";-1
"7813974fdccc284001a6e6ed5d04a7b32f213c0f";-1
"b49d7662d94dc9a05b9993f8645c8163f4799373";-1
"bbaebfca60353d48d4dfed87aba88f9f6018c161";-1
"0c174d5dfc9b9eed59eb38a57e922a784b386dc9";-1
"5fd8578d30b62f8785248c16d4e3c9d090a7bdfd";-1
"85b930dd0748805c601bd46503da4ba7971c17a1";-1
"d60c0cb5134d53f31bda8b042046fcda001fd1bf";-1
"a2c27c643cfad27ee1ee8a3424be8da0c958a7e6";-1
"6ab6050690fa07b6306e42c540521560ee09018f";-1
"3c673759856163c520912fa41810ac7221ab1399";1
"529eff5a8f58de212685300e5390778f0d8baa81";1
"edf63705c93dda4a24191885e9d25638995f3c20";1
"0fae61016387b191981096cf1f7f2cc37f94cbab";1
"fdede8593179e59d4d659ed22d42947dd3bc8506";1
"f8450c61dfa24f1748986489790151b4deb31bf0";1
"75f2719c61831ffc70a188b873046b97d8809fa2";1
"88abb0dbc3ed33e8c63390476f09032bfbf5f79d";1
"a1509f9517082e7ad7f5bdfc1be4b544cc1e638a";1
"a91a27ad00ec30ef93fdff6826390d789bc55b91";1
"62595a5bda715ef94ed0e0ad1d3dab2a1dd7034f";1
"aa895726d1c1f5cebe8ed5a5a3ca347672a1ce7c";1
"d88f823c75ac40bd8dbb4e93cfc8bd423eb5e6e8";-1
"f205dc16b2a6fbdd0fe3b1c97f132f3ec1ae1064";1
"b3324a0e7da73ddff625e9f3fa5c64aefa1c73c6";1
"e8e8e1b7e2ac3e85368718b9617e72d01ffb2018";1
"70ad616c4ce42fac90fca56623b775e45f008308";1
"1443b155db009a86ff91c217c0aeb6c55c6559df";1
"f46cc8ac0b105520dbfbbdad48ca271155a0ab31";1
"d07aeae81450237f49b069894248c8da5814828a";1
"9522885660ef3e1696f9ca0b9105855621bd7cf7";1
"a5f20d23ce3cdc3a8f348d7abea9ec98f4bd508f";1
"e8436d5de78b8e87a1eb5ac26000dfebb5c2537d";-1
"2cf114b7a2c1453204a72b52d7a408a8e0992dbb";1
"3ca07ab63eb940f31339e501dbc72d12d5c4e284";1
"6da9d60a7669f1bb939303d9269e30ffe8c2d4e7";1
"0184c95a4bf5df13896acab3e30678b45c577810";1
"5c906ce73ce86823fa5b31cc781e8917406a0307";1
"cd6d7b6e5b207f500a984ead2fce2ee6504dde6a";1
"571ba3d47e40e396c81021d7ed3d17d2831893f3";-1
"adee3045a1c37d2bce66175480cabc93cd07e2b1";-1
"e067f01fa4a3cb86282b71ed4673baa9a0321dfc";1
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";0
"cd3400534951b68f4f8809c43a67a9b85b881f06";1
"dfcaeb6a5249156fb8075a454a40089db637f3a7";1
"1998874c470b8aa563681eb8ddca8fc382296d35";1
"59176d6a0ab24f3ea150e4bb3b34818c3d4db863";1
"55f1131b2fe6cebc9f37b716d3bc2358700d0637";1
"841bb229068d5eb9b58d634fe00d8281bed54bdc";1
"bcdb2881a5b93ac01daf21ac5c398dded4e3e257";1
"b09588f9220d22a9ecac6d477f896f438d366176";1
"a94a807bb3fd12f6b799f1054c3465f122a17af3";1
"122d9c5ea2c87c6e59f193977260d878cd0dda81";1
"ff0170967d5a38db361c012733fa8ac9db660c79";1
"5438c44c8f922cfb07f30ff7f5902631e1266224";1
"79b5330928e0e3f77d974acbe4dfffbb3e258bb3";1
"5f89cfd43075f1f8b14fecb632708a29da1c94f2";1
"1d4b57f6847b2d43ce5a371b055ba541d557af59";1
"f8b0917c90115986ff30d2cbbc55299b6342cbeb";1
"7b9b303f05f002155c0a6c98d8e8b141b6553427";1
"ae10332b18fb199e1a5342f11e6644185da92c77";1
"1d6806b97901f1c59f851ccf41623208e865f7e3";1
"692b2382bf91a504c595b8549283b77a9a6e3f43";1
"e51add8c76914d1092b3ff9f5c1c6680e2205a06";1
"80e1777a5bba3ee931443d09e40575c1fc98d6f1";-1
"9a279f83cffac3039a57107e93a69d8c84ea758b";-1
"3735464ec200337f93fb2f8dcb216d77fd64ada4";1
"4b7c413f5bf98cc1a13bd032b0c9b1d6ffee14ff";1
"a1b939f6abc5278267b530ad30b0a9214207e076";1
"0ce929a4298738079e3618d0b41b6796f02d6982";1
