"Commit";"PureRefactoring"
"cf4b806ef5082567aa157c0817658d64dc19d14a";-1
"e797f67e7281b2088d41466435c3a82954cb7acc";-1
"fc458abaf203556ddce2fc8f5ef14409bef4e4e3";-1
"fc67b3d0364efff3d013a4a75e534b4f4cc54399";-1
"1c0641e515fa10b5e386ce9583e8d136fe9e3b82";-1
"fae7d58194a6c1726301118fe4ff2a62319d6a21";-1
"bdaf6f7e8d7fd13554919c144681466b713083ae";-1
"5a51a7cedd8d6d4f242cdd620b888e6e26d0eb6c";-1
"c0528b678e3b7b530d7698d5ec90ec05248b6003";-1
"1d1dc99be28e3d9be5e4983b75fecd1a49dbef9a";-1
"bb43300862f7f5750f84eb4f535ff1803b6f7905";-1
"0472bdeb0e5322853466c3fafb0f3fd092bebf53";-1
"bf2d175966f6f5d812e1be7214f168c078a6f6a2";-1
"f83b7bb3d32c29cd6b1e314b504ad37f5c1c1fb5";-1
"66a24c19b494660cb908fb92cc551a7a532f0a44";-1
"15723101c3e407ee7283771fdc0c326514401182";-1
"57461d5cf3e72e157745c42893c21ab4bc122687";1
"f56994689c2ce246f4f4cc5a9d8c5fbebc726502";-1
"f43d76d1a9414a0340ee7a2b78ca17e775732258";-1
"79ebc7a93972c51daccc169a763407f0f6d6520a";-1
"47d6e1f4a43edb92896c6e5a71a6acd2e6ac9e13";-1
"cefb0a997f7b27b2f3b594081f0eec10410a8dcf";-1
"a7f8a4cc5b0a89072816e047764b7768e6ea0905";-1
"e0479ba53ee37425d564c3c2cac65bab6cdb26b9";-1
"7c3a8e86ab7b1a772d65994178e08939cfecdd1c";-1
"26e3efd9e2a9f95c7e59fa9ee043ec2b2f4406f0";-1
"37bde57d0963257ea5bc8a8e8056294ff7391943";-1
"309d0778bb75ce820aafa09e00a7250c3116cc9a";-1
"8b7613894de41930e16d35bfd82b0856a737531e";-1
"64b6791c09430758b6416fc25e6fb43a3b1a77b5";-1
"bcde7ada1f4724b40654e7acd9bf81736f83e355";-1
"a6c1e229b80a608d862a6ca0d3890288bddf12f4";1
"8ab7aae7f00a7902764620063d548557ad81a3b9";-1
"d397e8ea6b1fb8a83f3b2224a00368e16be536f3";1
"9dc70c59d6c5987a7e8fa7a1d6fffd9309d8022b";-1
"ae8da30795ffe0149aadabe49f040e850b03bf07";-1
"bbe042c53b0f60c936c43a764f398498e8a6a4da";-1
"bbb5bab5a9daaf19c6324e19434afdb9b5b609ed";-1
"946aec21067823218e07e78efb64ab3eb3e0efae";-1
"cee518f345f60256349e9596ed0801491e7ba6ae";1
"69dbd641fc3778951fe4a9bef87751670023a677";-1
"3527447a746b29268412c2347fd198fbd0ef9cb6";-1
"2e995cb687c3e56b1298e4bce62fe0d572613b68";-1
"4a0c55b884e1ee7daee94776c39ae7c6333d82e7";-1
"5faecc05af54cfc8495b8f5aa4b31517cba9d2f1";-1
"4509cf158274176d5a96d9fb029482a3d716adb4";-1
"9e5d7b0c073c92b7751df04e27f9e7798e423327";-1
"03da3c212a8c2f3546d31551db6097e23c246182";-1
"27fc436e37c16aa2feaa749b10dae35185574f33";1
"c1ae3b8b9eff735b3751185e436bda46952eb64d";-1
"4af2d6653eb8affebd41f1fa1c6911eac78d755b";-1
"94fa491b0f2ba5e8b502155a08a99c7d77d5689d";1
"c9239b1f1d586233881505c145e2ded60a93e272";1
"b0b5b526859141ef32c2493b2a749ab0b08ea45a";1
"d5ca5ff1b869edf7793b1f898b72eabce2030a6b";1
"a927b11b433283994273caf9d0f5a726ce0ed490";1
"f2d511d2afdbdb412dcf5b26f78d8902958a2e48";1
"7c98d687510a612112f2ccbbee11bf13c43a924f";1
"88e3652aae1aeb620a05b802f431209b5f3f9f9b";1
"2f3798183801e9455fb2dd790ec15fb6912493a2";1
"6d114f6835b2197b76d50bee265d620978739603";1
"e345e9cfa423e6f98d36ce536b9829cda7fcc27c";1
"f018193ca73648d00d3f7a0becc1864db44efa41";0
"f69a7073cf383044f0fa5b31e9d387d107f4536e";1
"574367d4661a568a18c6ef70f9efe54a193790b5";1
"0ccf534d9a322deb8c1a3bff44e0972a164b4472";0
"e71b8f3d2a06e38786c25f5e4a2ed39d9505c5c2";1
"ceadc7075cabe9ae29fad3e6391ac39206f1d9ba";1
"64a7a4996a3ea24d28ca9a42ec6c8ea34daf1898";1
"a13ab9b220377a4dd6a669e7bc882dedf1aeff40";1
"497b7b3ef6431ccab4c38343012d4a6aa2a32312";1
"929f11b339c9954b52cc34a0cff1ffb696091ba2";1
"edfcf0cdb97b3f24b73c59be12333e7fb185ac06";0
"b9096c5d68ec52c39b86afe20a18e8b12d48d8e7";1
"a5e666ce68e711bc375f60ff8065a7ab9dfedbeb";-1
