"Commit";"PureRefactoring"
"e79b73664ace9e0032779b8d0db091b54e5d83b8";1
"622cf07720cd969adf5e4ee8fe077033bc696ee6";1
"a10aa934b794bffb7bfbbac22e7bfc72ea4fdcc8";1
"6b61d2b0269804ab1bba0938d48e84fcf11e459b";1
"5172f89281a04a6bd3643167ba3d8d963e15b33a";1
"1ebdeb95892cf6821992f1678e93c6a8cb6c0bef";1
"d48499ad8d61714d9f8f836c3eb859c52f59b673";1
"973f932a390ec1dd6e4b8e78f75b355238db12a8";1
"8f269e28fe8038a6c60f31a1c36cfda04795ab45";1
"2ad963074cbd5d4bf7ccae9d5b576f6a28e37955";1
"069869a69b676a954205d042e1876b6d97618735";1
"585072a1b7836df8ce4c8478d851610c46318a30";1
"f906695e7a723024bc65b98db914cfefb7c27149";1
"2b347daaab16899a404306e63912de0dd9048c16";1
"1bc5a1ab556935955f26e7af31c8166cca1a21b1";1
"b9957d1a6cbca15c08410d29d87a7707d8d3d367";1
"a13f51b49ea1b2ec0dfde3898f0ab9ac0885bd1f";1
"8ad81978b0401fdb6ce1ec9c9757c1ee05b74db6";1
"ca9d7f7b1dc901b3ab73a0368b7377f3f4db947a";1
"96ff0cb4652761540b96c35abd3fa9a66255a7f6";1
"2b9c7847b49d685c3869142429b0ac2fe04fbc9b";1
"c03653b7e905cf356d8db8fe31f3b47c054bba66";1
"42378ab34dce9cc1d3cee3e432d4ab2b310caea9";1
"c0df12d9fa25e9c50fc52b52a1254cea8e836500";1
"0dc97dcc56f392d09fbf29475740c7a5a15b9391";1
"8149a0282013b973ce11a2cfe09ac042f137ad56";1
"40bb8e8e6cea4b76c13a26a285b6b88be99ef66b";1
"a3870ca528433ae384a934da4fd29c2a8cd149b8";1
"216e267fce243f2d31355dd87b2b038205c97216";1
"a999bd3ca8c163cfcb11752fa81192b910c82662";1
"2710b988b53d5bd85de97f306401486e0188fdef";1
"31c894e880dd6e92d61cb42d5193f628936f4715";1
"4bec3229b5fe2f5da32d9562e12a2041124725f1";1
"ccdeae7bbd68b23d6cbd07a08bdb44114897bbf5";1
"4430e789665cb99d60c100a96280209924e2ff25";1
"892409da2c8bc95f81bbfd61d2871293f5540bd0";1
"897bc88d6922e755038a6a8e34ca25ace6a27689";1
"46df1279bf7be16653cfc97c9254cfc9a7558f5a";1
"c49754ebb3f110ca2002554c653557573e7ebe9e";1
"075725384663a0cd063bc3d4eedac1c76211ac17";1
"44ab7568732f3ee69b677e11cfb0f2a2589b1113";1
"a173986fb723a02169c30f65529d0fb46f927795";1
"1f133fbcd4b87fa6b58b2078086c03856b37ab78";1
"71cfe235ad8d6b8c9dbb1b71aed4d396bc0ef2bc";1
"e7374697f1e02b614c9de60a76fca6905e138f97";1
"1c1766ba1274c182811c9f0ae00b2f735fa17f22";1
"06b6b266dbf224dcc6b0a548ee556276c08d09f3";1
"345c198a7506057f203873e675b9c274d5f4e1fd";1
"d4dbeb93a034888da68be48d5a76ee1e906434e6";1
"2244a2c588bbf216704b5a60cf73250c660050b6";1
"4e0d0e4df19dc0a233272021b233933d0dd230a8";1
"ec0590ff512978797b98fe8ad5e971e89df22a96";1
"3ac3c0b82837dd8884b0c79aa9b78f59daab9615";1
"de5a98d47bb9cc5220403db55314caaf9c9a2ecd";1
"14db3d5f638c31d66b354516e368e3475dd5cfa3";1
"f30c0f17b4ef6b8e42ad142374299677c86a2d36";1
"bd0483f5e697eb35e01106311b95ad57dadbe5b7";1
"f8c7a1c376f64b9a36f5bb6bf834458402fd8b09";1
"ea8baf642b705bee6a315f42a9d5c4d12e01ea75";1
"018fa22593989291d392115c43af5406145e979e";1
"f2d8a996bca0afed742d05271e78df9f045b724e";1
"cd8241116971047cce184333ffc0aabccdecd455";1
"9bba615d7953d240287bfa9b8a1a3b0dfe7218ac";1
"bba665cef4622fd9b81f7215e845914020959a19";1
"47d369608b6d072478c7f1aabe01d2ea141e424c";1
"bb933237b0f189d422f088503763f5da8881af8a";1
"c412bc3a76137d2b66f9570f64b7cc18d9b8eb52";1
"7d44b1ecabea8ac92c3a9ed07d8f416172b63a7d";1
"1bb228df172ad3bea7c5cff3a41db72ff5eefaed";1
"2697c6a2fa481f172218bbff603b7385e4bf85b2";1
"a446527da3fa85fce570b29869d1c39af4fd77f2";1
"5486712b1b1749abc0e72b52291e5f338a04e170";0
"def74e6618cc88118efbb6e84f8fb2540fd6d6bd";1
"0a542564bc32adf5b96b796077b32a7912287aaa";1
"ec2bd0145ddcecc58d0283134dac4518491acf36";1
"14cee9c94f29af87d6bcdc4583d36ba354ab8754";1
"c67b3e749d396daf00a169e92cadfe1612d9e626";1
"1755a82fe28c09794558c912b3bca80af9c55153";1
"e39d6248323d7e55ebc26b4b2d02db6dae029fda";1
"55cf4cd9e098a7d36ff03d82f5afcb9032011483";1
"28db79ef426ec46280f50eb6a37214a5982e0da6";1
"e13be6badc4aed748997048a043661456b52e73e";1
"7f990b006b983962761fc0bf9abcb373c8891dbe";1
"e6a19a366df2b90c591dc82d21978416c6fa9a8d";1
"a32d1867b4d539fcf673044879035cabac7a534e";1
"458cdfa7e88c25bc43cea09522d5c230f30a279d";1
"dbeec0a5de248a7c87a5436d430e2d45fb3c878a";1
"e304e14527e6f652fcb2d41d4d5e6fff74fd99d5";1
"1e0e3f0ad4272c21fbd6e8a383bf5d3af25f4d15";1
"020de45c1b422b665b071c0326526effab3f0359";1
"ef3720be11f117bb691edbbf63e38ff72e0eb3dd";1
