"Commit";"PureRefactoring"
"41bfa1ad24bfc7d7c0c95cad49179c05ac996648";1
"d87c54db18046987b314cd02044884f39d107d96";1
"afc5507aa5cb14b95b1b109cd6b2edac92ba7710";1
"0ed35ca7aec908006d8fe5a8c9976af65a36f920";1
"5ec11dd4389d1a04757eb554f0073b5fe011976f";1
"6b00cd214975ce3c3512e1a2699cdfbf0b44d518";1
"e39277ec565825ce4055dadd0edd85fd805d61a3";1
"08557449ea02406e8fdc6a976da972c7ea5d50aa";1
"b5e4969a7486a06f060e1eef47ff3c0b7d088788";1
"1c62b5931674c7f8d76a636b5ff751ff55ecec72";1
"bbac27f0bcad82483f480da266f74790bc2cd602";1
"e014c4cc4c28e1db3fe6b0a68d8165c72958b4dc";1
"440288804bb4a57c23d8994a3429d826db63160a";1
"e77fcd1417bb4a39c957e1db409d04ee5bf2112d";1
"c8ededd90987b0bdacfe85489de55bd13ec9984d";1
"6832acb00e4149dc821283850985400691a9839c";1
"af13f4ef14c1d53bfedd50231229a536c73102bc";1
"38cc8c6ca97fc96af1621c98b34a10f377501cae";1
"07a09f6ff64b7f0e7986680f78ed99247c13c5a9";1
"0a3c2affefd4a02cfb80219512d4e77a58edacb3";1
"0d2d03ad93d09b197b4e69bd1f80d8ade895d433";1
"66514e6af7a268c9f6fd9bfd4dc14c63e6089671";1
"4c16834a3b32e5b22286634b0f7a18e79362ef3c";1
"eebdccf7015e6c36e95746d77574ca96e0e6107b";1
"66c17d18e0435c2af6303116611a49276e80ffba";1
"7eb9d7b0200f33ca1e1f01fad40477bcc70278ba";1
"bcb177c2538dbd8023d893056c80ac24cfd3aafd";0
"43756031e728ae697fce99fb5f5dba2fce6d60fc";1
"edaccf13b86ce980d3b2f7d1aadd1f9617e44a54";1
"9fbd987bc2990ee0ea88783fdb163244cf47c092";1
"0b55a0bce9c213f1eee303da206103065fdb4379";1
"ce5ffeb6395c0ffea865c0e6255dd9f3db4297e6";1
"5d5291f0b04e55cfdfc561f3eb83e792e9abf670";1
"a1d77266cbbbb3c383a35392aa2bc5cab1fe14ab";1
"cdf2d67aabfa0951984028b843422f73afb0bbd3";1
"4b0f7a6c971185d56004385fb73d7e064b1b4217";1
"c5b9e2209d8d075b1a2519bbdf9bd612585e6eaa";1
"c98478dcbd2d094213b8f1fd748785ba4cc76d05";1
"7c25fd40fde8fdbf624a005d6b764f82cf303151";1
"623a978b646cb429db5bbe7c594fe1312031f80f";1
"8b470ded3bdc0f66a15aa8387d7cb309dbd1a9e3";1
"84245a20909837f0712546a165ed78b728676ff5";0
"30b700ef9aa24f208d5ee9ad96db423d51ebd0a4";1
"2bf705a19ba5a6634daa9252bd3e1f544d588a4c";1
"33cd375712a0c9db3e8e85af6bd51a5cd405c80e";1
"249d95e9b5def7ebeea5e0639a8d034e84cf4f9e";1
"770a597798dca641247797552cd54e78c9d4413d";1
"f145e9c761196571761fb49def5ed2743dcc86c7";1
"c2a9cfc22c5cc6dea9dcdc63c677347dae482d49";1
"0a1ec893fe191119c2f41934f2b3188e58771545";1
"103b4bf539f93c9fbbacdfe5999920535d1fa1ee";1
"909b972ec3a57555a2b769cec918f3d69a7a4502";1
"00d988b34900ee54bbd5a6b5481bafd4cdb0020c";1
"587feae700879ff94823f853fe5003a29ccfac62";1
"7a4e583c2622a68ce73683555ca3bf6f02f86e12";1
"5703c38809f98dc90d7e74ee3f057a28d558ba1b";1
"9180db6057f5804231d94d2fc149f551e29d61f4";1
"e4131d90762f5122c68a4c31f320b040ec440f86";1
"1c99cfafeeff8f2635b1e8f7e137400cff5e9618";1
"154c0398f41e3339b97f04fdf7dca4bff4848655";1
"805a9e239a549a592dd6b5795af9c948641a7b41";1
"0aebd543382584904eab6653325d436beb3ee2c4";1
"91519b9750eca66787f4d626039c0d84a01ff7d4";1
"c2d66363e533224f4c3337dbb4b2578a89b2be27";1
"1a33c9c939c8b868e01bcc1bcb362f2730849b54";1
"160922dd99e054e35d6d3641685430cb263f0cb5";1
"7e32977a797403807604f4a8e613047b88515f21";1
"f5450d9188814c5e31a7475ec64b8ec8bcedca22";1
"d69fec2f2aaf16158bc008dd9d675ac63bfd3c38";1
"9daf49d5a90c545948d4388e9ffcf1bb0f55484d";1
"f4bc04646af5bb55f841384d91075f66279e9fb2";1
"d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4";1
