"Commit";"PureRefactoring"
"61438dd5f35282f33569a0fe1270f47df505be7f";1
"f7b91eac88ceb56f03e5404a8773e9ae6b0f88db";1
"21fd8c6c06a6c5033dd3f2af2503792c8fe744be";1
"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15";1
"b6d99548c76a1b59c10485736c8d8fc953c61f9d";1
"574a0c45acee678f0634203e670545c768e0546d";1
"0e2b190c061016f59e2e36771b1deb144a62852a";1
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";0
"36642b62819ea570b992b4b4a9726d3b11fe89f3";1
"dbedb5dc371cdc4f2b3d82f4bfd9167aafa172f4";1
"ce15f85408a0257bb357b9f5220c12015048be60";1
