"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.AtomicHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"POSTFIX_EXPRESSION";"false";"org.HdrHistogram.AbstractHistogram.equals(Object)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"DECREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.HdrHistogram.ShortHistogram._getEstimatedFootprintInBytes()"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.AtomicHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.HdrHistogram.AbstractHistogram.arrayAdd(AbstractHistogram,AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"IF_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.arrayAdd(AbstractHistogram,AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"THROW_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.arrayAdd(AbstractHistogram,AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"THROW_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"COMMENT_INSERT";NA;"LINE_COMMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"COMMENT_INSERT";NA;"LINE_COMMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"FOR_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"POSTFIX_EXPRESSION";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"THROW_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"IF_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"DOC_UPDATE";NA;"JAVADOC";"true";"org.HdrHistogram.AbstractHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.ShortHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.getLengthForNumberOfBuckets(int)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"ASSIGNMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"POSTFIX_EXPRESSION";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"WHILE_STATEMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_DELETE";NA;"ASSIGNMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"org.HdrHistogram.AbstractHistogram.init(long,long,int,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.AtomicHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.ShortHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.SynchronizedHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.HdrHistogram.AbstractHistogram.getEstimatedFootprintInBytes()"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.AtomicHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.Histogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.IntHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.AbstractHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.SynchronizedHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.AbstractHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.SynchronizedHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.AbstractHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.ShortHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.Histogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.HdrHistogram.HistogramData.getValueAtPercentile(double)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.ShortHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.SynchronizedHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.ShortHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.HdrHistogram.IntHistogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.Histogram"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.HdrHistogram.HistogramData.getCountBetweenValues(long,long)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.HdrHistogram.AbstractHistogram.AbstractHistogram(long,long,int)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"UNCLASSIFIED_CHANGE";NA;"MODIFIER";"false";"org.HdrHistogram.SynchronizedHistogram.add(AbstractHistogram)"
"dd14b2247964031361e1c546cfbbce31a27f3295";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.HdrHistogram.ShortHistogram"
