"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_PARENT_CHANGE";NA;"RETURN_STATEMENT";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.initializeCustomizer()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.zaxxer.hikari.pool.HikariPool"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"DO_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"com.zaxxer.hikari.util.PoolUtilities.elapsedTimeMs(long)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"true";"com.zaxxer.hikari.util.PoolUtilities.elapsedTimeMs(long)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"PARAMETER_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"com.zaxxer.hikari.util.PoolUtilities.quietlySleep(long)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.initializeCustomizer()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.addConnection()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"DOC_INSERT";NA;"JAVADOC";"false";"com.zaxxer.hikari.pool.HikariPool.initializeDataSource()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_ORDERING_CHANGE";NA;"ASSIGNMENT";"false";"com.zaxxer.hikari.pool.HikariPool.HikariPool(HikariConfig,String,String)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.proxy.ConnectionProxy.close()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"CATCH_CLAUSE";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.zaxxer.hikari.util.PoolUtilities"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"THROW_STATEMENT";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.releaseConnection(IHikariConnectionProxy,boolean)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.zaxxer.hikari.HikariConfig.HikariConfig()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"CATCH_CLAUSE";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.closeConnection(IHikariConnectionProxy)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"CATCH_CLAUSE";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.addConnection()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"PARAMETER_INSERT";NA;"PARAMETER";"false";"com.zaxxer.hikari.pool.HikariPool.releaseConnection(IHikariConnectionProxy,boolean)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.zaxxer.hikari.HikariConfig.validate()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_ORDERING_CHANGE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_ORDERING_CHANGE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.addConnection()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.HikariDataSource.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"com.zaxxer.hikari.util.PoolUtilities.createInstance(String,Class<T>)"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.pool.HikariPool.shutdown()"
"96a30c2b7d156171e999fb7ac53321e4c79d8a2c";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"com.zaxxer.hikari.pool.HikariPool.addConnection()"
"a6b27ef2a3a203a6fba837d87865c114126106d3";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.zaxxer.hikari.HikariPool.addConnection()"
"a6b27ef2a3a203a6fba837d87865c114126106d3";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.zaxxer.hikari.HikariPool.HikariPool(HikariConfig)"
