"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"d587f0c7fca8281a47a20e945193b37a8261e4e0";"DOC_UPDATE";NA;"JAVADOC";"false";"org.jgroups.protocols.FILE_PING"
"d587f0c7fca8281a47a20e945193b37a8261e4e0";"DOC_UPDATE";NA;"JAVADOC";"false";"org.jgroups.protocols.S3_PING"
"d587f0c7fca8281a47a20e945193b37a8261e4e0";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.S3_PING"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.TP.DefaultBundler"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"org.jgroups.protocols.TP.TransferQueueBundler.BundlerThread.run()"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"STATEMENT_INSERT";NA;"CATCH_CLAUSE";"false";"org.jgroups.protocols.TP.TransferQueueBundler.BundlerThread.run()"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.jgroups.protocols.TP.start()"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.TP.TransferQueueBundler.BundlerThread"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.jgroups.protocols.TP"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.TP.TransferQueueBundler"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.TP"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.jgroups.protocols.TP.start()"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"CONDITION_EXPRESSION_CHANGE";NA;"WHILE_STATEMENT";"false";"org.jgroups.protocols.TP.TransferQueueBundler.BundlerThread.run()"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.TP.Bundler"
"c4ed7e2435bb8d7edf0dae50ffbb5bc46c95bcaa";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.jgroups.protocols.TP.TransferQueueBundler"
