"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.resourceOffers(SchedulerDriver,List<Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"CATCH_CLAUSE";"false";"com.hubspot.singularity.data.history.JDBIHistoryManager.saveTaskUpdate(String,String,Optional<String>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.reregistered(SchedulerDriver,Protos.MasterInfo)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.SingularityMesosSchedulerDelegator(SingularityMesosScheduler,SingularityStartup)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.statusUpdate(SchedulerDriver,TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_PARENT_CHANGE";NA;"FOREACH_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityRackManager.loadRacksFromMaster(MesosStateObject)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.hubspot.singularity.scheduler.SingularityScheduler.scheduleOnCompletion(String)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.hubspot.singularity.mesos.SingularityRackManager.loadRacksFromMaster(MesosStateObject)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"PARAMETER_INSERT";NA;"PARAMETER";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.SingularityMesosSchedulerDelegator(SingularityMesosScheduler,SingularityStartup)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"CATCH_CLAUSE";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.resourceOffers(SchedulerDriver,List<Protos.Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"TRY_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.SingularityMesosSchedulerDelegator(SingularityMesosScheduler,SingularityStartup)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"TRY_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.resourceOffers(SchedulerDriver,List<Protos.Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"FOREACH_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.resourceOffers(SchedulerDriver,List<Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityRackManager.loadRacksFromMaster(MesosStateObject)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.registered(SchedulerDriver,FrameworkID,MasterInfo)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator.statusUpdate(SchedulerDriver,TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"CATCH_CLAUSE";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.resourceOffers(SchedulerDriver,List<Protos.Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_ORDERING_CHANGE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.resourceOffers(SchedulerDriver,List<Protos.Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityRackManager.loadRacksFromMaster(MesosStateObject)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"THROW_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.resourceOffers(SchedulerDriver,List<Protos.Offer>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.executorLost(SchedulerDriver,Protos.ExecutorID,Protos.SlaveID,int)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.data.history.JDBIHistoryManager.saveTaskUpdate(String,String,Optional<String>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_PARENT_CHANGE";NA;"IF_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.hubspot.singularity.mesos.SingularityRackManager.SingularityRackManager(MesosConfiguration)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.statusUpdate(SchedulerDriver,Protos.TaskStatus)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.hubspot.singularity.mesos.SingularityMesosSchedulerDelegator"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"false";"com.hubspot.singularity.data.history.JDBIHistoryManager.saveTaskUpdate(String,String,Optional<String>)"
"be3913f42a64d33c2fba3cefc73e7e5593565ec7";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.hubspot.singularity.mesos.SingularityMesosScheduler.resourceOffers(SchedulerDriver,List<Protos.Offer>)"
