"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.ansj.app.extracting.ExtractingTask.run()"
"66b0e6069048a640b09c7768a1b2099cde849888";"ATTRIBUTE_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"org.ansj.splitWord.Analysis.isRealName : boolean"
"66b0e6069048a640b09c7768a1b2099cde849888";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.ansj.recognition.impl.EmailRecognition"
"66b0e6069048a640b09c7768a1b2099cde849888";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.ansj.app.extracting.ExtractingTask.validate(Token,Term)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"WHILE_STATEMENT";"false";"org.ansj.app.extracting.ExtractingTask.run()"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.ansj.recognition.arrimpl.UserDefineRecognition.makeNewTerm()"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result,Forest)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"FOR_STATEMENT";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
"66b0e6069048a640b09c7768a1b2099cde849888";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.ansj.recognition.impl.DicRecognition.recognition(Result)"
