"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"CONDITION_EXPRESSION_CHANGE";NA;"FOREACH_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.get(long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.AbstractBroadcasterCache.get(long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.get(long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.get(long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"FINALLY";"true";"org.atmosphere.cache.AbstractBroadcasterCache.get(long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"org.atmosphere.cache.SessionBroadcasterCache.retrieveFromCache(String,AtmosphereResource)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_PARENT_CHANGE";NA;"RETURN_STATEMENT";"true";"org.atmosphere.cache.SessionBroadcasterCache.retrieveFromCache(String,AtmosphereResource)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.SessionBroadcasterCache.retrieveFromCache(String,AtmosphereResource)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"PARAMETER_INSERT";NA;"PARAMETER";"true";"org.atmosphere.cache.SessionBroadcasterCache.retrieveFromCache(String,AtmosphereResource)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"PARAMETER_DELETE";NA;"PARAMETER";"true";"org.atmosphere.cache.SessionBroadcasterCache.retrieveFromCache(String,AtmosphereResource)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"FINALLY";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.HeaderBroadcasterCache.addToCache(String,AtmosphereResource,Message)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.AbstractBroadcasterCache.put(Message,Long)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.SessionBroadcasterCache.addToCache(String,AtmosphereResource,Message)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.atmosphere.cache.SessionBroadcasterCache.addToCache(String,AtmosphereResource,Message)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"org.atmosphere.cache.SessionBroadcasterCache.addToCache(String,AtmosphereResource,Message)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"true";"org.atmosphere.cache.HeaderBroadcasterCache.retrieveFromCache(String,AtmosphereResource)"
"c500f5dacd76e77452a207e207fc6a3f125d70c9";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.atmosphere.cache.AbstractBroadcasterCache"
