"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"8d0ff6260e121db320ea68a917582c4091f48feb";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.crsh.cmdline.ParameterDescriptor.ParameterDescriptor(B,Type,Description,boolean,boolean,boolean,Class<? extends Completer>,Annotation)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.crsh.cmdline.CommandFactory.create(B,Type,Argument,Option,boolean,Description,Annotation)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.crsh.cmdline.matcher.ParameterMatch.ParameterMatch(P,List<Value>)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.crsh.cmdline.matcher.Value"
"8d0ff6260e121db320ea68a917582c4091f48feb";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.crsh.cmdline.matcher.ParameterMatch"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.crsh.cmdline.matcher.Value.Value(String,String)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"THROW_STATEMENT";"false";"org.crsh.cmdline.matcher.Value.Value(String,String)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"org.crsh.cmdline.matcher.ParameterMatch.getStrings()"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.crsh.cmdline.matcher.ParameterMatch.getStrings()"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.crsh.cmdline.matcher.ParameterMatch.getStrings()"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"org.crsh.cmdline.matcher.ParameterMatch.getStrings()"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_DELETE";NA;"IF_STATEMENT";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"CONDITION_EXPRESSION_CHANGE";NA;"FOREACH_STATEMENT";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.crsh.cmdline.matcher.CommandMatch.invoke(InvocationContext,C)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.crsh.cmdline.matcher.Value.Value(String,String)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.crsh.cmdline.ArgumentDescriptor.ArgumentDescriptor(B,String,Type,Description,boolean,boolean,boolean,Class<? extends Completer>,Annotation)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.crsh.cmdline.CommandFactory.create(B,Type,Argument,Option,boolean,Description,Annotation)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"THROW_STATEMENT";"false";"org.crsh.cmdline.matcher.Value.Value(String,String)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.crsh.cmdline.ParameterDescriptor"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.crsh.cmdline.matcher.Value.Value(String,String)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.crsh.cmdline.ParameterDescriptor.ParameterDescriptor(B,Type,Description,boolean,boolean,boolean,Class<? extends Completer>,Annotation)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.crsh.cmdline.OptionDescriptor.OptionDescriptor(B,Type,List<String>,Description,boolean,int,boolean,boolean,Class<? extends Completer>,Annotation)"
"8d0ff6260e121db320ea68a917582c4091f48feb";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.crsh.cmdline.ArgumentDescriptor.ArgumentDescriptor(B,String,Type,Description,boolean,boolean,boolean,Class<? extends Completer>,Annotation)"
