"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_INSERT";NA;"FOREACH_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_PARENT_CHANGE";NA;"IF_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"cucumber.runtime.java.MethodScanner"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"THROW_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"cucumber.runtime.java.MethodScanner.MethodScanner(ClassFinder)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"cucumber.runtime.java.MethodScanner"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"FOREACH_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_DELETE";NA;"THROW_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
"910c5744d48df499a2c32addbccd26e999c6a66e";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"cucumber.runtime.java.MethodScanner"
"910c5744d48df499a2c32addbccd26e999c6a66e";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"cucumber.runtime.java.MethodScanner.scan(JavaBackend,Method,Class<?>)"
