"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.apache.giraph.graph.EdgeListVertex.addEdge(I,E)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.apache.giraph.graph.EdgeListVertex.getEdgeValue(I)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.apache.giraph.graph.EdgeListVertex.initialize(I,V,Map<I, E>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.apache.giraph.graph.EdgeListVertex.initialize(I,V,Map<I, E>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"PARAMETER_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"org.apache.giraph.graph.BasicVertex.initialize(I,V,Map<I, E>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"PARENT_CLASS_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"org.apache.giraph.benchmark.PageRankBenchmark.PageRankHashMapVertex"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.apache.giraph.graph.LongDoubleFloatDoubleVertex"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.apache.giraph.graph.EdgeListVertex"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.apache.giraph.graph.EdgeListVertex.addEdge(I,E)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.apache.giraph.graph.EdgeListVertex.initialize(I,V,Map<I, E>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.apache.giraph.graph.VertexResolver.resolve(I,BasicVertex<I, V, E, M>,VertexChanges<I, V, E, M>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.apache.giraph.graph.partition.Partition.readFields(DataInput)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"DOC_UPDATE";NA;"JAVADOC";"false";"org.apache.giraph.graph.BasicVertexResolver.resolve(I,BasicVertex<I, V, E, M>,VertexChanges<I, V, E, M>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.apache.giraph.graph.VertexResolver.resolve(I,BasicVertex<I, V, E, M>,VertexChanges<I, V, E, M>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.apache.giraph.graph.EdgeListVertex"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.apache.giraph.graph.EdgeListVertex.initialize(I,V,Map<I, E>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.apache.giraph.graph.LongDoubleFloatDoubleVertex"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.apache.giraph.graph.IntIntNullIntVertex.initialize(IntWritable,IntWritable,Map<IntWritable, NullWritable>,Iterable<IntWritable>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"org.apache.giraph.graph.EdgeListVertex.msgList : List<M>"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"PARAMETER_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"org.apache.giraph.graph.LongDoubleFloatDoubleVertex.initialize(LongWritable,DoubleWritable,Map<LongWritable, FloatWritable>,Iterable<DoubleWritable>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.apache.giraph.graph.EdgeListVertex.removeEdge(I)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.apache.giraph.graph.EdgeListVertex"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"PARAMETER_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"org.apache.giraph.comm.WorkerCommunications.addVertexReq(BasicVertex<I, V, E, M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"org.apache.giraph.graph.VertexResolver.resolve(I,BasicVertex<I, V, E, M>,VertexChanges<I, V, E, M>,Iterable<M>)"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.apache.giraph.comm.BasicRPCCommunications.prepareSuperstep()"
"6bccbeeabd8fda0b9a0e97181c9deafbf254322b";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.apache.giraph.graph.EdgeListVertex.readFields(DataInput)"
