"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.addthis.hydra.task.output.DataOutputTypeList"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"com.addthis.hydra.task.output.DataOutputTypeList"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"com.addthis.hydra.task.output.DataOutputTypeKV.DataOutputTypeKV()"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.addthis.hydra.task.output.TaskDataOutput.TaskDataOutput()"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.addthis.hydra.task.output.TaskDataOutput"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.addthis.hydra.task.output.DataOutputTypeKV"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.addthis.hydra.Main.main(String[])"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.ValueFilterGlob(String)"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.filter(String)"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"com.addthis.hydra.data.filter.value.ValueFilter.nullAccept : boolean"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.addthis.hydra.Main.main(String[])"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"PARAMETER_INSERT";NA;"PARAMETER";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.ValueFilterGlob(String)"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"com.addthis.hydra.data.filter.value.ValueFilter.once : boolean"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.addthis.hydra.task.output.TaskDataOutput"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.filter(String)"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.addthis.hydra.Main.main(String[])"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.compiled : PathMatcher"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"com.addthis.hydra.task.output.TaskDataOutput.TaskDataOutput()"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.addthis.hydra.task.output.TaskDataOutput"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.ValueFilterGlob(String)"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"STATEMENT_INSERT";NA;"CONSTRUCTOR_INVOCATION";"false";"com.addthis.hydra.task.output.DataOutputTypeKV.DataOutputTypeKV()"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.addthis.hydra.task.output.TaskDataOutput"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"com.addthis.hydra.task.output.DataOutputTypeKV"
"4ca5ae88c3218eadb1b03787b4584ad0ae6748b3";"DOC_INSERT";NA;"JAVADOC";"false";"com.addthis.hydra.data.filter.value.ValueFilterGlob.compiled : PathMatcher"
