"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"SWITCH_STATEMENT";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"SWITCH_CASE";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"BREAK_STATEMENT";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"SWITCH_CASE";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"BREAK_STATEMENT";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"COMMENT_INSERT";NA;"LINE_COMMENT";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"SWITCH_CASE";"true";"com.notnoop.apns.PayloadBuilder.insertCustomAlert()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.notnoop.apns.PayloadBuilder.build()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_DELETE";NA;"IF_STATEMENT";"true";"com.notnoop.apns.PayloadBuilder.build()"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.notnoop.apns.PayloadBuilder.alertBody(String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"COMMENT_MOVE";NA;"LINE_COMMENT";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"8859c5c507bf62b7c4621e75d5797487ee31fa25";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.notnoop.apns.PayloadBuilder.resizeAlertBody(int,String)"
"5f0b263b58e2e2df33a5f35f2a1531b616982010";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"com.notnoop.apns.ApnsServiceBuilder.asPool(ExecutorService,int)"
"5f0b263b58e2e2df33a5f35f2a1531b616982010";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"true";"com.notnoop.apns.ApnsServiceBuilder.asPool(int)"
"5f0b263b58e2e2df33a5f35f2a1531b616982010";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.notnoop.apns.internal.ApnsPooledConnection.ApnsPooledConnection(ApnsConnection,int)"
"5f0b263b58e2e2df33a5f35f2a1531b616982010";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.notnoop.apns.ApnsServiceBuilder"
"5f0b263b58e2e2df33a5f35f2a1531b616982010";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.notnoop.apns.internal.ApnsPooledConnection.ApnsPooledConnection(ApnsConnection,int)"
"5f0b263b58e2e2df33a5f35f2a1531b616982010";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.notnoop.apns.internal.ApnsPooledConnection"
