"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.util.HeadlessUtil.showTree(StringBuilder,MetaPackage,boolean)"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow.getStampQueued()"
"cba35769bdf259c847ce15ee44dabab704727613";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.model.IReadOnlyJITDataModel"
"cba35769bdf259c847ce15ee44dabab704727613";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow.getStampQueued()"
"cba35769bdf259c847ce15ee44dabab704727613";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.adoptopenjdk.jitwatch.parser.AbstractLogParser.handleTaskDone(Tag,IMetaMember)"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow.getStampQueued()"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.ui.graphing.TimeLineStage.buildLabel(Tag,long,Compilation)"
"cba35769bdf259c847ce15ee44dabab704727613";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.adoptopenjdk.jitwatch.parser.AbstractLogParser.handleTaskDone(Tag,IMetaMember)"
"cba35769bdf259c847ce15ee44dabab704727613";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.util.HeadlessUtil.modelToString(IReadOnlyJITDataModel,boolean)"
"cba35769bdf259c847ce15ee44dabab704727613";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_PARENT_CHANGE";NA;"IF_STATEMENT";"false";"org.adoptopenjdk.jitwatch.ui.graphing.TimeLineStage.buildLabel(Tag,long,Compilation)"
"cba35769bdf259c847ce15ee44dabab704727613";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.model.IMetaMember"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.histo.CompileTimeHistoWalker.visit(IMetaMember)"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.adoptopenjdk.jitwatch.util.HeadlessUtil.showTree(StringBuilder,MetaPackage,boolean)"
"cba35769bdf259c847ce15ee44dabab704727613";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.model.IReadOnlyJITDataModel"
"cba35769bdf259c847ce15ee44dabab704727613";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.adoptopenjdk.jitwatch.ui.graphing.AbstractGraphStage.drawXAxisTime()"
"cba35769bdf259c847ce15ee44dabab704727613";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.model.IMetaMember"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.util.HeadlessUtil.modelToString(IReadOnlyJITDataModel,boolean)"
"cba35769bdf259c847ce15ee44dabab704727613";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.model.IMetaMember"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.adoptopenjdk.jitwatch.ui.main.CompilationTableRow.getStampQueued()"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.toplist.CompileTimeTopListVisitable.visit(IMetaMember)"
"cba35769bdf259c847ce15ee44dabab704727613";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.adoptopenjdk.jitwatch.parser.AbstractLogParser.handleTagTask(Task)"
"cba35769bdf259c847ce15ee44dabab704727613";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.adoptopenjdk.jitwatch.model.IMetaMember"
