"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"CONSTRUCTOR_INVOCATION";"false";"jline.internal.Configuration.Configuration()"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"jline.internal.Configuration.getLong(String,long)"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"jline.internal.Configuration.string(String,String)"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"ASSERT_STATEMENT";"true";"jline.internal.Configuration.string(String,String)"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"jline.internal.Configuration.getString(String,String)"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"jline.internal.Configuration.getInteger(String,int)"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"jline.internal.Configuration.getInteger(String,int)"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"FOR_STATEMENT";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"FOREACH_STATEMENT";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"POSTFIX_EXPRESSION";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"ASSERT_STATEMENT";"false";"jline.internal.Log.setOutput(PrintStream)"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"jline.internal.Log.setOutput(PrintStream)"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"jline.internal.Log.setOutput(PrintStream)"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"jline.internal.Configuration.getInteger(String,int)"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"CONSTRUCTOR_INVOCATION";"false";"jline.internal.Configuration.Configuration()"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"jline.internal.Configuration.getLong(String,long)"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"DECREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"jline.internal.Configuration.Configuration()"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"jline.console.ConsoleReader"
"c6d9e1f6225869625d55254629035814c9657280";"DOC_INSERT";NA;"JAVADOC";"false";"jline.internal.Configuration.JLINE_RC : String"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"jline.console.ConsoleReader"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.internal.Configuration"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"jline.console.ConsoleReader.ConsoleReader(String,InputStream,OutputStream,Terminal)"
"c6d9e1f6225869625d55254629035814c9657280";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"jline.internal.Log.log(Level,Object[])"
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"c6d9e1f6225869625d55254629035814c9657280";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"919795143a5da25f8f7a325b78a2fb523a2773a4";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.console.ConsoleReader"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"COMMENT_DELETE";NA;"LINE_COMMENT";"false";"jline.UnixTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"jline.WindowsTerminal.WindowsTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.Terminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"jline.WindowsTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"jline.UnixTerminal.UnixTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.UnixTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"jline.WindowsTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"jline.UnixTerminal.UnixTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"jline.UnixTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.restore()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"true";"jline.WindowsTerminal.isSystemIn(InputStream)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"ASSERT_STATEMENT";"true";"jline.WindowsTerminal.isSystemIn(InputStream)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"jline.WindowsTerminal.isSystemIn(InputStream)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"true";"jline.WindowsTerminal.isSystemIn(InputStream)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"true";"jline.WindowsTerminal.readCharacter(InputStream)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.WindowsTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"jline.TerminalSupport.setEchoEnabled(boolean)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.UnixTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"COMMENT_DELETE";NA;"LINE_COMMENT";"false";"jline.WindowsTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"jline.UnixTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"jline.WindowsTerminal.WindowsTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.UnsupportedTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.WindowsTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_ORDERING_CHANGE";NA;"METHOD_INVOCATION";"false";"jline.UnixTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVING_METHOD_OVERRIDABILITY";NA;"MODIFIER";"false";"jline.TerminalSupport.isSupported()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.UnixTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.UnixTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"jline.UnixTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"jline.TerminalSupport.setEchoEnabled(boolean)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"ALTERNATIVE_PART_DELETE";NA;"ELSE_STATEMENT";"false";"jline.WindowsTerminal.WindowsTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"jline.WindowsTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"jline.WindowsTerminal.WindowsTerminal()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.Terminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.TerminalSupport"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_ORDERING_CHANGE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"jline.TerminalSupport.init()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.WindowsTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.UnixTerminal.restore()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.UnixTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.restore()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"PARAMETER_RENAMING";NA;"PARAMETER";"false";"jline.TerminalSupport.setEchoEnabled(boolean)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.WindowsTerminal.restore()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"jline.UnixTerminal.restore()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"jline.TerminalSupport.restore()"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.TerminalSupport"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"jline.WindowsTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"jline.UnixTerminal"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"PARAMETER_INSERT";NA;"PARAMETER";"false";"jline.TerminalSupport.setAnsiSupported(boolean)"
"eda21a682d2cdd1a9030e560561c59d108b1f929";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"jline.TerminalSupport.setAnsiSupported(boolean)"
